Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AEROENTER.NS,AEROENTER.NS,AEROENTER.NS,AEROENTER.NS,AEROENTER.NS,AEROENTER.NS
Date,,,,,,
2025-06-16,90.15494537353516,90.79000091552734,91.80000305175781,88.41000366210938,91.19999694824219,253415
2025-06-17,89.96627044677734,90.5999984741211,92.88999938964844,90.25,90.94999694824219,234238
2025-06-18,88.65550994873047,89.27999877929688,93.0,88.76000213623047,90.0,206239
2025-06-19,96.34136199951172,97.0199966430664,104.9000015258789,89.5,90.1500015258789,13040690
2025-06-20,97.87059020996094,98.55999755859375,108.0,94.80000305175781,95.95999908447266,8433534
2025-06-23,94.62346649169922,95.29000091552734,98.79000091552734,94.33000183105469,96.4000015258789,1192189
2025-06-24,94.23619842529297,94.9000015258789,98.38999938964844,94.19999694824219,96.0,734215
2025-06-25,94.42486572265625,95.08999633789062,96.56999969482422,93.79000091552734,94.9000015258789,240800
2025-06-26,95.16961669921875,95.83999633789062,97.56999969482422,94.5,95.69999694824219,286100
2025-06-27,98.73450469970703,99.43000030517578,100.5999984741211,96.0,96.7300033569336,714670
2025-06-30,102.90512084960938,103.62999725341797,104.5999984741211,99.01000213623047,99.01000213623047,908668
2025-07-01,100.73045349121094,101.44000244140625,104.13999938964844,101.1500015258789,103.0,180952
2025-07-02,99.43953704833984,100.13999938964844,102.19000244140625,98.80000305175781,101.8499984741211,221023
2025-07-03,99.6480712890625,100.3499984741211,101.68000030517578,99.83999633789062,100.80000305175781,151784
2025-07-04,98.89338684082031,99.58999633789062,101.5,98.8499984741211,100.83000183105469,175214
2025-07-07,97.25493621826172,97.94000244140625,100.87999725341797,97.1500015258789,99.5,149085
2025-07-08,96.63926696777344,97.31999969482422,98.86000061035156,96.4000015258789,97.0,177871
2025-07-09,98.63521575927734,99.33000183105469,100.98999786376953,97.0,97.0,464002
2025-07-10,98.87352752685547,99.56999969482422,100.55999755859375,98.11000061035156,99.88999938964844,236839
2025-07-11,100.42261505126953,101.12999725341797,103.5,99.19999694824219,100.0,436718
2025-07-14,103.8882064819336,104.62000274658203,108.0,100.23999786376953,101.19000244140625,626186
2025-07-15,107.43323516845703,108.19000244140625,109.4000015258789,105.19999694824219,105.30000305175781,844350
2025-07-16,109.9554672241211,110.7300033569336,111.80000305175781,108.01000213623047,108.44999694824219,618188
2025-07-17,111.99112701416016,112.77999877929688,113.9000015258789,110.75,110.75,556933
2025-07-18,110.02498626708984,110.80000305175781,113.30000305175781,110.0,113.05000305175781,440137
2025-07-21,107.87015533447266,108.62999725341797,112.19000244140625,108.4000015258789,110.81999969482422,352946
2025-07-22,107.7807846069336,108.54000091552734,113.11000061035156,107.4000015258789,109.5999984741211,595809
2025-07-23,105.8047103881836,106.55000305175781,109.48999786376953,106.0999984741211,109.0,200369
2025-07-24,103.45128631591797,104.18000030517578,107.73999786376953,103.0999984741211,107.0,196835
2025-07-25,102.27953338623047,103.0,105.98999786376953,102.16999816894531,103.94999694824219,270924
2025-07-28,101.85254669189453,102.56999969482422,104.9000015258789,100.3499984741211,103.0,191840
2025-07-29,99.11185455322266,99.80999755859375,101.0,97.5,101.0,377058
2025-07-30,102.08094024658203,102.80000305175781,104.20999908447266,98.41000366210938,100.0,644249
2025-07-31,101.66387176513672,102.37999725341797,103.98999786376953,99.0,101.48999786376953,652863
2025-08-01,101.36597442626953,102.08000183105469,103.94999694824219,101.0,102.0,396746
2025-08-04,100.73045349121094,101.44000244140625,102.87999725341797,101.0,102.0,81228
2025-08-05,99.0522689819336,99.75,102.37999725341797,98.70999908447266,101.25,303146
2025-08-06,98.19828796386719,98.88999938964844,100.72000122070312,98.56999969482422,99.0999984741211,159326
2025-08-07,95.61647033691406,96.29000091552734,99.0,94.38999938964844,98.0,199059
2025-08-08,95.82500457763672,96.5,98.9800033569336,95.70999908447266,97.0,142601
2025-08-11,96.40094757080078,97.08000183105469,97.69999694824219,94.25,95.63999938964844,119499
2025-08-12,94.74263000488281,95.41000366210938,98.0,94.41000366210938,98.0,125500
2025-08-13,94.34542846679688,95.01000213623047,95.9800033569336,93.51000213623047,95.0,206730
2025-08-14,94.24613189697266,94.91000366210938,95.94000244140625,94.20999908447266,95.01000213623047,106879
2025-08-18,94.553955078125,95.22000122070312,96.18000030517578,94.16000366210938,95.5,83452
2025-08-19,93.6999740600586,94.36000061035156,96.0,93.5,96.0,87832
2025-08-20,92.2303237915039,92.87999725341797,95.04000091552734,92.5,94.80000305175781,134552
2025-08-21,90.71102905273438,91.3499984741211,93.33999633789062,91.01000213623047,93.33999633789062,139421
2025-08-22,90.93942260742188,91.58000183105469,92.4000015258789,91.16000366210938,91.77999877929688,95401
2025-08-25,89.13214874267578,89.76000213623047,92.58000183105469,89.01000213623047,91.9800033569336,135456
2025-08-26,86.86809539794922,87.4800033569336,89.69999694824219,87.0999984741211,89.69999694824219,88943
2025-08-28,85.96446228027344,86.56999969482422,87.75,86.16000366210938,87.19999694824219,78998
2025-08-29,86.07369232177734,86.68000030517578,87.94000244140625,86.0999984741211,87.01000213623047,71801
2025-09-01,87.38446044921875,88.0,88.79000091552734,86.75,87.55000305175781,108072
2025-09-02,88.65550994873047,89.27999877929688,90.5999984741211,87.66999816894531,88.98999786376953,88017
2025-09-03,89.07257080078125,89.69999694824219,90.5,89.05000305175781,90.0,56555
2025-09-04,86.41130828857422,87.0199966430664,90.79000091552734,86.0199966430664,90.79000091552734,83238
2025-09-05,86.0538330078125,86.66000366210938,87.55999755859375,86.0,87.4000015258789,100774
2025-09-08,84.31999969482422,84.62000274658203,87.80000305175781,84.0,87.08999633789062,147681
2025-09-09,84.9800033569336,84.9800033569336,87.05999755859375,84.37999725341797,84.98999786376953,87566
2025-09-10,86.2699966430664,86.2699966430664,86.94999694824219,85.56999969482422,86.0,75746
