Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ASHAPURMIN.NS,ASHAPURMIN.NS,ASHAPURMIN.NS,ASHAPURMIN.NS,ASHAPURMIN.NS,ASHAPURMIN.NS
Date,,,,,,
2022-10-10,91.45233917236328,91.5999984741211,92.44999694824219,89.80000305175781,91.69999694824219,103743
2022-10-11,90.1544418334961,90.30000305175781,93.4000015258789,89.6500015258789,92.69999694824219,115709
2022-10-12,89.25588989257812,89.4000015258789,91.0,88.9000015258789,90.6500015258789,66175
2022-10-13,88.55701446533203,88.69999694824219,90.0,88.0999984741211,89.6500015258789,55666
2022-10-14,90.70354461669922,90.8499984741211,91.5,89.3499984741211,89.3499984741211,115366
2022-10-17,90.05459594726562,90.19999694824219,91.5,89.3499984741211,91.5,48642
2022-10-18,93.14960479736328,93.30000305175781,96.3499984741211,90.55000305175781,90.69999694824219,222862
2022-10-19,93.99822998046875,94.1500015258789,95.0,93.19999694824219,94.0,140292
2022-10-20,92.1012954711914,92.25,94.55000305175781,91.69999694824219,94.44999694824219,61925
2022-10-21,90.90322875976562,91.05000305175781,93.5,90.4000015258789,92.25,58813
2022-10-24,90.40403747558594,90.55000305175781,92.5,88.3499984741211,91.69999694824219,42783
2022-10-25,89.45556640625,89.5999984741211,92.05000305175781,89.0999984741211,91.30000305175781,72990
2022-10-27,89.30580139160156,89.44999694824219,91.69999694824219,89.0,90.94999694824219,70517
2022-10-28,88.25749969482422,88.4000015258789,90.25,88.19999694824219,89.9000015258789,78570
2022-10-31,88.55701446533203,88.69999694824219,90.5999984741211,88.19999694824219,89.0,37341
2022-11-01,87.80821990966797,87.94999694824219,89.8499984741211,87.44999694824219,88.69999694824219,119762
2022-11-02,87.50871276855469,87.6500015258789,89.44999694824219,86.94999694824219,88.44999694824219,92135
2022-11-03,86.90967559814453,87.05000305175781,88.9000015258789,86.55000305175781,87.6500015258789,101835
2022-11-04,87.1093521118164,87.25,88.4000015258789,86.25,86.25,99510
2022-11-07,87.05943298339844,87.19999694824219,88.19999694824219,86.5,88.19999694824219,144711
2022-11-09,86.01112365722656,86.1500015258789,88.0,86.0,87.19999694824219,176846
2022-11-10,86.9595947265625,87.0999984741211,88.6500015258789,85.19999694824219,85.8499984741211,103411
2022-11-11,87.6584701538086,87.80000305175781,88.1500015258789,86.19999694824219,87.6500015258789,74322
2022-11-14,91.35250091552734,91.5,93.5,87.19999694824219,87.19999694824219,314965
2022-11-15,86.26072692871094,86.4000015258789,89.0,85.8499984741211,89.0,278721
2022-11-16,78.0240249633789,78.1500015258789,87.0,70.80000305175781,86.4000015258789,1836839
2022-11-17,80.22047424316406,80.3499984741211,81.5999984741211,77.94999694824219,78.0,227100
2022-11-18,81.61821746826172,81.75,82.69999694824219,80.4000015258789,80.5999984741211,126794
2022-11-21,79.42176818847656,79.55000305175781,82.5,79.0,82.05000305175781,82494
2022-11-22,79.5216064453125,79.6500015258789,80.5,79.0,80.0,72404
2022-11-23,85.66168975830078,85.80000305175781,87.0,79.6500015258789,80.0,429243
2022-11-24,87.30902862548828,87.44999694824219,89.5,85.55000305175781,86.0,195336
2022-11-25,87.30902862548828,87.44999694824219,88.8499984741211,86.30000305175781,87.94999694824219,110239
2022-11-28,85.91129302978516,86.05000305175781,89.0,84.0999984741211,88.0,103791
2022-11-29,87.55862426757812,87.69999694824219,88.0,85.1500015258789,85.55000305175781,80193
2022-11-30,89.15605163574219,89.30000305175781,89.75,88.0,88.6500015258789,162930
2022-12-01,91.00306701660156,91.1500015258789,93.4000015258789,89.44999694824219,89.75,259605
