Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HERANBA.NS,HERANBA.NS,HERANBA.NS,HERANBA.NS,HERANBA.NS,HERANBA.NS
Date,,,,,,
2022-10-10,518.394775390625,523.25,527.0,518.0,521.0,50736
2022-10-11,514.6300659179688,519.4500122070312,528.4000244140625,518.4000244140625,528.4000244140625,32762
2022-10-12,514.1347045898438,518.9500122070312,525.5,518.0,522.9500122070312,18984
2022-10-13,517.1068725585938,521.9500122070312,523.9000244140625,512.1500244140625,523.9000244140625,44795
2022-10-14,508.8838806152344,513.6500244140625,526.9000244140625,512.0,525.2000122070312,30090
2022-10-17,505.2677307128906,510.0,515.5499877929688,509.0,510.0,21274
2022-10-18,503.8807373046875,508.6000061035156,516.0,506.75,510.1000061035156,29409
2022-10-19,502.93951416015625,507.6499938964844,514.8499755859375,505.5,508.6499938964844,27766
2022-10-20,504.8714294433594,509.6000061035156,513.0,505.6000061035156,508.0,17609
2022-10-21,499.4720458984375,504.1499938964844,513.0999755859375,501.1000061035156,510.0,22390
2022-10-24,510.96441650390625,515.75,518.0,509.04998779296875,510.95001220703125,16794
2022-10-25,502.1469421386719,506.8500061035156,521.0,499.95001220703125,516.0,34776
2022-10-27,504.3265686035156,509.04998779296875,514.9500122070312,506.04998779296875,511.8500061035156,16379
2022-10-28,504.92095947265625,509.6499938964844,514.1500244140625,508.8500061035156,514.1500244140625,15947
2022-10-31,504.3265686035156,509.04998779296875,513.4500122070312,503.95001220703125,513.0,26375
2022-11-01,508.0912780761719,512.8499755859375,515.0,507.0,510.5,15644
2022-11-02,503.2862854003906,508.0,516.9000244140625,506.8999938964844,516.9000244140625,40283
2022-11-03,500.46270751953125,505.1499938964844,515.0,503.0,513.0,37580
2022-11-04,509.32965087890625,514.0999755859375,515.0,506.95001220703125,511.95001220703125,24687
2022-11-07,515.5216674804688,520.3499755859375,524.75,515.0,517.8499755859375,62688
2022-11-09,525.0325927734375,529.9500122070312,537.0,528.1500244140625,535.0,98845
2022-11-10,515.8684692382812,520.7000122070312,528.9000244140625,516.9000244140625,528.9000244140625,31509
2022-11-11,511.8064880371094,516.5999755859375,528.0,516.0,528.0,29604
2022-11-14,512.8963012695312,517.7000122070312,519.25,516.0,516.2000122070312,29501
2022-11-15,514.1347045898438,518.9500122070312,523.4000244140625,513.0999755859375,517.7999877929688,21359
2022-11-16,502.2955627441406,507.0,522.9500122070312,504.25,522.9500122070312,72334
2022-11-17,506.5556640625,511.29998779296875,513.2999877929688,505.3999938964844,507.95001220703125,24394
2022-11-18,505.515380859375,510.25,516.0,508.29998779296875,515.9500122070312,20679
2022-11-21,503.8311767578125,508.54998779296875,512.4500122070312,506.20001220703125,510.25,19515
2022-11-22,503.633056640625,508.3500061035156,511.0,507.20001220703125,510.54998779296875,15407
2022-11-23,514.8281860351562,519.6500244140625,526.75,510.0,515.0,48625
2022-11-24,514.085205078125,518.9000244140625,523.9500122070312,515.5,519.6500244140625,15898
2022-11-25,515.8189086914062,520.6500244140625,525.0,516.25,517.5,30057
2022-11-28,529.6890258789062,534.6500244140625,539.3499755859375,520.6500244140625,520.6500244140625,61268
2022-11-29,530.8283081054688,535.7999877929688,545.2000122070312,534.0,538.8499755859375,35500
2022-11-30,531.6704711914062,536.6500244140625,544.9000244140625,531.4500122070312,535.0,41706
2022-12-01,530.1843872070312,535.1500244140625,542.9500122070312,531.4500122070312,538.0,25116
2022-12-02,528.302001953125,533.25,537.0999755859375,530.2000122070312,532.0999755859375,20559
2022-12-05,532.4135131835938,537.4000244140625,540.25,535.0,539.4000244140625,37394
2022-12-06,525.7261352539062,530.6500244140625,540.0,529.5999755859375,540.0,20020
2022-12-07,523.5960693359375,528.5,535.5,525.0999755859375,535.5,16052
2022-12-08,523.7942504882812,528.7000122070312,533.9000244140625,526.4000244140625,531.75,19620
2022-12-09,517.2059326171875,522.0499877929688,531.5999755859375,520.0,531.25,19909
2022-12-12,512.995361328125,517.7999877929688,527.9500122070312,515.5499877929688,527.9500122070312,22772
2022-12-13,510.56805419921875,515.3499755859375,520.7999877929688,514.0499877929688,517.7999877929688,42397
2022-12-14,519.9799194335938,524.8499755859375,535.9500122070312,514.5,519.9500122070312,172345
2022-12-15,519.5341186523438,524.4000244140625,532.4000244140625,519.0499877929688,525.0,74389
2022-12-16,517.057373046875,521.9000244140625,526.75,518.5,524.3499755859375,24010
2022-12-19,514.1842651367188,519.0,526.0499877929688,517.7999877929688,525.25,25053
2022-12-20,510.5185546875,515.2999877929688,524.4500122070312,513.5499877929688,522.7000122070312,46590
2022-12-21,503.8311767578125,508.54998779296875,518.0499877929688,506.0,516.0499877929688,54774
2022-12-22,495.3110046386719,499.95001220703125,512.4000244140625,499.5,510.04998779296875,53770
2022-12-23,481.2922668457031,485.79998779296875,499.5,484.1000061035156,499.5,56562
2022-12-26,486.5926208496094,491.1499938964844,496.5,478.6000061035156,482.5,60609
2022-12-27,490.90228271484375,495.5,508.0,493.1499938964844,495.0,26313
2022-12-28,484.71026611328125,489.25,499.54998779296875,481.79998779296875,495.5,44938
2022-12-29,486.8898620605469,491.45001220703125,494.3999938964844,482.3999938964844,485.0,36632
2022-12-30,494.7165222167969,499.3500061035156,509.95001220703125,493.0,497.8999938964844,57829
2023-01-02,495.5091247558594,500.1499938964844,509.0,496.54998779296875,500.0,55406
2023-01-03,495.8558654785156,500.5,504.70001220703125,499.1499938964844,504.0,23167
2023-01-04,488.2768859863281,492.8500061035156,504.0,490.0,504.0,22039
2023-01-05,488.6236572265625,493.20001220703125,498.04998779296875,488.5,496.45001220703125,26669
2023-01-06,487.7815246582031,492.3500061035156,498.6499938964844,489.6000061035156,496.0,22538
2023-01-09,484.31396484375,488.8500061035156,504.0,487.8500061035156,504.0,34711
2023-01-10,483.22418212890625,487.75,494.5,485.1499938964844,492.0,31501
2023-01-11,480.49969482421875,485.0,491.3500061035156,483.0,485.1499938964844,46753
2023-01-12,476.982666015625,481.45001220703125,486.95001220703125,480.0,486.95001220703125,31436
2023-01-13,475.1498107910156,479.6000061035156,486.1499938964844,478.8500061035156,486.1499938964844,46471
2023-01-16,476.437744140625,480.8999938964844,486.3500061035156,480.0,486.3500061035156,22439
2023-01-17,472.3262634277344,476.75,483.6499938964844,476.0,479.04998779296875,36701
2023-01-18,471.63275146484375,476.04998779296875,482.0,474.95001220703125,482.0,29272
2023-01-19,471.43463134765625,475.8500061035156,479.95001220703125,475.0,476.1000061035156,28352
2023-01-20,469.2550048828125,473.6499938964844,479.45001220703125,469.79998779296875,479.45001220703125,33490
2023-01-23,465.539794921875,469.8999938964844,475.45001220703125,469.54998779296875,475.0,24317
2023-01-24,466.1342468261719,470.5,477.6499938964844,469.3500061035156,475.0,31090
