Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INDIAGLYCO.NS,INDIAGLYCO.NS,INDIAGLYCO.NS,INDIAGLYCO.NS,INDIAGLYCO.NS,INDIAGLYCO.NS
Date,,,,,,
2022-10-25,380.69561767578125,389.1499938964844,400.3999938964844,386.2749938964844,400.3999938964844,73384
2022-10-27,381.3559875488281,389.82501220703125,395.5,389.0,392.5,47118
2022-10-28,375.070556640625,383.3999938964844,392.5,381.4750061035156,390.0,84334
2022-10-31,365.5079345703125,373.625,384.9750061035156,372.0,383.5,304648
2022-11-01,390.4783630371094,399.1499938964844,403.0,373.625,373.625,634794
2022-11-02,406.8644714355469,415.8999938964844,426.25,393.4750061035156,397.8999938964844,784128
2022-11-03,398.8426208496094,407.70001220703125,417.20001220703125,404.8500061035156,415.0,176706
2022-11-04,399.38067626953125,408.25,410.0,403.5,409.95001220703125,181190
2022-11-07,400.97039794921875,409.875,413.67498779296875,406.0,409.42498779296875,67222
2022-11-09,395.5409851074219,404.32501220703125,416.0,402.5,409.875,58886
2022-11-10,391.2365417480469,399.92498779296875,409.95001220703125,395.3999938964844,404.32501220703125,58548
2022-11-11,398.74481201171875,407.6000061035156,413.25,398.0,402.54998779296875,187350
2022-11-14,391.28546142578125,399.9750061035156,409.0249938964844,396.5,408.5,61972
2022-11-15,397.1795959472656,406.0,413.6499938964844,397.1000061035156,397.1000061035156,153824
2022-11-16,393.7066955566406,402.45001220703125,409.5,401.0,405.5,82408
2022-11-17,388.8153076171875,397.45001220703125,404.4750061035156,396.1000061035156,402.45001220703125,43710
2022-11-18,382.0652160644531,390.54998779296875,403.5,387.5,399.45001220703125,71016
2022-11-21,383.41033935546875,391.92498779296875,394.0,388.0,390.5,56276
2022-11-22,373.4808349609375,381.7749938964844,393.8500061035156,379.9750061035156,393.8500061035156,51722
2022-11-23,376.0977783203125,384.45001220703125,390.5,380.5249938964844,380.5249938964844,62836
2022-11-24,371.6221618652344,379.875,390.0,377.75,384.45001220703125,66980
2022-11-25,374.19012451171875,382.5,387.5,378.5,381.7749938964844,54666
2022-11-28,376.17108154296875,384.5249938964844,388.2250061035156,382.5,382.5,66900
2022-11-29,373.7987976074219,382.1000061035156,387.92498779296875,380.54998779296875,385.5,45758
2022-11-30,374.8259582519531,383.1499938964844,386.67498779296875,381.04998779296875,382.1000061035156,47286
2022-12-01,374.89935302734375,383.2250061035156,385.95001220703125,380.45001220703125,384.875,64558
2022-12-02,381.625,390.1000061035156,392.2250061035156,382.25,382.25,98428
2022-12-05,377.8830871582031,386.2749938964844,393.0,385.0,392.32501220703125,41624
2022-12-06,369.66558837890625,377.875,389.17498779296875,376.5,386.5,82674
2022-12-07,368.1492919921875,376.32501220703125,382.125,375.5,379.0,60028
2022-12-08,370.1302490234375,378.3500061035156,380.5249938964844,375.5,375.5,36580
2022-12-09,365.2388916015625,373.3500061035156,381.125,370.0,379.7250061035156,44454
2022-12-12,366.2171630859375,374.3500061035156,376.7250061035156,369.5,374.70001220703125,28898
2022-12-13,363.2823486328125,371.3500061035156,378.32501220703125,369.0,375.0,34426
2022-12-14,363.4535217285156,371.5249938964844,377.5,371.0,373.2250061035156,88662
2022-12-15,361.22796630859375,369.25,377.45001220703125,367.5,377.45001220703125,61084
2022-12-16,367.5867614746094,375.75,381.2250061035156,367.2749938964844,369.5,163926
2022-12-19,376.22003173828125,384.57501220703125,399.6000061035156,380.0,380.0,441198
2022-12-20,383.8994445800781,392.42498779296875,394.04998779296875,382.5,386.5,135216
2022-12-21,366.7796936035156,374.92498779296875,395.9750061035156,370.7749938964844,391.17498779296875,199956
2022-12-22,361.4725341796875,369.5,379.1000061035156,363.0,375.0,63634
2022-12-23,347.5321044921875,355.25,367.95001220703125,347.5,367.95001220703125,117352
2022-12-26,359.78497314453125,367.7749938964844,369.42498779296875,355.25,359.9750061035156,136598
2022-12-27,374.3124084472656,382.625,386.5249938964844,370.5,370.5,152366
2022-12-28,373.8232727050781,382.125,383.5,376.75,382.625,46124
2022-12-29,373.5787048339844,381.875,386.04998779296875,376.3999938964844,376.3999938964844,73880
2022-12-30,375.46185302734375,383.79998779296875,386.1499938964844,380.0,381.875,43026
2023-01-02,381.6983642578125,390.17498779296875,395.0,381.20001220703125,382.25,114170
2023-01-03,379.3504943847656,387.7749938964844,392.5,385.625,391.5,31894
2023-01-04,373.0406799316406,381.32501220703125,388.79998779296875,380.07501220703125,388.5,32802
2023-01-05,367.3421936035156,375.5,384.57501220703125,374.0,382.17498779296875,39090
2023-01-06,365.63018798828125,373.75,378.29998779296875,371.25,377.3999938964844,22060
2023-01-09,369.0296936035156,377.2250061035156,378.8999938964844,374.8500061035156,376.5,48998
2023-01-10,363.1600646972656,371.2250061035156,381.95001220703125,370.0,380.45001220703125,38028
2023-01-11,362.5975341796875,370.6499938964844,375.375,369.04998779296875,372.625,23342
2023-01-12,365.4590148925781,373.57501220703125,375.0,370.6499938964844,370.6499938964844,42784
2023-01-13,360.6165466308594,368.625,375.20001220703125,365.29998779296875,375.20001220703125,25022
2023-01-16,362.4752502441406,370.5249938964844,373.9750061035156,368.0249938964844,368.625,27650
2023-01-17,357.16815185546875,365.1000061035156,371.0,363.70001220703125,371.0,31026
2023-01-18,353.76861572265625,361.625,367.54998779296875,360.54998779296875,366.92498779296875,57896
2023-01-19,351.4696960449219,359.2749938964844,362.25,358.0,359.0,27982
2023-01-20,346.0402526855469,353.7250061035156,364.0,352.92498779296875,361.07501220703125,30576
2023-01-23,344.1815490722656,351.82501220703125,356.95001220703125,350.2749938964844,354.5,34890
2023-01-24,343.3010559082031,350.92498779296875,357.2749938964844,350.0,353.57501220703125,27782
2023-01-25,340.195068359375,347.75,353.07501220703125,340.5249938964844,351.25,52570
2023-01-27,325.7165832519531,332.95001220703125,348.8500061035156,327.5,337.54998779296875,82180
2023-01-30,328.30902099609375,335.6000061035156,345.0,332.67498779296875,334.625,56024
2023-01-31,331.7085266113281,339.07501220703125,342.29998779296875,334.2749938964844,336.5,38540
2023-02-01,328.5536193847656,335.8500061035156,347.2250061035156,332.5,340.7749938964844,66814
