Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INSECTICID.NS,INSECTICID.NS,INSECTICID.NS,INSECTICID.NS,INSECTICID.NS,INSECTICID.NS
Date,,,,,,
2022-10-10,732.5840454101562,742.7000122070312,745.5,718.0,726.0,76845
2022-10-11,724.0025634765625,734.0,748.4500122070312,728.0999755859375,743.9500122070312,21555
2022-10-12,725.1369018554688,735.1500244140625,743.2000122070312,726.0,734.0,18281
2022-10-13,728.1947021484375,738.25,750.0,729.9500122070312,730.0,40591
2022-10-14,725.5313720703125,735.5499877929688,746.1500244140625,731.0,744.0,13419
2022-10-17,727.158935546875,737.2000122070312,753.8499755859375,722.0,737.0,22260
2022-10-18,720.7968139648438,730.75,734.9500122070312,710.2999877929688,728.0,48005
2022-10-19,711.3768920898438,721.2000122070312,747.5999755859375,720.0,722.2000122070312,78059
2022-10-20,711.2289428710938,721.0499877929688,726.0,715.2000122070312,720.0,70467
2022-10-21,715.9635620117188,725.8499755859375,728.7000122070312,720.0,721.0,13557
2022-10-24,726.320556640625,736.3499755859375,741.9500122070312,735.0,739.75,8305
2022-10-25,719.2679443359375,729.2000122070312,737.0,725.5,732.0,12133
2022-10-27,694.0166015625,703.5999755859375,726.0,700.0,720.2999877929688,51806
2022-10-28,701.4637451171875,711.1500244140625,724.9500122070312,698.0,698.0,31109
2022-10-31,709.1082153320312,718.9000244140625,725.0,714.75,714.75,13528
2022-11-01,721.19140625,731.1500244140625,735.0,715.0,720.0,22594
2022-11-02,728.5892333984375,738.6500244140625,744.0,732.8499755859375,735.0,16633
2022-11-03,726.7150268554688,736.75,744.4000244140625,734.5,739.0,9654
2022-11-04,725.186279296875,735.2000122070312,740.0,732.1500244140625,739.2999877929688,29698
2022-11-07,729.2303466796875,739.2999877929688,760.75,726.0499877929688,735.0,42857
2022-11-09,721.3392944335938,731.2999877929688,738.9500122070312,715.7000122070312,729.2999877929688,86055
2022-11-10,717.443115234375,727.3499755859375,746.5,723.0499877929688,724.0,54860
2022-11-11,721.43798828125,731.4000244140625,752.9500122070312,728.0,728.0,8189
2022-11-14,738.9461669921875,749.1500244140625,754.9000244140625,725.0,737.0,49882
2022-11-15,737.6638793945312,747.8499755859375,768.5499877929688,745.0,754.9500122070312,61268
2022-11-16,739.6365966796875,749.8499755859375,752.0,745.0499877929688,751.2999877929688,12210
2022-11-17,739.1928100585938,749.4000244140625,752.0,745.0,750.0,19631
2022-11-18,738.6995849609375,748.9000244140625,755.0,739.0999755859375,751.0,16249
2022-11-21,738.2064208984375,748.4000244140625,767.0,745.0499877929688,748.0,23019
2022-11-22,741.3134765625,751.5499877929688,760.0,745.5,750.0,56467
2022-11-23,746.5906372070312,756.9000244140625,759.9000244140625,752.0499877929688,754.7999877929688,11866
2022-11-24,746.3934326171875,756.7000122070312,761.3499755859375,737.0,758.0,16484
2022-11-25,744.3712768554688,754.6500244140625,775.0,747.0,751.8499755859375,25253
2022-11-28,743.7301635742188,754.0,766.0,748.0,766.0,6281
2022-11-29,743.5328979492188,753.7999877929688,761.5499877929688,745.2000122070312,761.5499877929688,14927
2022-11-30,738.5023193359375,748.7000122070312,792.0,740.5,756.75,162626
2022-12-01,744.0753173828125,754.3499755859375,765.25,750.0,750.0,32653
2022-12-02,736.9734497070312,747.1500244140625,760.0,745.0,754.4000244140625,16797
2022-12-05,741.7573852539062,752.0,760.25,745.5999755859375,748.0,15437
2022-12-06,737.4172973632812,747.5999755859375,756.7999877929688,742.0,752.0,16509
2022-12-07,738.7489013671875,748.9500122070312,755.0499877929688,745.0999755859375,750.0,50603
2022-12-08,738.6995849609375,748.9000244140625,753.7000122070312,746.0999755859375,750.0499877929688,8894
2022-12-09,736.7268676757812,746.9000244140625,754.4000244140625,743.0,751.0,12651
2022-12-12,739.98193359375,750.2000122070312,761.0,740.4000244140625,745.0,16287
2022-12-13,735.7405395507812,745.9000244140625,758.7999877929688,745.0,754.0,13850
2022-12-14,736.529541015625,746.7000122070312,753.9000244140625,745.0999755859375,748.0,12256
2022-12-15,733.9156494140625,744.0499877929688,754.9500122070312,739.0,748.7999877929688,17976
2022-12-16,737.5159912109375,747.7000122070312,750.0,736.0,741.5499877929688,13567
