Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MBAPL.NS,MBAPL.NS,MBAPL.NS,MBAPL.NS,MBAPL.NS,MBAPL.NS
Date,,,,,,
2022-10-25,247.8351593017578,248.89999389648438,260.0,248.89999389648438,250.5500030517578,11314
2022-10-27,235.4633331298828,236.47500610351562,236.47500610351562,236.47500610351562,236.47500610351562,8714
2022-10-28,227.8211669921875,228.8000030517578,244.97500610351562,224.6750030517578,224.6750030517578,62664
2022-10-31,227.07435607910156,228.0500030517578,234.9499969482422,220.0,224.22500610351562,34110
2022-11-01,230.06153869628906,231.0500030517578,232.5,226.5,229.0,18760
2022-11-02,227.9705047607422,228.9499969482422,234.9499969482422,227.25,234.9499969482422,26090
2022-11-03,226.6013946533203,227.5749969482422,230.0,223.0,228.5,20050
2022-11-04,226.90013122558594,227.875,232.0,218.75,232.0,52698
2022-11-07,234.74142456054688,235.75,237.4499969482422,230.0,232.4499969482422,24054
2022-11-09,235.63755798339844,236.64999389648438,242.5,235.0,242.47500610351562,15046
2022-11-10,234.8907928466797,235.89999389648438,241.9499969482422,230.5500030517578,241.9499969482422,6726
2022-11-11,231.50534057617188,232.5,242.47500610351562,230.875,241.9499969482422,16380
2022-11-14,228.0203094482422,229.0,232.5,226.0,232.5,22656
2022-11-15,229.81259155273438,230.8000030517578,232.4250030517578,225.8000030517578,228.5,21584
2022-11-16,224.6846160888672,225.64999389648438,233.47500610351562,225.0,231.9499969482422,28772
2022-11-17,227.94561767578125,228.9250030517578,230.1999969482422,225.5500030517578,227.5,19674
2022-11-18,228.71730041503906,229.6999969482422,233.72500610351562,225.5500030517578,225.5500030517578,25054
2022-11-21,229.8872833251953,230.875,234.4499969482422,230.5,234.4499969482422,13990
2022-11-22,233.0487060546875,234.0500030517578,234.5,230.52499389648438,234.4499969482422,16432
2022-11-23,232.1774444580078,233.1750030517578,235.97500610351562,231.0,231.0,8010
2022-11-24,231.48043823242188,232.47500610351562,235.97500610351562,230.0749969482422,233.9499969482422,40966
2022-11-25,232.7001953125,233.6999969482422,234.625,227.52499389648438,233.9499969482422,14746
2022-11-28,231.97830200195312,232.97500610351562,237.4250030517578,229.02499389648438,229.02499389648438,27756
2022-11-29,235.4633331298828,236.47500610351562,237.22500610351562,230.75,230.75,9210
2022-11-30,243.18017578125,244.22500610351562,245.0,235.0749969482422,239.9499969482422,17100
2022-12-01,247.63601684570312,248.6999969482422,256.42498779296875,238.10000610351562,245.0,63988
2022-12-02,250.6231689453125,251.6999969482422,252.22500610351562,237.02499389648438,252.22500610351562,85358
2022-12-05,249.72703552246094,250.8000030517578,254.97500610351562,240.0,252.5,22712
2022-12-06,250.05064392089844,251.125,259.95001220703125,242.5,259.95001220703125,35312
2022-12-07,245.37074279785156,246.4250030517578,257.0,245.0,252.5,35074
2022-12-08,249.15451049804688,250.22500610351562,252.5,245.02499389648438,248.9499969482422,31072
2022-12-09,246.66519165039062,247.72500610351562,252.5,245.25,252.5,23028
2022-12-12,251.4944305419922,252.5749969482422,254.5,245.0,249.5,27030
2022-12-13,253.1871795654297,254.27499389648438,256.0,250.02499389648438,250.02499389648438,22648
2022-12-14,261.8997497558594,263.0249938964844,264.8999938964844,255.52499389648438,256.75,31680
2022-12-15,261.6258850097656,262.75,270.0,260.2749938964844,263.5,53954
2022-12-16,263.0697021484375,264.20001220703125,267.0,253.25,253.25,42512
2022-12-19,265.4843444824219,266.625,268.0,261.0,267.45001220703125,44454
2022-12-20,270.2140197753906,271.375,274.9750061035156,268.0,271.45001220703125,46590
2022-12-21,268.19769287109375,269.3500061035156,280.0,267.5,270.0,64758
2022-12-22,263.99072265625,265.125,269.3500061035156,260.04998779296875,260.04998779296875,56218
2022-12-23,262.27313232421875,263.3999938964844,265.5,260.0,260.5,76940
2022-12-26,273.30078125,274.4750061035156,276.25,251.5,258.2749938964844,62866
2022-12-27,271.2594909667969,272.42498779296875,282.5,270.0,279.95001220703125,28068
2022-12-28,275.01837158203125,276.20001220703125,280.0,267.5,277.375,48996
2022-12-29,273.8235168457031,275.0,279.95001220703125,270.57501220703125,279.95001220703125,31932
2022-12-30,273.07672119140625,274.25,277.5,265.0,277.5,62002
2023-01-02,273.74884033203125,274.92498779296875,278.125,270.54998779296875,276.0,26994
2023-01-03,274.7445373535156,275.92498779296875,278.9750061035156,272.0,278.2250061035156,51586
2023-01-04,274.8192443847656,276.0,279.95001220703125,272.5,279.95001220703125,34716
2023-01-05,271.5582580566406,272.7250061035156,279.5,272.5,279.45001220703125,13270
2023-01-06,272.9024963378906,274.07501220703125,277.5,270.2749938964844,270.2749938964844,25008
2023-01-09,275.71539306640625,276.8999938964844,277.95001220703125,272.45001220703125,276.45001220703125,18974
2023-01-10,282.6107482910156,283.82501220703125,284.0,277.5,279.42498779296875,41270
2023-01-11,283.2579650878906,284.4750061035156,289.95001220703125,283.5,289.95001220703125,37246
2023-01-12,283.6064758300781,284.82501220703125,289.5,283.0,287.42498779296875,29524
2023-01-13,290.22802734375,291.4750061035156,299.04998779296875,283.5,289.45001220703125,72686
2023-01-16,290.2031555175781,291.45001220703125,299.45001220703125,286.20001220703125,299.45001220703125,44964
2023-01-17,293.96197509765625,295.2250061035156,298.45001220703125,291.0,294.8999938964844,34478
2023-01-18,289.38165283203125,290.625,297.0,287.5,297.0,41216
2023-01-19,302.9234619140625,304.2250061035156,305.1499938964844,287.6499938964844,287.6499938964844,56096
2023-01-20,317.68505859375,319.04998779296875,319.42498779296875,307.5,314.70001220703125,77922
2023-01-23,328.96160888671875,330.375,335.0,320.04998779296875,324.0,94530
2023-01-24,319.9752197265625,321.3500061035156,337.4750061035156,318.5,333.0,51594
2023-01-25,311.58624267578125,312.92498779296875,327.45001220703125,306.5249938964844,318.5249938964844,46578
2023-01-27,321.41900634765625,322.79998779296875,326.8999938964844,307.0,312.92498779296875,38192
2023-01-30,323.8336486816406,325.2250061035156,335.0,320.70001220703125,332.45001220703125,62356
2023-01-31,317.73486328125,319.1000061035156,334.8999938964844,318.0,329.95001220703125,34384
2023-02-01,311.5613708496094,312.8999938964844,324.95001220703125,311.0,319.2250061035156,32176
2023-02-02,316.0172119140625,317.375,320.0,304.0,319.45001220703125,20216
2023-02-03,314.20001220703125,315.54998779296875,324.8999938964844,314.0,319.95001220703125,24142
2023-02-06,310.7398986816406,312.07501220703125,317.45001220703125,308.92498779296875,317.45001220703125,20432
2023-02-07,306.0102233886719,307.32501220703125,312.0249938964844,305.0,310.0,55674
2023-02-08,314.1751403808594,315.5249938964844,317.3999938964844,301.9750061035156,307.32501220703125,38642
2023-02-09,317.88421630859375,319.25,327.45001220703125,310.0249938964844,327.45001220703125,39280
2023-02-10,316.8138122558594,318.17498779296875,323.95001220703125,315.04998779296875,315.04998779296875,31832
2023-02-13,319.15374755859375,320.5249938964844,322.45001220703125,315.32501220703125,315.32501220703125,26884
2023-02-14,318.0086669921875,319.375,323.2250061035156,318.0,323.2250061035156,11760
2023-02-15,315.19573974609375,316.54998779296875,322.95001220703125,314.5,322.95001220703125,30230
2023-02-16,312.00946044921875,313.3500061035156,316.54998779296875,311.2749938964844,311.2749938964844,26428
2023-02-17,318.9794921875,320.3500061035156,320.9750061035156,310.0,314.0,14848
2023-02-20,318.83013916015625,320.20001220703125,322.45001220703125,315.7749938964844,322.45001220703125,15852
2023-02-21,313.62750244140625,314.9750061035156,321.7749938964844,307.5,313.0249938964844,27302
2023-02-22,309.2463073730469,310.57501220703125,319.95001220703125,308.9750061035156,319.95001220703125,22996
2023-02-23,306.6823425292969,308.0,310.0,305.0249938964844,308.75,37412
2023-02-24,309.5948181152344,310.92498779296875,314.0,307.5,310.0,8300
2023-02-27,308.1012268066406,309.42498779296875,312.42498779296875,295.375,307.5249938964844,62778
2023-02-28,313.7270812988281,315.07501220703125,320.0,307.5,309.42498779296875,28730
2023-03-01,318.80523681640625,320.17498779296875,321.5,315.0,319.45001220703125,18026
2023-03-02,320.47308349609375,321.8500061035156,326.5,320.0,320.0,17444
2023-03-03,332.2972412109375,333.7250061035156,337.7250061035156,315.75,323.0,73708
2023-03-06,333.49212646484375,334.92498779296875,347.3500061035156,334.5,337.5,40196
2023-03-08,326.4474182128906,327.8500061035156,332.79998779296875,318.17498779296875,318.17498779296875,20624
2023-03-09,319.00439453125,320.375,327.8500061035156,320.0,327.8500061035156,14198
2023-03-10,313.1794128417969,314.5249938964844,326.0,311.0,326.0,31906
2023-03-13,301.0316162109375,302.32501220703125,314.3500061035156,299.0249938964844,307.625,36762
2023-03-14,294.33538818359375,295.6000061035156,305.95001220703125,287.625,305.95001220703125,20134
2023-03-15,293.98687744140625,295.25,303.875,292.54998779296875,299.875,10740
2023-03-16,300.3097229003906,301.6000061035156,304.95001220703125,295.0,295.25,13778
2023-03-17,300.9320373535156,302.2250061035156,309.70001220703125,299.5,309.70001220703125,8100
2023-03-20,295.8787536621094,297.1499938964844,315.0,291.5249938964844,315.0,10696
2023-03-21,301.0316162109375,302.32501220703125,303.5,297.5,297.5,8726
2023-03-22,305.2882995605469,306.6000061035156,308.1499938964844,300.04998779296875,303.04998779296875,12926
2023-03-23,300.9569091796875,302.25,307.9750061035156,298.625,307.9750061035156,9380
2023-03-24,301.6539611816406,302.95001220703125,305.95001220703125,299.0249938964844,305.95001220703125,6558
2023-03-27,295.9783020019531,297.25,302.95001220703125,293.2749938964844,302.95001220703125,21798
2023-03-28,285.00048828125,286.2250061035156,297.25,285.0249938964844,297.25,28086
2023-03-29,285.9713134765625,287.20001220703125,292.5,280.1000061035156,280.1000061035156,15312
2023-03-31,282.9592590332031,284.17498779296875,297.4750061035156,275.0249938964844,285.04998779296875,27192
2023-04-03,282.0879821777344,283.29998779296875,287.5,281.04998779296875,281.04998779296875,17230
2023-04-05,287.9129943847656,289.1499938964844,290.0,274.5,274.5,13246
2023-04-06,295.4306945800781,296.70001220703125,300.0,289.375,289.3999938964844,13222
2023-04-10,292.34393310546875,293.6000061035156,302.5,293.0249938964844,302.0,10634
2023-04-11,294.1860046386719,295.45001220703125,297.3500061035156,286.5249938964844,295.2749938964844,12930
2023-04-12,298.5920715332031,299.875,302.3999938964844,290.04998779296875,290.04998779296875,11286
2023-04-13,300.060791015625,301.3500061035156,308.95001220703125,300.0,308.95001220703125,13838
2023-04-17,301.7037353515625,303.0,306.125,294.79998779296875,301.3500061035156,14008
2023-04-18,290.67608642578125,291.92498779296875,307.45001220703125,290.29998779296875,307.45001220703125,28796
2023-04-19,289.45635986328125,290.70001220703125,294.875,290.0,292.5,17050
2023-04-20,290.0537414550781,291.29998779296875,292.4750061035156,289.0249938964844,290.70001220703125,8446
2023-04-21,286.8674621582031,288.1000061035156,293.5,287.0,293.5,12996
2023-04-24,293.4641418457031,294.7250061035156,296.0249938964844,280.5249938964844,289.0,23492
2023-04-25,286.12066650390625,287.3500061035156,291.9750061035156,282.9750061035156,282.9750061035156,30476
2023-04-26,294.4349670410156,295.70001220703125,296.95001220703125,287.0249938964844,291.95001220703125,11634
2023-04-27,293.1654052734375,294.42498779296875,301.0,290.5249938964844,297.0,24868
2023-04-28,296.4512939453125,297.7250061035156,298.5,290.0,290.54998779296875,31954
2023-05-02,296.92425537109375,298.20001220703125,303.42498779296875,297.5,297.75,28300
2023-05-03,290.75079345703125,292.0,297.5,290.5,296.54998779296875,17308
2023-05-04,285.6725769042969,286.8999938964844,298.95001220703125,285.0,292.5249938964844,30476
2023-05-05,285.8717346191406,287.1000061035156,293.45001220703125,280.04998779296875,293.45001220703125,7536
2023-05-08,283.9051818847656,285.125,294.0,283.5,287.0,21748
2023-05-09,277.2587585449219,278.45001220703125,286.92498779296875,275.0,285.54998779296875,17542
2023-05-10,283.9798889160156,285.20001220703125,286.0,275.0,275.0,15906
2023-05-11,279.2253112792969,280.42498779296875,287.4750061035156,277.5249938964844,286.45001220703125,11408
2023-05-12,278.1797790527344,279.375,284.25,272.25,284.25,33882
2023-05-15,286.36962890625,287.6000061035156,289.45001220703125,272.5249938964844,279.9750061035156,45768
2023-05-16,285.12493896484375,286.3500061035156,289.9750061035156,282.3999938964844,289.45001220703125,18178
2023-05-17,293.68817138671875,294.95001220703125,296.3500061035156,287.5,289.0,27930
2023-05-18,296.0530090332031,297.32501220703125,303.42498779296875,294.95001220703125,301.45001220703125,33660
2023-05-19,293.96197509765625,295.2250061035156,299.42498779296875,290.0,298.45001220703125,16228
2023-05-22,295.7044982910156,296.9750061035156,305.8500061035156,295.5249938964844,298.45001220703125,24622
2023-05-23,289.1327209472656,290.375,298.45001220703125,288.8500061035156,298.45001220703125,18348
2023-05-24,300.010986328125,301.29998779296875,304.875,290.75,290.75,46222
2023-05-25,306.3089599609375,307.625,311.45001220703125,306.0,309.95001220703125,18498
2023-05-26,310.5656433105469,311.8999938964844,314.875,298.3500061035156,308.2749938964844,40704
2023-05-29,305.5372619628906,306.8500061035156,313.5,306.0249938964844,312.9750061035156,9044
2023-05-30,309.5201416015625,310.8500061035156,311.5,305.0,308.0,16880
2023-05-31,307.852294921875,309.17498779296875,312.42498779296875,307.5249938964844,310.0,9146
2023-06-01,307.9269714355469,309.25,310.42498779296875,307.5,309.25,4116
2023-06-02,310.4909973144531,311.82501220703125,323.92498779296875,310.5,311.95001220703125,26180
2023-06-05,308.00164794921875,309.32501220703125,314.6000061035156,305.375,312.5,32442
2023-06-06,307.05572509765625,308.375,311.42498779296875,306.5,308.75,12084
2023-06-07,314.7725524902344,316.125,317.5,306.2749938964844,310.5,57630
2023-06-08,311.90985107421875,313.25,324.95001220703125,312.82501220703125,317.45001220703125,14816
2023-06-09,310.9390563964844,312.2749938964844,314.7749938964844,309.5,313.25,11860
2023-06-12,307.40423583984375,308.7250061035156,318.45001220703125,307.5,318.45001220703125,16448
2023-06-13,313.57769775390625,314.92498779296875,317.42498779296875,305.0,309.95001220703125,35336
2023-06-14,324.35638427734375,325.75,331.3999938964844,314.5,314.5,101808
2023-06-15,321.04559326171875,322.42498779296875,331.54998779296875,320.54998779296875,326.95001220703125,31570
2023-06-16,321.46881103515625,322.8500061035156,325.7250061035156,320.5,322.5,37818
2023-06-19,317.9588928222656,319.32501220703125,326.7250061035156,318.20001220703125,325.95001220703125,10158
2023-06-20,314.8223571777344,316.17498779296875,321.67498779296875,315.0,321.45001220703125,17586
2023-06-21,311.8351745605469,313.17498779296875,317.95001220703125,312.5,316.25,22634
2023-06-22,310.5407409667969,311.875,320.0,310.0,315.0,14180
