Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SHALPAINTS.NS,SHALPAINTS.NS,SHALPAINTS.NS,SHALPAINTS.NS,SHALPAINTS.NS,SHALPAINTS.NS
Date,,,,,,
2022-10-25,164.75,164.75,167.0,161.25,162.85000610351562,74652
2022-10-27,162.5500030517578,162.5500030517578,167.5,161.64999389648438,164.75,59784
2022-10-28,159.39999389648438,159.39999389648438,164.0,156.35000610351562,164.0,123090
2022-10-31,162.0500030517578,162.0500030517578,165.0,156.8000030517578,158.25,169838
2022-11-01,159.0,159.0,163.10000610351562,158.25,161.0,126351
2022-11-02,159.5500030517578,159.5500030517578,162.0,158.3000030517578,158.3000030517578,61575
2022-11-03,157.60000610351562,157.60000610351562,160.75,157.10000610351562,158.1999969482422,104221
2022-11-04,157.4499969482422,157.4499969482422,159.8000030517578,155.60000610351562,158.8000030517578,58409
2022-11-07,157.8000030517578,157.8000030517578,159.5,156.5500030517578,158.5,45339
2022-11-09,157.85000610351562,157.85000610351562,159.6999969482422,157.0500030517578,157.8000030517578,58317
2022-11-10,155.1999969482422,155.1999969482422,159.10000610351562,155.0,157.35000610351562,95097
2022-11-11,154.14999389648438,154.14999389648438,157.25,153.75,157.25,71241
2022-11-14,154.39999389648438,154.39999389648438,157.5500030517578,153.5500030517578,154.14999389648438,92533
2022-11-15,148.60000610351562,148.60000610351562,154.5500030517578,146.60000610351562,153.60000610351562,122216
2022-11-16,149.85000610351562,149.85000610351562,154.0,148.5500030517578,149.0,75673
2022-11-17,150.25,150.25,152.25,148.5,151.35000610351562,108657
2022-11-18,152.6999969482422,152.6999969482422,155.0,148.39999389648438,152.25,67649
2022-11-21,152.9499969482422,152.9499969482422,154.9499969482422,151.5,153.0,37437
2022-11-22,150.9499969482422,150.9499969482422,154.14999389648438,150.10000610351562,151.64999389648438,50216
2022-11-23,150.75,150.75,152.85000610351562,148.75,149.60000610351562,71750
2022-11-24,146.89999389648438,146.89999389648438,152.25,145.75,149.0,118098
2022-11-25,149.60000610351562,149.60000610351562,150.3000030517578,145.6999969482422,146.89999389648438,54023
2022-11-28,147.89999389648438,147.89999389648438,150.9499969482422,146.5500030517578,150.0,60605
2022-11-29,147.0,147.0,149.8000030517578,146.5,148.89999389648438,50624
2022-11-30,147.1999969482422,147.1999969482422,150.0,146.6999969482422,147.4499969482422,47713
2022-12-01,146.25,146.25,148.25,145.5,147.6999969482422,48295
2022-12-02,145.3000030517578,145.3000030517578,148.0,145.0,145.89999389648438,41092
2022-12-05,145.0,145.0,146.6999969482422,144.39999389648438,146.0500030517578,36157
2022-12-06,144.25,144.25,147.3000030517578,142.10000610351562,147.3000030517578,55753
