Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TNPL.NS,TNPL.NS,TNPL.NS,TNPL.NS,TNPL.NS,TNPL.NS
Date,,,,,,
2022-10-25,237.49481201171875,250.4499969482422,256.5,238.0,238.0,513463
2022-10-27,242.75775146484375,256.0,257.3999938964844,252.0,253.0,363491
2022-10-28,246.6456756591797,260.1000061035156,263.70001220703125,254.89999389648438,258.0,352863
2022-10-31,252.904296875,266.70001220703125,269.70001220703125,261.0,265.0,514118
2022-11-01,252.904296875,266.70001220703125,269.8999938964844,261.79998779296875,269.8999938964844,283724
2022-11-02,253.04649353027344,266.8500061035156,269.0,261.54998779296875,264.1000061035156,237009
2022-11-03,256.60247802734375,270.6000061035156,275.8999938964844,265.1499938964844,265.25,467721
2022-11-04,254.80079650878906,268.70001220703125,274.3999938964844,266.5,272.0,178305
2022-11-07,254.6585235595703,268.54998779296875,271.20001220703125,265.1000061035156,268.75,199738
2022-11-09,263.57232666015625,277.95001220703125,283.8999938964844,268.25,271.79998779296875,666006
2022-11-10,252.85682678222656,266.6499938964844,278.8999938964844,263.5,275.0,331453
2022-11-11,249.44305419921875,263.04998779296875,280.0,261.8500061035156,274.1000061035156,673109
2022-11-14,250.72323608398438,264.3999938964844,274.79998779296875,257.29998779296875,267.75,664887
2022-11-15,247.8310089111328,261.3500061035156,269.5,259.0,265.1000061035156,326929
2022-11-16,245.365478515625,258.75,265.5,257.45001220703125,262.6000061035156,178648
2022-11-17,237.2577667236328,250.1999969482422,260.3999938964844,248.60000610351562,258.75,285749
2022-11-18,239.53363037109375,252.60000610351562,257.29998779296875,249.5,250.0,181483
2022-11-21,237.44741821289062,250.39999389648438,255.1999969482422,248.6999969482422,253.5500030517578,131440
2022-11-22,241.5723876953125,254.75,257.25,249.8000030517578,251.8000030517578,140479
2022-11-23,247.87840270996094,261.3999938964844,265.5,256.54998779296875,256.8999938964844,353023
2022-11-24,246.50343322753906,259.95001220703125,268.04998779296875,258.79998779296875,262.6499938964844,253201
2022-11-25,242.42584228515625,255.64999389648438,263.5,254.89999389648438,260.1000061035156,128691
2022-11-28,234.03363037109375,246.8000030517578,257.70001220703125,245.1999969482422,255.9499969482422,405686
2022-11-29,230.90432739257812,243.5,251.64999389648438,242.64999389648438,247.0,331108
2022-11-30,234.69740295410156,247.5,249.0,243.3000030517578,244.89999389648438,342858
2022-12-01,236.8310546875,249.75,251.8000030517578,247.5,248.75,316643
2022-12-02,234.41293334960938,247.1999969482422,252.39999389648438,246.0,250.0,159701
2022-12-05,238.0637969970703,251.0500030517578,251.85000610351562,246.60000610351562,248.3000030517578,195646
2022-12-06,236.35690307617188,249.25,254.10000610351562,247.5,251.0,137778
2022-12-07,234.3655242919922,247.14999389648438,253.10000610351562,245.10000610351562,249.25,133326
2022-12-08,235.93019104003906,248.8000030517578,250.85000610351562,245.9499969482422,247.25,271006
2022-12-09,238.25344848632812,251.25,256.1499938964844,249.25,250.0,280336
2022-12-12,242.94740295410156,256.20001220703125,259.45001220703125,246.0,252.10000610351562,290902
2022-12-13,241.3827362060547,254.5500030517578,258.54998779296875,252.35000610351562,257.0,187068
2022-12-14,241.5723876953125,254.75,259.70001220703125,252.5,254.9499969482422,157151
2022-12-15,241.71463012695312,254.89999389648438,259.29998779296875,253.3000030517578,255.1999969482422,163754
2022-12-16,237.96896362304688,250.9499969482422,257.0,249.60000610351562,254.60000610351562,157099
2022-12-19,243.61119079589844,256.8999938964844,262.0,250.9499969482422,250.9499969482422,712945
2022-12-20,250.01202392578125,263.6499938964844,264.8999938964844,257.95001220703125,258.1499938964844,601305
2022-12-21,233.65432739257812,246.39999389648438,267.70001220703125,240.1999969482422,265.8999938964844,778321
2022-12-22,228.91294860839844,241.39999389648438,249.60000610351562,237.5,247.85000610351562,291976
2022-12-23,213.5035400390625,225.14999389648438,238.6999969482422,223.0,238.10000610351562,310959
2022-12-26,226.9215850830078,239.3000030517578,242.4499969482422,221.0500030517578,226.3000030517578,231389
2022-12-27,227.6802215576172,240.10000610351562,245.0,237.0,240.0,165612
2022-12-28,229.71897888183594,242.25,243.8000030517578,238.3000030517578,240.35000610351562,123758
