Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WSTCSTPAPR.NS,WSTCSTPAPR.NS,WSTCSTPAPR.NS,WSTCSTPAPR.NS,WSTCSTPAPR.NS,WSTCSTPAPR.NS
Date,,,,,,
2022-10-10,510.82464599609375,533.9000244140625,538.4000244140625,495.04998779296875,497.95001220703125,354048
2022-10-11,503.5530090332031,526.2999877929688,553.0,521.9000244140625,545.0,414826
2022-10-12,496.425048828125,518.8499755859375,534.5999755859375,512.0,526.5,201231
2022-10-13,506.2320556640625,529.0999755859375,533.0999755859375,515.75,521.7000122070312,183045
2022-10-14,512.8338623046875,536.0,544.5,528.0499877929688,534.9000244140625,262829
2022-10-17,530.7734375,554.75,559.9500122070312,532.0,535.7000122070312,305958
2022-10-18,550.4830932617188,575.3499755859375,579.0999755859375,557.8499755859375,557.8499755859375,466392
2022-10-19,555.841064453125,580.9500122070312,584.0,573.3499755859375,580.0,309294
2022-10-20,557.3718872070312,582.5499877929688,588.25,573.25,579.0,219597
2022-10-21,545.8905639648438,570.5499877929688,592.7000122070312,565.0,583.0499877929688,323243
2022-10-24,554.2144775390625,579.25,582.9000244140625,565.2000122070312,570.5999755859375,108969
2022-10-25,561.9166259765625,587.2999877929688,595.9000244140625,568.2999877929688,579.2999877929688,368515
2022-10-27,580.86083984375,607.0999755859375,609.0,590.2999877929688,598.0,291939
2022-10-28,574.8809814453125,600.8499755859375,616.4500122070312,592.9000244140625,609.0999755859375,239008
2022-10-31,582.9179077148438,609.25,624.9500122070312,605.6500244140625,610.0,399970
2022-11-01,578.5645751953125,604.7000122070312,614.6500244140625,600.0999755859375,614.5999755859375,223058
2022-11-02,555.4583740234375,580.5499877929688,606.8499755859375,576.6500244140625,604.0,254970
2022-11-03,556.7978515625,581.9500122070312,593.0,578.2999877929688,588.0,309375
2022-11-04,558.1851806640625,583.4000244140625,590.75,570.9500122070312,583.0,198923
2022-11-07,566.7962036132812,592.4000244140625,596.0999755859375,579.8499755859375,586.9500122070312,205387
2022-11-09,583.4441528320312,609.7999877929688,619.0,595.5499877929688,597.0,446422
2022-11-10,566.7005004882812,592.2999877929688,617.0,582.6500244140625,610.0,693677
2022-11-11,558.0894775390625,583.2999877929688,601.9000244140625,578.0999755859375,600.0,326831
2022-11-14,577.8469848632812,603.9500122070312,614.5,574.0,587.9000244140625,467233
2022-11-15,565.073974609375,590.5999755859375,609.7999877929688,588.0999755859375,607.7999877929688,216243
2022-11-16,560.4813842773438,585.7999877929688,599.2000122070312,582.0,593.4500122070312,153342
2022-11-17,552.3488159179688,577.2999877929688,589.9000244140625,574.3499755859375,587.9500122070312,104883
2022-11-18,560.9598388671875,586.2999877929688,597.8499755859375,578.1500244140625,579.0,229911
2022-11-21,562.6820068359375,588.0999755859375,597.4500122070312,581.5999755859375,586.2999877929688,154805
2022-11-22,585.501220703125,611.9500122070312,614.5,588.0999755859375,592.25,519926
2022-11-23,621.90673828125,650.0,663.9500122070312,613.4000244140625,615.0,1705406
2022-11-24,605.115234375,632.4500122070312,662.0,628.1500244140625,655.9500122070312,463726
2022-11-25,598.704833984375,625.75,639.8499755859375,622.2000122070312,632.9000244140625,242990
2022-11-28,558.7113647460938,583.9500122070312,625.75,580.6500244140625,625.4000244140625,731624
2022-11-29,553.4013061523438,578.4000244140625,593.5,573.8499755859375,590.0,374545
2022-11-30,579.0908203125,605.25,615.0,578.0499877929688,582.8499755859375,987530
2022-12-01,567.6094360351562,593.25,615.0,590.0,609.25,300349
2022-12-02,562.2993774414062,587.7000122070312,597.1500244140625,582.7000122070312,593.25,172152
2022-12-05,562.3949584960938,587.7999877929688,592.4500122070312,581.7000122070312,589.9000244140625,148433
2022-12-06,557.7545776367188,582.9500122070312,589.5,581.0,588.7999877929688,83961
2022-12-07,559.1419677734375,584.4000244140625,589.9000244140625,577.0999755859375,584.8499755859375,127421
2022-12-08,556.032470703125,581.1500244140625,592.5,580.0,587.2999877929688,132190
2022-12-09,553.927490234375,578.9500122070312,590.0,576.4000244140625,582.0,113082
2022-12-12,565.5523681640625,591.0999755859375,594.9500122070312,576.3499755859375,577.0999755859375,156887
2022-12-13,557.3240966796875,582.5,593.0,576.9500122070312,592.0,133218
2022-12-14,555.745361328125,580.8499755859375,589.0999755859375,578.5,585.0,83942
2022-12-15,554.023193359375,579.0499877929688,586.5,577.0999755859375,580.0,80680
2022-12-16,522.9278564453125,546.5499877929688,583.2999877929688,543.0,579.0,371016
2022-12-19,541.1544799804688,565.5999755859375,568.7999877929688,538.0,543.1500244140625,356611
2022-12-20,546.416748046875,571.0999755859375,578.5,560.5999755859375,564.0,492144
2022-12-21,520.5836791992188,544.0999755859375,604.0,540.0,572.5,230075
2022-12-22,496.5685729980469,519.0,552.5999755859375,512.7000122070312,545.9000244140625,226626
2022-12-23,449.3036804199219,469.6000061035156,517.8499755859375,464.70001220703125,513.0,335516
2022-12-26,479.2508544921875,500.8999938964844,503.75,461.0,461.6000061035156,203330
2022-12-27,483.412841796875,505.25,519.9000244140625,502.0,505.0,144022
2022-12-28,490.875732421875,513.0499877929688,518.0,502.95001220703125,507.45001220703125,107718
2022-12-29,484.60882568359375,506.5,512.9000244140625,504.0,512.9000244140625,57766
2022-12-30,500.9697570800781,523.5999755859375,525.9000244140625,502.3500061035156,508.0,225104
2023-01-02,514.5559692382812,537.7999877929688,539.7000122070312,524.0,525.0,133699
2023-01-03,514.5559692382812,537.7999877929688,543.3499755859375,532.0999755859375,543.0,96917
2023-01-04,512.1640625,535.2999877929688,545.0,527.0999755859375,538.0,115602
2023-01-05,526.4201049804688,550.2000122070312,555.75,536.0,538.0,305880
2023-01-06,521.5884399414062,545.1500244140625,552.9000244140625,540.4000244140625,552.7000122070312,87810
2023-01-09,520.1531982421875,543.6500244140625,560.0,540.3499755859375,548.1500244140625,187939
2023-01-10,506.08856201171875,528.9500122070312,543.0,526.0,543.0,84494
2023-01-11,502.7397766113281,525.4500122070312,531.9000244140625,523.3499755859375,530.0,59232
2023-01-12,515.8954467773438,539.2000122070312,541.9500122070312,526.0,528.0,97868
2023-01-13,516.0390625,539.3499755859375,544.5,533.5499877929688,541.75,77999
2023-01-16,511.6378173828125,534.75,543.3499755859375,533.5499877929688,540.0,61306
2023-01-17,507.18878173828125,530.0999755859375,538.4500122070312,528.9000244140625,534.75,29878
2023-01-18,507.427978515625,530.3499755859375,538.7999877929688,527.0999755859375,528.7999877929688,28018
2023-01-19,508.4326477050781,531.4000244140625,534.4000244140625,525.5,530.2999877929688,37151
2023-01-20,511.39862060546875,534.5,537.9500122070312,528.0,534.7000122070312,98165
2023-01-23,491.11492919921875,513.2999877929688,536.9000244140625,509.8999938964844,534.5,113375
2023-01-24,483.3171691894531,505.1499938964844,515.9000244140625,497.1499938964844,515.9000244140625,136386
2023-01-25,472.6490783691406,494.0,512.7000122070312,490.0,505.95001220703125,96578
2023-01-27,456.67083740234375,477.29998779296875,511.95001220703125,472.5,496.45001220703125,119075
2023-01-30,480.9730529785156,502.70001220703125,507.3500061035156,480.95001220703125,480.95001220703125,152827
2023-01-31,515.4649658203125,538.75,545.0,502.8500061035156,508.04998779296875,259032
2023-02-01,490.5887145996094,512.75,557.4000244140625,509.25,541.0,267522
2023-02-02,501.68731689453125,524.3499755859375,537.7999877929688,505.04998779296875,512.75,172084
2023-02-03,498.6256408691406,521.1500244140625,531.75,507.54998779296875,527.0,132750
