Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SIGNPOST.NS,SIGNPOST.NS,SIGNPOST.NS,SIGNPOST.NS,SIGNPOST.NS,SIGNPOST.NS
Date,,,,,,
2024-02-14,325.2792663574219,326.54998779296875,326.54998779296875,310.0,311.0,282697
2024-02-15,341.5158386230469,342.8500061035156,342.8500061035156,342.8500061035156,342.8500061035156,24576
2024-02-16,358.54931640625,359.95001220703125,359.95001220703125,359.95001220703125,359.95001220703125,6741
2024-02-19,376.4294738769531,377.8999938964844,377.8999938964844,377.8999938964844,377.8999938964844,22916
2024-02-20,395.20611572265625,396.75,396.75,396.75,396.75,3836
2024-02-21,393.76171875,395.29998779296875,416.54998779296875,378.1000061035156,416.54998779296875,437725
2024-02-22,374.0885925292969,375.54998779296875,388.0,375.54998779296875,375.6000061035156,52127
2024-02-23,389.8769226074219,391.3999938964844,394.29998779296875,356.79998779296875,359.0,166798
2024-02-26,390.3749694824219,391.8999938964844,398.79998779296875,371.8500061035156,392.0,75102
2024-02-27,385.7430725097656,387.25,395.5,383.1000061035156,390.0,28903
2024-02-28,378.0232238769531,379.5,414.8999938964844,351.8500061035156,399.8500061035156,181816
2024-02-29,385.8924560546875,387.3999938964844,392.0,364.95001220703125,375.0,99304
2024-03-01,435.99676513671875,437.70001220703125,449.79998779296875,389.04998779296875,392.1000061035156,307941
2024-03-04,425.4878234863281,427.1499938964844,458.0,417.04998779296875,449.0,103750
2024-03-05,403.8224182128906,405.3999938964844,436.0,401.1000061035156,436.0,118254
2024-03-06,435.7975158691406,437.5,442.0,385.0,400.0,177236
2024-03-07,439.981201171875,441.70001220703125,466.0,435.25,445.0,129793
2024-03-11,410.5959777832031,412.20001220703125,447.1499938964844,408.45001220703125,415.0,113530
2024-03-12,419.6605529785156,421.29998779296875,429.25,400.0,402.0,128008
2024-03-13,366.2691345214844,367.70001220703125,426.8999938964844,355.25,423.95001220703125,163890
2024-03-14,391.2216491699219,392.75,405.0,361.0,361.0,75571
2024-03-15,388.38275146484375,389.8999938964844,399.0,382.5,395.1499938964844,20175
