Price,Adj Close,Close,High,Low,Open,Volume
10-10-2022,91.05928802,97.15000153,98.5,96.5,98.40000153,534422
11-10-2022,89.09094238,95.05000305,98,94.55000305,97.69999695,518654
12-10-2022,90.45002747,96.5,97.90000153,94.40000153,95.75,597700
13-10-2022,89.65332794,95.65000153,97.90000153,95.19999695,96.94999695,795106
14-10-2022,90.1688385,96.19999695,97.5,95.90000153,96.90000153,420244
17-10-2022,89.32527161,95.30000305,96.34999847,94.80000305,96,386071
18-10-2022,89.74705505,95.75,97,95.40000153,95.94999695,403813
19-10-2022,88.80975342,94.75,96.40000153,94.5,96.19999695,448337
20-10-2022,87.87243652,93.75,94.69999695,93.25,94.5,601475
21-10-2022,87.12259674,92.94999695,95.75,92.59999847,95.75,738767
24-10-2022,87.12259674,92.94999695,92.94999695,92.94999695,92.94999695,293876
25-10-2022,86.79454041,92.59999847,95.34999847,92.19999695,94.90000153,620276
27-10-2022,87.54438782,93.40000153,94.09999847,92.65000153,93.40000153,616079
28-10-2022,87.16946411,93,94.25,92.80000305,93.40000153,434984
31-10-2022,86.98200989,92.80000305,94,92.5,93.80000305,1162131
01-11-2022,87.26319122,93.09999847,93.94999695,92.55000305,93.30000305,597846
02-11-2022,85.99783325,91.75,94.5,91,93.09999847,1189963
03-11-2022,85.81037903,91.55000305,92.5,91.25,91.59999847,521069
04-11-2022,89.74705505,95.75,96.90000153,92,92,2406044
07-11-2022,88.10676575,94,97.19999695,93.75,96.5,937021
09-11-2022,87.6849823,93.55000305,98.40000153,92.59999847,97,3111810
10-11-2022,87.73184967,93.59999847,93.90000153,92.34999847,93.84999847,542170
11-11-2022,87.63811493,93.5,94.80000305,93.30000305,94.80000305,580217
14-11-2022,86.13842773,91.90000153,94,91.69999695,93.55000305,825846
15-11-2022,86.37274933,92.15000153,92.59999847,91.80000305,92.19999695,602632
16-11-2022,86.18528748,91.94999695,92.75,91.75,92,536147
17-11-2022,85.95096588,91.69999695,92.5,91.5,92.40000153,324194
18-11-2022,85.85723114,91.59999847,92.30000305,91.34999847,91.84999847,259238
21-11-2022,85.43545532,91.15000153,91.90000153,90.75,91.59999847,402292
22-11-2022,84.68560028,90.34999847,92.25,90.15000153,91.55000305,378636
23-11-2022,87.59124756,93.44999695,94.34999847,90.75,90.90000153,1017692
24-11-2022,86.98200989,92.80000305,94.19999695,92.65000153,94.09999847,421679
25-11-2022,87.21633148,93.05000305,93.75,92.15000153,92.15000153,412684
28-11-2022,88.3411026,94.25,95.25,93.40000153,93.69999695,636457
29-11-2022,87.028862,92.84999847,95,92.5,94.30000305,682562
30-11-2022,89.74705505,95.75,97.40000153,93.44999695,93.55000305,2840584
01-12-2022,89.51273346,95.5,96.5,95.30000305,96,606391
02-12-2022,93.16822052,99.40000153,100,95.5,95.5,4040677
05-12-2022,95.4646225,101.8499985,102.9000015,98.65000153,99.75,2414500
06-12-2022,95.32402802,101.6999969,103.5999985,101.1999969,102.3000031,1955780
07-12-2022,94.33985901,100.6500015,103.1500015,100.0999985,101.9000015,990558
08-12-2022,93.63687897,99.90000153,101.3499985,99.09999847,100.9000015,630184
09-12-2022,89.70018768,95.69999695,100.5999985,95,100,1235460
12-12-2022,90.59062958,96.65000153,97,94.30000305,95.59999847,674716
13-12-2022,90.63748932,96.69999695,98.09999847,96.15000153,97.44999695,495981
14-12-2022,91.62166595,97.75,98.5,96.40000153,97,913252
15-12-2022,91.29360962,97.40000153,98.90000153,97,97.69999695,519427
16-12-2022,89.60645294,95.59999847,98.34999847,95.30000305,97,618565
19-12-2022,90.12197876,96.15000153,96.44999695,94.44999695,95.90000153,621214
20-12-2022,89.5595932,95.55000305,96,94.69999695,96,351004
21-12-2022,86.51335144,92.30000305,96.65000153,92,95.94999695,773179
22-12-2022,84.17008972,89.80000305,93.80000305,88.80000305,92.55000305,1038301
23-12-2022,77.56208038,82.75,89.30000305,82,89,1324989
26-12-2022,82.29547119,87.80000305,88.25,83.30000305,85.65000153,1110712
27-12-2022,81.73309326,87.19999695,89.75,86.65000153,88.34999847,790520
28-12-2022,81.49875641,86.94999695,89,86.5,87.19999695,1192218
29-12-2022,82.43606567,87.94999695,88.44999695,86.80000305,87,727021
30-12-2022,84.02948761,89.65000153,91.25,88.65000153,88.69999695,1038272
02-01-2023,84.91993713,90.59999847,91.65000153,89.59999847,90.09999847,817683
03-01-2023,84.77933502,90.44999695,93,90.19999695,91.19999695,1038896
04-01-2023,81.54563141,87,90.94999695,86.80000305,90.80000305,1110746
05-01-2023,79.85848236,85.19999695,87.69999695,84.80000305,86.94999695,1398457
06-01-2023,80.98324585,86.40000153,86.84999847,85.19999695,85.80000305,735867
09-01-2023,82.85785675,88.40000153,88.75,86.5,87,986191
10-01-2023,82.38921356,87.90000153,88.80000305,86.65000153,88.75,676457
11-01-2023,84.31067657,89.94999695,91.25,88.09999847,88.25,1174522
12-01-2023,83.65457153,89.25,90.5,88.65000153,90.5,384389
13-01-2023,83.46710968,89.05000305,89.5,88.09999847,89,370631
16-01-2023,82.0611496,87.55000305,89.44999695,87.25,89.44999695,452874
17-01-2023,82.20174408,87.69999695,88.34999847,86.5,87.90000153,435568
18-01-2023,82.52980042,88.05000305,88.5,87.09999847,87.65000153,331045
19-01-2023,81.82682037,87.30000305,88,86.80000305,88,274658
20-01-2023,81.63935852,87.09999847,88.25,87,87.80000305,480700
23-01-2023,81.4050293,86.84999847,87.44999695,86.55000305,87.44999695,330800
24-01-2023,80.93637848,86.34999847,87.30000305,86.05000305,87,401371
25-01-2023,79.43669128,84.75,87,84,86.59999847,1128201
27-01-2023,80.88951874,86.30000305,88.84999847,83.30000305,84.5,1945992
