Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JBMA.NS,JBMA.NS,JBMA.NS,JBMA.NS,JBMA.NS,JBMA.NS
Date,,,,,,
2022-10-25,205.6573486328125,206.27499389648438,211.39999389648438,206.0,210.5,125242
2022-10-27,203.7879638671875,204.39999389648438,207.77499389648438,203.5,207.77499389648438,142238
2022-10-28,201.76902770996094,202.375,206.5,201.77499389648438,204.4499969482422,82824
2022-10-31,202.84080505371094,203.4499969482422,205.875,202.5500030517578,204.39999389648438,104296
2022-11-01,204.3861541748047,205.0,207.47500610351562,203.47500610351562,204.0,93646
2022-11-02,204.53570556640625,205.14999389648438,207.5,204.14999389648438,206.5,85746
2022-11-03,205.38316345214844,206.0,207.60000610351562,204.25,204.97500610351562,61526
2022-11-04,207.75106811523438,208.375,212.0749969482422,207.10000610351562,207.97500610351562,111454
2022-11-07,207.75106811523438,208.375,212.9499969482422,206.89999389648438,212.9499969482422,188164
2022-11-09,206.47988891601562,207.10000610351562,209.25,206.4499969482422,208.375,125580
2022-11-10,203.68826293945312,204.3000030517578,207.1750030517578,202.60000610351562,204.3249969482422,106460
2022-11-11,203.86273193359375,204.47500610351562,206.97500610351562,203.5,206.97500610351562,66240
2022-11-14,211.24058532714844,211.875,213.60000610351562,204.5500030517578,206.0,469138
2022-11-15,215.8018798828125,216.4499969482422,219.5,211.97500610351562,212.4250030517578,1015864
2022-11-16,211.0411834716797,211.6750030517578,217.6999969482422,209.125,217.6999969482422,215732
2022-11-17,213.53370666503906,214.1750030517578,216.97500610351562,206.97500610351562,212.0,398588
2022-11-18,216.2505340576172,216.89999389648438,222.5,213.77499389648438,219.5,400260
2022-11-21,216.77395629882812,217.4250030517578,220.0500030517578,216.22500610351562,216.89999389648438,185522
2022-11-22,208.89759826660156,209.52499389648438,218.02499389648438,204.39999389648438,218.0,150110
2022-11-23,205.1837615966797,205.8000030517578,213.0,204.0,211.0500030517578,162100
2022-11-24,212.83580017089844,213.47500610351562,218.1999969482422,206.4499969482422,206.72500610351562,261858
2022-11-25,211.9883270263672,212.625,215.9499969482422,211.52499389648438,214.5500030517578,83380
2022-11-28,212.31236267089844,212.9499969482422,216.02499389648438,211.5,213.0,126282
2022-11-29,209.76998901367188,210.39999389648438,212.9499969482422,209.02499389648438,211.0,102088
2022-11-30,213.33428955078125,213.97500610351562,218.5500030517578,210.5,210.9499969482422,219234
2022-12-01,214.879638671875,215.52499389648438,218.5,212.5,215.5749969482422,178902
2022-12-02,212.48683166503906,213.125,216.39999389648438,211.47500610351562,216.39999389648438,174826
2022-12-05,213.13490295410156,213.77499389648438,219.85000610351562,213.10000610351562,219.85000610351562,96070
2022-12-06,211.36520385742188,212.0,214.47500610351562,211.52499389648438,213.77499389648438,58496
2022-12-07,208.3741912841797,209.0,213.4499969482422,208.02499389648438,213.0500030517578,76268
2022-12-08,210.09402465820312,210.72500610351562,211.8000030517578,208.0749969482422,209.9499969482422,105604
2022-12-09,205.88168334960938,206.5,212.8000030517578,204.8000030517578,212.72500610351562,145426
2022-12-12,206.18077087402344,206.8000030517578,207.52499389648438,202.5,207.52499389648438,118452
2022-12-13,204.6354217529297,205.25,208.22500610351562,203.5,206.9499969482422,93792
2022-12-14,203.53871154785156,204.14999389648438,206.3249969482422,203.75,205.5,94508
2022-12-15,206.05616760253906,206.6750030517578,208.97500610351562,204.0,205.8249969482422,194806
2022-12-16,205.6573486328125,206.27499389648438,208.97500610351562,204.14999389648438,206.0749969482422,151764
2022-12-19,224.20164489746094,224.875,236.25,206.47500610351562,207.5,1755928
2022-12-20,237.93540954589844,238.64999389648438,240.6999969482422,222.5,224.85000610351562,3261344
2022-12-21,220.33824157714844,221.0,244.75,213.10000610351562,238.5,1158650
2022-12-22,245.9862518310547,246.72500610351562,252.0,215.5500030517578,225.0,5189382
2022-12-23,230.23355102539062,230.9250030517578,244.75,227.6999969482422,240.0,1973834
2022-12-26,235.692138671875,236.39999389648438,241.97500610351562,224.6999969482422,230.0,964560
2022-12-27,257.9751892089844,258.75,262.5,233.9499969482422,239.1999969482422,5282244
2022-12-28,259.6202697753906,260.3999938964844,267.45001220703125,253.77499389648438,258.54998779296875,2544462
2022-12-29,256.75390625,257.5249938964844,260.3999938964844,254.1999969482422,256.0,575610
2022-12-30,257.22747802734375,258.0,263.875,254.0749969482422,260.79998779296875,910466
2023-01-02,259.7698059082031,260.54998779296875,269.9750061035156,256.07501220703125,258.375,1455028
2023-01-03,257.8007507324219,258.57501220703125,265.70001220703125,257.5,265.0,473958
2023-01-04,260.54254150390625,261.32501220703125,268.0,246.9250030517578,258.8500061035156,2753656
2023-01-05,273.079833984375,273.8999938964844,278.8999938964844,259.4750061035156,263.3999938964844,3893608
2023-01-06,266.44976806640625,267.25,274.5,265.32501220703125,274.5,836666
2023-01-09,266.1506652832031,266.95001220703125,273.3999938964844,265.45001220703125,267.5,645454
2023-01-10,263.6332092285156,264.42498779296875,273.2250061035156,263.54998779296875,266.8999938964844,585430
2023-01-11,265.2782897949219,266.07501220703125,268.5,263.3999938964844,265.0,447510
2023-01-12,260.9413146972656,261.7250061035156,271.0,259.29998779296875,267.1499938964844,459042
2023-01-13,264.9293518066406,265.7250061035156,270.0,260.2749938964844,262.2749938964844,396870
2023-01-16,273.65313720703125,274.4750061035156,279.25,262.8500061035156,267.5,1061172
2023-01-17,273.1546325683594,273.9750061035156,278.45001220703125,268.7749938964844,273.17498779296875,636460
2023-01-18,276.2453918457031,277.07501220703125,284.0,273.79998779296875,274.2749938964844,640248
2023-01-19,278.7627868652344,279.6000061035156,281.5,275.0,275.2749938964844,431572
2023-01-20,270.4377746582031,271.25,280.29998779296875,267.7749938964844,279.625,314218
2023-01-23,267.49658203125,268.29998779296875,274.20001220703125,266.1000061035156,271.4750061035156,258598
2023-01-24,258.648193359375,259.42498779296875,269.5,256.95001220703125,268.25,241376
2023-01-25,266.44976806640625,267.25,276.5,256.6499938964844,259.45001220703125,1101426
2023-01-27,262.1626281738281,262.95001220703125,273.125,257.0,268.4750061035156,438332
2023-01-30,260.4677429199219,261.25,268.8999938964844,255.0,263.32501220703125,328082
2023-01-31,266.375,267.17498779296875,271.0,262.0249938964844,262.1499938964844,257488
2023-02-01,256.03106689453125,256.79998779296875,273.7749938964844,251.72500610351562,269.8500061035156,372170
2023-02-02,255.90640258789062,256.67498779296875,263.20001220703125,255.02499389648438,257.5,153566
2023-02-03,256.0809020996094,256.8500061035156,261.0249938964844,248.72500610351562,258.7250061035156,227858
2023-02-06,250.07394409179688,250.8249969482422,258.0,250.0500030517578,257.0,196410
2023-02-07,245.31324768066406,246.0500030517578,252.52499389648438,244.0,250.8249969482422,226140
2023-02-08,248.05502319335938,248.8000030517578,254.1999969482422,242.0500030517578,247.3000030517578,342020
2023-02-09,242.19760131835938,242.9250030517578,251.85000610351562,241.47500610351562,249.9499969482422,219612
2023-02-10,268.0699157714844,268.875,274.95001220703125,242.875,243.27499389648438,2728056
2023-02-13,257.3022766113281,258.07501220703125,272.4750061035156,255.0,263.0,1211232
2023-02-14,259.5953674316406,260.375,268.0,255.3249969482422,260.0,820126
2023-02-15,262.83563232421875,263.625,267.8500061035156,259.1499938964844,261.0,619416
2023-02-16,262.3371276855469,263.125,266.0,260.5249938964844,265.5,251892
2023-02-17,275.64715576171875,276.4750061035156,279.0,260.07501220703125,261.32501220703125,1925830
2023-02-20,289.6301574707031,290.5,292.5,279.2749938964844,279.2749938964844,2526756
2023-02-21,286.88836669921875,287.75,295.5,286.3999938964844,290.0,1106428
2023-02-22,280.85650634765625,281.70001220703125,289.45001220703125,277.9750061035156,288.45001220703125,544468
2023-02-23,276.0210266113281,276.8500061035156,285.1000061035156,274.1000061035156,283.4750061035156,460420
2023-02-24,282.9501953125,283.79998779296875,286.3500061035156,274.6499938964844,277.54998779296875,767698
2023-02-27,275.5474548339844,276.375,284.5249938964844,275.5,283.6499938964844,330062
2023-02-28,286.31512451171875,287.17498779296875,291.1000061035156,276.375,276.6000061035156,1771906
2023-03-01,283.2243957519531,284.07501220703125,287.5249938964844,280.0,285.0,328594
2023-03-02,288.8574523925781,289.7250061035156,301.4750061035156,283.95001220703125,284.29998779296875,2339942
2023-03-03,288.1346435546875,289.0,294.92498779296875,284.3999938964844,291.75,710286
2023-03-06,287.6112060546875,288.4750061035156,297.1000061035156,287.5,289.7749938964844,458988
2023-03-08,296.035888671875,296.92498779296875,303.0,285.625,287.9750061035156,1114124
2023-03-09,311.81353759765625,312.75,322.1000061035156,292.9750061035156,298.54998779296875,3391770
2023-03-10,320.6868591308594,321.6499938964844,336.45001220703125,313.5,318.5,8643822
2023-03-13,304.7347717285156,305.6499938964844,325.75,303.0,324.3500061035156,1857040
2023-03-14,301.2452697753906,302.1499938964844,308.70001220703125,294.0,306.0,1058794
2023-03-15,296.8335266113281,297.7250061035156,313.7250061035156,295.5,305.3999938964844,1304626
2023-03-16,286.7886962890625,287.6499938964844,297.9750061035156,285.0,294.8999938964844,1421976
2023-03-17,312.6111145019531,313.54998779296875,315.92498779296875,286.5,290.20001220703125,4233742
2023-03-20,304.23626708984375,305.1499938964844,316.5,301.82501220703125,313.0,1172978
2023-03-21,309.1216125488281,310.04998779296875,312.82501220703125,303.375,307.5,994946
2023-03-22,320.5871887207031,321.54998779296875,327.1000061035156,310.9750061035156,311.5249938964844,2624728
2023-03-23,318.49346923828125,319.45001220703125,325.0,316.79998779296875,319.8999938964844,652496
2023-03-24,308.5234069824219,309.45001220703125,325.0,307.29998779296875,319.5,1169382
2023-03-27,312.5363464355469,313.4750061035156,316.5,303.92498779296875,312.0,839896
2023-03-28,313.0597839355469,314.0,321.1499938964844,307.5,313.5,680674
2023-03-29,316.07574462890625,317.0249938964844,322.5,310.67498779296875,314.5,759214
2023-03-31,321.03582763671875,322.0,329.0,318.07501220703125,320.9750061035156,917070
2023-04-03,350.995849609375,352.04998779296875,356.0,322.8999938964844,323.75,6417420
2023-04-05,349.948974609375,351.0,362.0,345.04998779296875,353.7749938964844,3429304
2023-04-06,364.7296142578125,365.82501220703125,369.0,347.79998779296875,351.0,2187698
2023-04-10,375.6717224121094,376.79998779296875,381.0,363.0,368.25,2135708
2023-04-11,370.01373291015625,371.125,384.5,368.2250061035156,377.5,1845412
2023-04-12,371.3846130371094,372.5,375.82501220703125,366.7250061035156,370.0,756308
2023-04-13,377.3417053222656,378.4750061035156,380.75,370.0,373.0,746236
2023-04-17,369.689697265625,370.79998779296875,381.92498779296875,368.57501220703125,379.9750061035156,522830
2023-04-18,391.4991760253906,392.67498779296875,396.3999938964844,370.9750061035156,372.04998779296875,3069048
2023-04-19,405.65667724609375,406.875,409.45001220703125,388.625,396.0,3427788
2023-04-20,402.765380859375,403.9750061035156,410.125,396.0249938964844,406.6000061035156,1634866
2023-04-21,404.43536376953125,405.6499938964844,407.92498779296875,400.375,404.0,897162
2023-04-24,415.5519714355469,416.79998779296875,424.5,405.0,405.0,1882506
2023-04-25,416.5988464355469,417.8500061035156,421.1499938964844,415.0,417.0,723636
2023-04-26,411.51409912109375,412.75,424.4750061035156,409.4750061035156,419.5,871350
2023-04-27,400.7962951660156,402.0,413.79998779296875,400.5,412.75,759114
2023-04-28,400.1233215332031,401.32501220703125,412.5,397.54998779296875,403.1499938964844,759968
2023-05-02,389.1811828613281,390.3500061035156,404.2250061035156,387.0,401.75,1107590
2023-05-03,390.9010009765625,392.07501220703125,402.4750061035156,389.6000061035156,391.9750061035156,700512
2023-05-04,393.11932373046875,394.29998779296875,399.5,391.9750061035156,392.0,435204
2023-05-05,415.1531677246094,416.3999938964844,417.92498779296875,394.5,395.0,1832818
2023-05-08,410.7912902832031,412.0249938964844,418.5249938964844,410.0,418.42498779296875,484670
2023-05-09,413.40838623046875,414.6499938964844,420.0,412.07501220703125,413.9750061035156,641514
2023-05-10,385.36761474609375,386.5249938964844,426.8500061035156,370.9750061035156,417.0,5415908
2023-05-11,385.1931457519531,386.3500061035156,393.5,377.79998779296875,387.45001220703125,1165232
2023-05-12,383.6727294921875,384.82501220703125,394.7749938964844,382.4750061035156,386.6000061035156,540376
2023-05-15,390.203125,391.375,393.8999938964844,383.0,385.5,416788
2023-05-16,383.5979309082031,384.75,392.5,383.45001220703125,392.45001220703125,282860
2023-05-17,377.3417053222656,378.4750061035156,387.5,377.5,385.75,311760
2023-05-18,381.2798767089844,382.42498779296875,389.0,379.07501220703125,380.0,305002
2023-05-19,379.285888671875,380.42498779296875,385.3999938964844,372.25,383.0,467804
2023-05-22,382.3018493652344,383.45001220703125,386.0,375.875,380.42498779296875,266922
2023-05-23,374.9987487792969,376.125,384.5249938964844,375.0,382.6000061035156,277800
2023-05-24,380.332763671875,381.4750061035156,393.5,376.1499938964844,376.1499938964844,651568
2023-05-25,395.1383056640625,396.32501220703125,401.5,383.9750061035156,384.32501220703125,1408832
