Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KALYANIFRG.NS,KALYANIFRG.NS,KALYANIFRG.NS,KALYANIFRG.NS,KALYANIFRG.NS,KALYANIFRG.NS
Date,,,,,,
2022-10-10,197.8493194580078,201.5,207.6999969482422,201.0,207.6999969482422,1165
2022-10-11,201.67864990234375,205.39999389648438,209.64999389648438,198.5500030517578,198.5500030517578,492
2022-10-12,198.53663635253906,202.1999969482422,213.25,201.0,213.25,630
2022-10-13,196.37649536132812,200.0,206.25,200.0,206.25,1273
2022-10-14,196.37649536132812,200.0,205.60000610351562,200.0,200.0,123
2022-10-17,197.06381225585938,200.6999969482422,207.9499969482422,198.5,207.9499969482422,709
2022-10-18,201.28590393066406,205.0,207.9499969482422,198.0,207.9499969482422,531
2022-10-19,202.70962524414062,206.4499969482422,207.4499969482422,199.5500030517578,204.0,533
2022-10-20,208.84640502929688,212.6999969482422,216.5,205.0,216.5,3521
2022-10-21,209.1900634765625,213.0500030517578,220.0,212.3000030517578,220.0,1876
2022-10-24,214.49221801757812,218.4499969482422,222.85000610351562,215.0,219.9499969482422,2864
2022-10-25,224.99835205078125,229.14999389648438,229.35000610351562,217.0500030517578,219.64999389648438,4085
2022-10-27,236.24093627929688,240.60000610351562,240.60000610351562,237.0500030517578,239.4499969482422,6490
2022-10-28,248.02352905273438,252.60000610351562,252.60000610351562,252.25,252.25,2025
2022-10-31,260.3952331542969,265.20001220703125,265.20001220703125,265.20001220703125,265.20001220703125,1577
2022-11-01,273.4051818847656,278.45001220703125,278.45001220703125,278.45001220703125,278.45001220703125,2174
2022-11-02,274.87799072265625,279.95001220703125,292.3500061035156,264.54998779296875,292.3500061035156,8800
2022-11-03,265.7464599609375,270.6499938964844,280.0,268.0,275.54998779296875,3387
2022-11-04,258.2350769042969,263.0,283.25,258.3999938964844,283.25,1949
2022-11-07,254.06210327148438,258.75,274.5,256.04998779296875,274.5,2952
2022-11-09,248.36717224121094,252.9499969482422,257.04998779296875,248.0,257.04998779296875,1843
2022-11-10,260.7388610839844,265.54998779296875,265.54998779296875,254.5500030517578,264.8999938964844,5408
2022-11-11,273.7488098144531,278.79998779296875,278.79998779296875,277.95001220703125,277.95001220703125,2230
2022-11-14,284.3531799316406,289.6000061035156,292.70001220703125,285.6499938964844,292.70001220703125,21763
2022-11-15,270.16497802734375,275.1499938964844,279.3500061035156,275.1499938964844,278.0,4958
2022-11-16,256.6640930175781,261.3999938964844,269.8999938964844,261.3999938964844,269.8999938964844,2590
2022-11-17,243.85052490234375,248.35000610351562,248.35000610351562,248.35000610351562,248.35000610351562,1737
2022-11-18,256.02587890625,260.75,260.75,236.0,248.0,2510
2022-11-21,263.1445007324219,268.0,273.5,262.0,265.8999938964844,4868
2022-11-22,262.1626281738281,267.0,273.75,257.1499938964844,273.75,2029
2022-11-23,263.733642578125,268.6000061035156,279.45001220703125,255.14999389648438,255.14999389648438,1933
2022-11-24,263.4881591796875,268.3500061035156,279.95001220703125,259.1000061035156,279.75,4289
2022-11-25,259.9043273925781,264.70001220703125,278.54998779296875,255.60000610351562,278.54998779296875,1936
2022-11-28,254.70033264160156,259.3999938964844,272.6499938964844,251.5,272.6499938964844,2581
2022-11-29,251.60739135742188,256.25,266.75,253.0,255.0,2764
2022-11-30,244.24327087402344,248.75,265.45001220703125,247.64999389648438,261.3999938964844,2037
2022-12-01,255.24037170410156,259.95001220703125,261.1499938964844,249.0,259.79998779296875,2029
2022-12-02,257.2532043457031,262.0,269.1499938964844,252.14999389648438,269.1499938964844,1151
2022-12-05,255.9276580810547,260.6499938964844,261.95001220703125,252.6999969482422,261.95001220703125,846
2022-12-06,257.5968933105469,262.3500061035156,263.79998779296875,260.0,260.1000061035156,1002
