Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MONTECARLO.NS,MONTECARLO.NS,MONTECARLO.NS,MONTECARLO.NS,MONTECARLO.NS,MONTECARLO.NS
Date,,,,,,
2022-10-25,653.6001586914062,710.0999755859375,724.5499877929688,707.0,724.5499877929688,30349
2022-10-27,658.5245361328125,715.4500122070312,734.4000244140625,710.0,715.0999755859375,31477
2022-10-28,652.6796875,709.0999755859375,724.5,705.0499877929688,722.7000122070312,19238
2022-10-31,662.2062377929688,719.4500122070312,729.0,712.8499755859375,719.75,33951
2022-11-01,669.6617431640625,727.5499877929688,734.4500122070312,720.7000122070312,734.4500122070312,27091
2022-11-02,666.4402465820312,724.0499877929688,733.9500122070312,722.0,733.9500122070312,39384
2022-11-03,676.0587158203125,734.5,747.0,721.0499877929688,723.0,78958
2022-11-04,672.054931640625,730.1500244140625,745.0,723.0999755859375,741.0,32263
2022-11-07,666.5322875976562,724.1500244140625,741.0,720.0,740.0,38835
2022-11-09,622.9496459960938,676.7999877929688,735.0,657.9500122070312,730.0,146956
2022-11-10,632.9364624023438,687.6500244140625,692.5,666.0499877929688,687.9000244140625,54452
2022-11-11,627.7820434570312,682.0499877929688,692.7999877929688,671.4500122070312,691.6500244140625,57301
2022-11-14,638.7811279296875,694.0,724.0,681.8499755859375,694.5999755859375,138527
2022-11-15,637.630615234375,692.75,709.0,688.0,693.0,52868
2022-11-16,636.4801025390625,691.5,701.0,686.0499877929688,692.0,33794
2022-11-17,638.7811279296875,694.0,697.9500122070312,681.4000244140625,689.9500122070312,19018
2022-11-18,631.8779296875,686.5,697.75,684.0,694.0,17819
2022-11-21,629.438720703125,683.8499755859375,692.9000244140625,672.5999755859375,687.9000244140625,25705
2022-11-22,639.5175170898438,694.7999877929688,704.0,680.0,695.0,46465
2022-11-23,669.0634765625,726.9000244140625,734.6500244140625,696.25,699.9000244140625,261776
2022-11-24,672.6531372070312,730.7999877929688,738.5999755859375,724.0499877929688,730.9500122070312,40552
2022-11-25,663.955078125,721.3499755859375,733.0,718.0499877929688,729.7999877929688,18046
2022-11-28,679.4183959960938,738.1500244140625,746.0,716.0,734.0,86170
2022-11-29,672.7911987304688,730.9500122070312,739.0,728.0499877929688,738.0,23309
2022-11-30,683.46826171875,742.5499877929688,766.0,722.0499877929688,730.5499877929688,132314
2022-12-01,694.0992431640625,754.0999755859375,768.0,743.0,748.0,125875
2022-12-02,688.4385986328125,747.9500122070312,764.2000122070312,745.9000244140625,758.0,49181
2022-12-05,694.42138671875,754.4500122070312,770.0,746.3499755859375,751.5999755859375,55920
2022-12-06,681.1211547851562,740.0,764.5499877929688,732.8499755859375,754.4500122070312,34040
2022-12-07,689.0829467773438,748.6500244140625,753.9000244140625,735.2999877929688,744.0,35841
2022-12-08,683.0540161132812,742.0999755859375,752.9000244140625,738.0,752.9000244140625,28025
2022-12-09,671.5026245117188,729.5499877929688,749.0,726.0,746.0999755859375,17382
2022-12-12,676.56494140625,735.0499877929688,739.9500122070312,717.0999755859375,734.5999755859375,32791
2022-12-13,672.1008911132812,730.2000122070312,741.4000244140625,727.0,739.5999755859375,14437
2022-12-14,668.9254150390625,726.75,737.1500244140625,725.0,734.6500244140625,15170
2022-12-15,668.3731689453125,726.1500244140625,737.9500122070312,724.6500244140625,732.5999755859375,24068
2022-12-16,651.299072265625,707.5999755859375,732.0499877929688,704.4000244140625,726.0,39066
2022-12-19,645.1322021484375,700.9000244140625,713.4500122070312,700.0,702.0499877929688,16797
2022-12-20,634.77734375,689.6500244140625,705.9500122070312,683.7000122070312,700.9500122070312,26877
2022-12-21,620.0043334960938,673.5999755859375,705.0499877929688,670.0,692.0,40225
2022-12-22,587.2368774414062,638.0,681.5999755859375,635.0,677.5999755859375,46230
2022-12-23,566.6651611328125,615.6500244140625,636.6500244140625,609.0499877929688,636.4000244140625,48737
2022-12-26,589.676025390625,640.6500244140625,645.0,614.0499877929688,615.6500244140625,27823
2022-12-27,608.7289428710938,661.3499755859375,668.25,646.7999877929688,659.0,81163
2022-12-28,657.0517578125,713.8499755859375,722.0,657.25,658.9500122070312,125816
2022-12-29,651.299072265625,707.5999755859375,721.2000122070312,701.4000244140625,715.0,42022
2022-12-30,635.8818359375,690.8499755859375,720.0,685.4000244140625,710.9000244140625,33198
2023-01-02,660.6414794921875,717.75,730.6500244140625,691.5999755859375,693.0,52868
2023-01-03,657.511962890625,714.3499755859375,721.0,705.1500244140625,721.0,30886
2023-01-04,644.1196899414062,699.7999877929688,714.9500122070312,696.6500244140625,714.3499755859375,34406
2023-01-05,636.1119384765625,691.0999755859375,706.9000244140625,688.25,701.2000122070312,21612
2023-01-06,628.702392578125,683.0499877929688,692.25,680.0,686.0999755859375,32854
2023-01-09,615.8623657226562,669.0999755859375,697.0999755859375,664.0,694.0,43190
2023-01-10,617.3350830078125,670.7000122070312,677.4500122070312,667.5499877929688,672.9500122070312,25040
2023-01-11,640.990234375,696.4000244140625,708.0,670.0499877929688,670.0499877929688,121616
2023-01-12,635.5596313476562,690.5,704.6500244140625,685.0,704.6500244140625,68497
2023-01-13,631.785888671875,686.4000244140625,692.2000122070312,683.1500244140625,692.2000122070312,35768
2023-01-16,631.9239501953125,686.5499877929688,691.9500122070312,683.0,687.0,29579
2023-01-17,615.908447265625,669.1500244140625,688.7000122070312,665.2000122070312,686.5499877929688,27083
2023-01-18,613.6993408203125,666.75,678.8499755859375,660.5,668.0,38820
2023-01-19,605.2774047851562,657.5999755859375,672.3499755859375,652.0999755859375,664.0,21275
2023-01-20,605.737548828125,658.0999755859375,669.1500244140625,652.2000122070312,669.1500244140625,18045
2023-01-23,594.7844848632812,646.2000122070312,662.8499755859375,641.2000122070312,657.0499877929688,67474
2023-01-24,596.1651000976562,647.7000122070312,655.0499877929688,640.0,649.2000122070312,17695
2023-01-25,584.7976684570312,635.3499755859375,647.7000122070312,630.4500122070312,647.7000122070312,17537
2023-01-27,594.1861572265625,645.5499877929688,649.7000122070312,621.0,635.3499755859375,19559
2023-01-30,570.3008422851562,619.5999755859375,658.3499755859375,609.9500122070312,640.0,64284
2023-01-31,595.4747924804688,646.9500122070312,654.0,614.0499877929688,619.0,25375
2023-02-01,574.2127075195312,623.8499755859375,653.75,618.6500244140625,646.9500122070312,34510
2023-02-02,588.5714721679688,639.4500122070312,645.5,620.0,620.0,15609
2023-02-03,582.7267456054688,633.0999755859375,645.4000244140625,625.5499877929688,645.0,21123
2023-02-06,606.2438354492188,658.6500244140625,675.4500122070312,633.4500122070312,636.2000122070312,40515
2023-02-07,599.3406372070312,651.1500244140625,680.0,644.0499877929688,680.0,86559
2023-02-08,578.3086547851562,628.2999877929688,659.0,626.3499755859375,654.9500122070312,47882
2023-02-09,556.678466796875,604.7999877929688,632.9000244140625,602.0,630.0,66888
2023-02-10,553.5490112304688,601.4000244140625,614.6500244140625,574.3499755859375,603.0,155752
2023-02-13,569.6566162109375,618.9000244140625,624.0,601.0499877929688,605.0,44593
2023-02-14,558.3812866210938,606.6500244140625,622.7999877929688,603.25,622.7999877929688,15475
2023-02-15,558.3812866210938,606.6500244140625,611.9000244140625,596.6500244140625,607.0,20718
2023-02-16,558.7034301757812,607.0,639.9500122070312,605.0,639.9500122070312,19379
2023-02-17,558.9795532226562,607.2999877929688,613.4500122070312,604.25,607.0,11214
2023-02-20,562.2931518554688,610.9000244140625,614.25,605.6500244140625,607.2999877929688,17272
2023-02-21,562.4771728515625,611.0999755859375,617.0499877929688,607.2999877929688,610.9500122070312,13974
2023-02-22,540.7089233398438,587.4500122070312,611.0,578.0,610.75,32850
2023-02-23,541.6293334960938,588.4500122070312,600.0499877929688,575.5499877929688,592.0,37640
2023-02-24,536.705078125,583.0999755859375,593.5499877929688,580.0499877929688,588.5,15894
2023-02-27,517.652099609375,562.4000244140625,586.0,560.0499877929688,586.0,28817
2023-02-28,521.7479858398438,566.8499755859375,569.6500244140625,556.2999877929688,566.4000244140625,17177
2023-03-01,531.6426391601562,577.5999755859375,579.75,565.9500122070312,566.0,24027
2023-03-02,528.7432861328125,574.4500122070312,588.4500122070312,571.2000122070312,577.9500122070312,15662
