Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NDRAUTO.NS,NDRAUTO.NS,NDRAUTO.NS,NDRAUTO.NS,NDRAUTO.NS,NDRAUTO.NS
Date,,,,,,
2022-10-25,111.94696044921875,113.2249984741211,118.32499694824219,112.125,117.0250015258789,20704
2022-10-27,110.9211654663086,112.1875,114.9000015258789,111.0,114.625,15740
2022-10-28,110.93352508544922,112.19999694824219,114.125,110.75,111.75,10080
2022-10-31,111.51439666748047,112.7874984741211,114.1875,110.875,114.1875,10720
2022-11-01,111.95932006835938,113.23750305175781,115.0,111.55000305175781,113.73750305175781,21728
2022-11-02,114.74008178710938,116.05000305175781,118.0,112.5,115.0,15120
2022-11-03,117.2860107421875,118.625,119.5,111.42500305175781,111.42500305175781,17644
2022-11-04,132.57395935058594,134.08749389648438,137.4499969482422,115.0250015258789,119.25,247556
2022-11-07,133.90872192382812,135.4375,139.25,134.27499389648438,138.75,104268
2022-11-09,142.55996704101562,144.1875,154.6999969482422,131.66250610351562,138.0,570168
2022-11-10,139.42079162597656,141.0124969482422,148.08749389648438,140.0,145.0,94240
2022-11-11,136.71420288085938,138.27499389648438,147.0625,135.97500610351562,142.9499969482422,62884
2022-11-14,140.97802734375,142.58749389648438,144.47500610351562,130.27499389648438,137.25,49688
2022-11-15,145.6991424560547,147.3625030517578,148.0,138.75,144.0,62012
2022-11-16,155.37612915039062,157.14999389648438,162.4375,145.02499389648438,147.0,240152
2022-11-17,156.20419311523438,157.9875030517578,159.0,152.5,158.0,98184
2022-11-18,153.13919067382812,154.8874969482422,158.7375030517578,154.0,158.0,40676
2022-11-21,148.1832733154297,149.875,157.47500610351562,147.77499389648438,157.47500610351562,26444
2022-11-22,140.17469787597656,141.77499389648438,151.97500610351562,141.25,150.5,107648
2022-11-23,139.84100341796875,141.4375,146.64999389648438,140.0625,143.75,62672
2022-11-24,147.33050537109375,149.0124969482422,153.75,141.3874969482422,141.4375,74624
2022-11-25,151.95272827148438,153.6875,154.25,152.28750610351562,153.75,133036
2022-11-28,146.53953552246094,148.21249389648438,158.25,147.5124969482422,154.0,42296
2022-11-29,146.4901123046875,148.16250610351562,152.9875030517578,145.75,151.91250610351562,62372
2022-11-30,145.87216186523438,147.53750610351562,150.75,146.66250610351562,150.6125030517578,29848
2022-12-01,148.26976013183594,149.96249389648438,151.25,147.0,148.72500610351562,26676
2022-12-02,142.58468627929688,144.21249389648438,152.21249389648438,143.1875,152.21249389648438,125420
2022-12-05,143.0296173095703,144.66250610351562,147.5,141.2375030517578,144.375,55572
2022-12-06,144.8216552734375,146.47500610351562,148.1999969482422,144.52499389648438,148.1999969482422,28492
2022-12-07,146.0699005126953,147.7375030517578,148.25,144.41250610351562,148.0,21764
2022-12-08,142.53526306152344,144.16250610351562,147.85000610351562,143.4875030517578,147.85000610351562,45916
2022-12-09,144.00595092773438,145.64999389648438,148.2375030517578,143.8125,146.25,27268
2022-12-12,143.09140014648438,144.72500610351562,147.25,144.25,147.25,12828
2022-12-13,143.26441955566406,144.89999389648438,146.5,143.75,146.5,11428
2022-12-14,140.4466094970703,142.0500030517578,147.35000610351562,141.8874969482422,144.75,45348
2022-12-15,139.4331512451172,141.02499389648438,144.1875,140.52499389648438,144.1875,13704
2022-12-16,137.87594604492188,139.4499969482422,141.25,137.4375,141.25,29636
2022-12-19,134.4772491455078,136.0124969482422,142.2375030517578,135.28750610351562,137.52499389648438,34144
2022-12-20,133.52560424804688,135.0500030517578,137.97500610351562,133.5,137.97500610351562,15844
2022-12-21,131.3998565673828,132.89999389648438,141.1875,132.0,139.1999969482422,52776
2022-12-22,125.83837127685547,127.2750015258789,138.72500610351562,124.76249694824219,137.25,51632
2022-12-23,122.81044006347656,124.2125015258789,132.25,121.01249694824219,122.0250015258789,34916
2022-12-26,124.84966278076172,126.2750015258789,129.5625,119.25,128.5,24320
2022-12-27,131.43695068359375,132.9375,134.75,128.0124969482422,132.25,18676
2022-12-28,134.97158813476562,136.5124969482422,137.75,133.0124969482422,134.0,14436
2022-12-29,138.38265991210938,139.96249389648438,142.66250610351562,137.5124969482422,142.66250610351562,20336
2022-12-30,146.4901123046875,148.16250610351562,150.0,142.25,142.25,40300
2023-01-02,144.1171875,145.7624969482422,150.625,145.1374969482422,148.77499389648438,35024
2023-01-03,142.1027069091797,143.72500610351562,145.9875030517578,143.25,145.75,11284
2023-01-04,138.03660583496094,139.6125030517578,145.6875,139.25,145.5,21140
2023-01-05,147.82485961914062,149.5124969482422,154.9499969482422,148.0,149.4499969482422,216936
2023-01-06,144.61155700683594,146.2624969482422,150.25,145.1374969482422,150.25,31360
2023-01-09,145.60025024414062,147.2624969482422,150.0,146.8874969482422,148.41250610351562,19224
2023-01-10,146.70021057128906,148.375,148.75,146.27499389648438,148.7375030517578,9876
2023-01-11,146.42831420898438,148.10000610351562,149.10000610351562,146.10000610351562,148.375,15184
2023-01-12,143.54867553710938,145.1875,147.9875030517578,144.21249389648438,145.77499389648438,10128
2023-01-13,141.892578125,143.5124969482422,147.5,143.3125,147.1999969482422,18452
2023-01-16,141.91729736328125,143.53750610351562,145.4250030517578,141.25,142.5,17344
2023-01-17,140.8050079345703,142.41250610351562,148.7375030517578,141.53750610351562,144.5,18124
2023-01-18,141.26229858398438,142.875,143.625,140.41250610351562,142.41250610351562,26976
2023-01-19,141.7566375732422,143.375,145.5,142.875,145.5,5628
2023-01-20,141.9667205810547,143.58749389648438,144.5,142.41250610351562,144.47500610351562,8596
2023-01-23,150.35842895507812,152.0749969482422,153.75,144.75,145.0,133192
2023-01-24,152.26171875,154.0,154.9499969482422,150.52499389648438,154.9499969482422,47364
2023-01-25,152.02688598632812,153.7624969482422,154.8000030517578,150.52499389648438,152.53750610351562,21920
2023-01-27,143.33859252929688,144.97500610351562,157.3625030517578,136.0,155.7375030517578,204016
2023-01-30,141.92965698242188,143.5500030517578,148.0,141.625,146.25,39756
2023-01-31,148.40574645996094,150.10000610351562,151.25,142.78750610351562,145.6999969482422,40164
2023-02-01,145.32835388183594,146.9875030517578,151.75,146.1999969482422,151.5,31348
2023-02-02,148.64053344726562,150.33749389648438,150.97500610351562,146.1374969482422,148.75,19660
2023-02-03,167.15419006347656,169.0625,172.5,151.0,151.83749389648438,671096
2023-02-06,165.88121032714844,167.77499389648438,176.66250610351562,165.14999389648438,172.75,302404
2023-02-07,169.6754150390625,171.6125030517578,174.75,162.5,166.75,91384
2023-02-08,168.66197204589844,170.58749389648438,173.5500030517578,169.625,171.6999969482422,68804
2023-02-09,162.02523803710938,163.875,178.75,162.8125,167.9375,121548
2023-02-10,156.40194702148438,158.1875,164.25,157.6374969482422,164.25,85116
2023-02-13,158.42880249023438,160.2375030517578,165.9499969482422,155.0,159.5,113148
2023-02-14,154.0908203125,155.85000610351562,162.58749389648438,155.1374969482422,162.46249389648438,55532
2023-02-15,153.4976043701172,155.25,156.5,155.1374969482422,156.5,19976
2023-02-16,156.98280334472656,158.77499389648438,161.75,155.5124969482422,156.8000030517578,53000
2023-02-17,154.6099090576172,156.375,162.0,155.77499389648438,161.97500610351562,22976
2023-02-20,154.64698791503906,156.41250610351562,160.6125030517578,155.41250610351562,156.53750610351562,26612
2023-02-21,155.4503173828125,157.22500610351562,161.1875,156.5625,156.75,34888
2023-02-22,153.86837768554688,155.625,159.97500610351562,155.1374969482422,159.97500610351562,22208
2023-02-23,154.3627166748047,156.125,157.3125,155.1374969482422,155.25,22456
2023-02-24,141.01510620117188,142.625,156.72500610351562,141.52499389648438,156.27499389648438,201412
2023-02-27,131.94366455078125,133.4499969482422,142.3874969482422,129.41250610351562,140.3874969482422,144236
2023-02-28,133.78515625,135.3125,137.4250030517578,134.27499389648438,135.0625,29780
2023-03-01,135.57717895507812,137.125,140.4875030517578,135.0124969482422,136.66250610351562,48900
2023-03-02,135.3052978515625,136.85000610351562,141.1750030517578,136.5625,138.75,27420
2023-03-03,136.34344482421875,137.89999389648438,141.1750030517578,137.35000610351562,138.0,37616
2023-03-06,138.6174774169922,140.1999969482422,143.6750030517578,139.0,139.0,45792
2023-03-08,139.19834899902344,140.78750610351562,142.35000610351562,137.75,137.75,23512
2023-03-09,138.44444274902344,140.02499389648438,147.125,139.33749389648438,147.125,22888
2023-03-10,136.85015869140625,138.41250610351562,143.10000610351562,137.0,137.8874969482422,18140
2023-03-13,135.76258850097656,137.3125,143.6750030517578,136.6875,138.02499389648438,22560
2023-03-14,137.09735107421875,138.66250610351562,140.0,133.7624969482422,138.75,23492
2023-03-15,136.7760009765625,138.33749389648438,141.25,137.27499389648438,141.25,14100
2023-03-16,134.24241638183594,135.77499389648438,138.8874969482422,135.0124969482422,135.625,8996
2023-03-17,135.6760711669922,137.22500610351562,142.25,136.41250610351562,142.25,9028
2023-03-20,137.0108184814453,138.5749969482422,147.5,130.7375030517578,147.5,17916
2023-03-21,134.24241638183594,135.77499389648438,141.9875030517578,135.28750610351562,141.9875030517578,16216
2023-03-22,134.90982055664062,136.4499969482422,140.75,134.2624969482422,140.75,10584
2023-03-23,136.20748901367188,137.7624969482422,140.35000610351562,135.72500610351562,135.72500610351562,13996
2023-03-24,134.53903198242188,136.0749969482422,137.8625030517578,135.625,137.2624969482422,8504
2023-03-27,133.71099853515625,135.2375030517578,138.39999389648438,135.02499389648438,135.8000030517578,8520
2023-03-28,132.53689575195312,134.0500030517578,136.22500610351562,132.8249969482422,134.5,10728
2023-03-29,134.3660125732422,135.89999389648438,142.10000610351562,135.0,142.10000610351562,12284
2023-03-31,137.1591339111328,138.72500610351562,143.2375030517578,137.7624969482422,138.625,12636
2023-04-03,136.00975036621094,137.5625,140.9499969482422,136.5,140.0,22360
2023-04-05,139.08712768554688,140.6750030517578,143.375,139.0124969482422,141.25,28004
2023-04-06,140.5948944091797,142.1999969482422,144.25,140.6750030517578,141.97500610351562,23992
2023-04-10,145.41488647460938,147.0749969482422,147.89999389648438,143.52499389648438,145.0,37016
2023-04-11,153.34930419921875,155.10000610351562,156.25,147.5124969482422,150.0,174168
2023-04-12,155.77163696289062,157.5500030517578,160.0,154.6125030517578,160.0,106280
2023-04-13,156.1424102783203,157.9250030517578,159.875,157.02499389648438,158.75,20480
2023-04-17,153.6582794189453,155.41250610351562,158.72500610351562,153.5124969482422,158.0,33956
2023-04-18,151.09996032714844,152.8249969482422,158.21249389648438,151.25,157.5,20828
2023-04-19,149.49331665039062,151.1999969482422,154.1750030517578,151.0,153.3874969482422,17060
2023-04-20,146.03280639648438,147.6999969482422,152.97500610351562,146.52499389648438,150.75,49836
2023-04-21,142.75770568847656,144.3874969482422,147.9375,143.1999969482422,147.9375,30644
2023-04-24,148.1832733154297,149.875,154.47500610351562,143.5625,146.46249389648438,58640
2023-04-25,145.1429901123047,146.8000030517578,151.97500610351562,145.52499389648438,151.97500610351562,42884
2023-04-26,149.54275512695312,151.25,152.5,145.0,145.0,35072
2023-04-27,147.65182495117188,149.33749389648438,155.0,148.75,152.5,79840
2023-04-28,145.94631958007812,147.6125030517578,151.0,146.6125030517578,150.72500610351562,41948
2023-05-02,146.95973205566406,148.6374969482422,150.5,147.5124969482422,150.5,11876
2023-05-03,147.14511108398438,148.8249969482422,150.0,146.78750610351562,149.0,13856
2023-05-04,146.91029357910156,148.58749389648438,150.5,147.0,149.9875030517578,20984
2023-05-05,146.045166015625,147.71249389648438,149.25,146.0124969482422,147.5,13644
2023-05-08,145.52610778808594,147.1875,149.58749389648438,146.8249969482422,147.5,24684
2023-05-09,143.04196166992188,144.6750030517578,147.5,144.02499389648438,147.125,47888
2023-05-10,146.23057556152344,147.89999389648438,148.47500610351562,143.75,143.75,18140
2023-05-11,148.35630798339844,150.0500030517578,151.0,148.5,149.25,29424
