Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RBA.NS,RBA.NS,RBA.NS,RBA.NS,RBA.NS,RBA.NS
Date,,,,,,
2022-10-10,126.4000015258789,126.4000015258789,128.9499969482422,126.0999984741211,127.25,250993
2022-10-11,126.1500015258789,126.1500015258789,128.0500030517578,125.19999694824219,126.5,349254
2022-10-12,126.0,126.0,127.25,123.9000015258789,125.80000305175781,806269
2022-10-13,127.94999694824219,127.94999694824219,129.89999389648438,124.69999694824219,125.69999694824219,1535475
2022-10-14,123.9000015258789,123.9000015258789,130.60000610351562,123.1500015258789,128.60000610351562,1312935
2022-10-17,122.25,122.25,124.80000305175781,120.69999694824219,120.69999694824219,1351260
2022-10-18,128.0,128.0,129.8000030517578,122.5,122.5,1341402
2022-10-19,122.5,122.5,127.6500015258789,121.44999694824219,127.19999694824219,685814
2022-10-20,122.94999694824219,122.94999694824219,124.25,122.30000305175781,122.5,318544
2022-10-21,120.0999984741211,120.0999984741211,123.5999984741211,118.5,123.0,1477983
2022-10-24,121.4000015258789,121.4000015258789,124.0,120.0,121.0,231705
2022-10-25,122.05000305175781,122.05000305175781,122.5,120.0,121.80000305175781,348675
2022-10-27,121.0999984741211,121.0999984741211,122.5,119.55000305175781,122.5,443471
2022-10-28,120.80000305175781,120.80000305175781,122.5,120.3499984741211,121.69999694824219,233409
2022-10-31,121.5999984741211,121.5999984741211,122.44999694824219,120.55000305175781,121.19999694824219,290558
2022-11-01,120.69999694824219,120.69999694824219,122.94999694824219,120.1500015258789,121.69999694824219,280607
2022-11-02,121.94999694824219,121.94999694824219,123.69999694824219,120.69999694824219,120.9000015258789,425890
2022-11-03,121.0,121.0,122.25,120.25,121.69999694824219,280041
2022-11-04,122.05000305175781,122.05000305175781,122.25,121.1500015258789,121.1500015258789,401709
2022-11-07,121.5999984741211,121.5999984741211,122.5,120.55000305175781,122.1500015258789,379890
2022-11-09,122.5999984741211,122.5999984741211,123.5999984741211,121.80000305175781,122.9000015258789,413032
2022-11-10,121.05000305175781,121.05000305175781,122.94999694824219,120.5,122.5999984741211,295301
2022-11-11,126.0,126.0,127.25,121.4000015258789,121.69999694824219,1062343
2022-11-14,117.05000305175781,117.05000305175781,125.1500015258789,116.5,125.0999984741211,1809740
2022-11-15,117.5999984741211,117.5999984741211,118.4000015258789,116.0999984741211,118.4000015258789,514344
2022-11-16,117.05000305175781,117.05000305175781,118.44999694824219,116.1500015258789,118.44999694824219,550937
2022-11-17,116.25,116.25,117.0,115.4000015258789,117.0,344724
2022-11-18,112.30000305175781,112.30000305175781,115.0,111.19999694824219,115.0,696625
2022-11-21,114.55000305175781,114.55000305175781,115.55000305175781,111.30000305175781,112.25,367443
2022-11-22,112.94999694824219,112.94999694824219,115.4000015258789,112.19999694824219,115.0,295855
2022-11-23,111.3499984741211,111.3499984741211,114.19999694824219,111.05000305175781,113.55000305175781,350220
2022-11-24,116.0,116.0,116.3499984741211,112.0999984741211,112.44999694824219,1064076
2022-11-25,117.0999984741211,117.0999984741211,118.5999984741211,115.0,116.0999984741211,463304
2022-11-28,120.0,120.0,120.75,116.6500015258789,117.19999694824219,651037
2022-11-29,119.0,119.0,120.80000305175781,118.25,120.5999984741211,480395
2022-11-30,120.55000305175781,120.55000305175781,121.0,117.30000305175781,119.5,439390
2022-12-01,119.5,119.5,121.4000015258789,118.6500015258789,121.4000015258789,339813
2022-12-02,117.69999694824219,117.69999694824219,120.25,117.25,119.0999984741211,377657
2022-12-05,118.5999984741211,118.5999984741211,119.5,118.1500015258789,118.1500015258789,272761
2022-12-06,117.80000305175781,117.80000305175781,120.80000305175781,116.5,120.0,273797
2022-12-07,118.0999984741211,118.0999984741211,120.0,116.19999694824219,118.5,285557
2022-12-08,117.4000015258789,117.4000015258789,118.9000015258789,116.55000305175781,118.9000015258789,194585
2022-12-09,116.0999984741211,116.0999984741211,118.69999694824219,115.5,117.8499984741211,282515
2022-12-12,116.30000305175781,116.30000305175781,117.69999694824219,115.5,116.1500015258789,772956
2022-12-13,118.19999694824219,118.19999694824219,118.5,115.5999984741211,116.5999984741211,489575
2022-12-14,118.94999694824219,118.94999694824219,119.5999984741211,116.80000305175781,118.30000305175781,255730
2022-12-15,118.94999694824219,118.94999694824219,120.0,118.0999984741211,119.0,263938
2022-12-16,116.19999694824219,116.19999694824219,119.5,115.30000305175781,118.94999694824219,260912
2022-12-19,117.80000305175781,117.80000305175781,119.0,116.0999984741211,116.19999694824219,263707
2022-12-20,117.05000305175781,117.05000305175781,118.0,115.0,117.94999694824219,263775
2022-12-21,118.0,118.0,118.55000305175781,116.9000015258789,117.19999694824219,564817
2022-12-22,114.05000305175781,114.05000305175781,117.94999694824219,112.0999984741211,117.0,509137
2022-12-23,106.4000015258789,106.4000015258789,113.9000015258789,106.0,113.0,515507
2022-12-26,110.25,110.25,111.0,106.0,106.0,439361
2022-12-27,109.75,109.75,112.55000305175781,109.0,110.75,232891
2022-12-28,112.5,112.5,113.69999694824219,109.3499984741211,109.75,318097
2022-12-29,110.9000015258789,110.9000015258789,112.94999694824219,110.69999694824219,112.5,182010
2022-12-30,111.75,111.75,112.3499984741211,111.0,112.0,238761
2023-01-02,114.30000305175781,114.30000305175781,115.19999694824219,112.1500015258789,113.4000015258789,303987
2023-01-03,113.25,113.25,115.4000015258789,111.9000015258789,114.30000305175781,216077
2023-01-04,110.9000015258789,110.9000015258789,113.8499984741211,110.55000305175781,113.3499984741211,202813
2023-01-05,110.55000305175781,110.55000305175781,112.25,109.0,111.0,154444
2023-01-06,111.05000305175781,111.05000305175781,111.5,109.80000305175781,110.0,682951
2023-01-09,111.69999694824219,111.69999694824219,112.4000015258789,110.9000015258789,112.19999694824219,727729
2023-01-10,110.9000015258789,110.9000015258789,112.30000305175781,110.5,111.94999694824219,284010
2023-01-11,110.25,110.25,112.05000305175781,110.0,111.8499984741211,170567
2023-01-12,116.25,116.25,117.8499984741211,110.25,110.3499984741211,1706471
2023-01-13,115.3499984741211,115.3499984741211,116.25,114.5,116.0,311534
2023-01-16,115.19999694824219,115.19999694824219,116.3499984741211,114.8499984741211,116.3499984741211,331820
2023-01-17,114.75,114.75,117.30000305175781,114.0,115.5,451125
2023-01-18,114.30000305175781,114.30000305175781,115.44999694824219,113.6500015258789,114.0,536992
2023-01-19,114.55000305175781,114.55000305175781,115.75,113.19999694824219,114.4000015258789,220257
2023-01-20,111.8499984741211,111.8499984741211,115.55000305175781,111.19999694824219,115.30000305175781,640068
2023-01-23,115.05000305175781,115.05000305175781,118.5,111.94999694824219,111.94999694824219,1318235
2023-01-24,116.0,116.0,117.44999694824219,114.25,114.25,737525
2023-01-25,112.5999984741211,112.5999984741211,116.0,111.69999694824219,114.80000305175781,332157
2023-01-27,110.5,110.5,113.75,109.1500015258789,112.6500015258789,872909
2023-01-30,108.44999694824219,108.44999694824219,111.6500015258789,108.1500015258789,109.0999984741211,687818
2023-01-31,110.44999694824219,110.44999694824219,111.94999694824219,108.44999694824219,108.44999694824219,1644714
2023-02-01,109.9000015258789,109.9000015258789,115.9000015258789,108.3499984741211,111.4000015258789,1014030
2023-02-02,107.94999694824219,107.94999694824219,112.5,106.5999984741211,109.9000015258789,383143
2023-02-03,106.5,106.5,110.0,105.0,108.9000015258789,879460
2023-02-06,106.3499984741211,106.3499984741211,107.94999694824219,106.0,106.80000305175781,318555
