Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS
Date,,,,,,
2022-10-25,930.3558959960938,952.0,981.7000122070312,948.0,980.0999755859375,43083
2022-10-27,914.8662719726562,936.1500244140625,959.7000122070312,927.0,951.4000244140625,34021
2022-10-28,895.9072875976562,916.75,942.2999877929688,908.9500122070312,931.25,36549
2022-10-31,910.1265258789062,931.2999877929688,945.0,916.0,916.0,46869
2022-11-01,922.586669921875,944.0499877929688,951.0,920.0,936.0,36485
2022-11-02,914.9151611328125,936.2000122070312,948.2000122070312,931.0,944.0499877929688,35378
2022-11-03,889.7994384765625,910.5,940.0,907.2999877929688,940.0,70898
2022-11-04,881.3949584960938,901.9000244140625,933.0,890.0499877929688,910.9500122070312,262799
2022-11-07,881.0040283203125,901.5,913.1500244140625,897.75,906.4500122070312,103640
2022-11-09,879.2449340820312,899.7000122070312,914.0,892.1500244140625,914.0,46710
2022-11-10,859.9928588867188,880.0,899.0,872.0,899.0,77049
2022-11-11,871.671142578125,891.9500122070312,949.0,883.0499877929688,884.4000244140625,56402
2022-11-14,861.5564575195312,881.5999755859375,909.7000122070312,878.2000122070312,892.5999755859375,39753
2022-11-15,859.6996459960938,879.7000122070312,885.3499755859375,878.0,880.0,22172
2022-11-16,855.302001953125,875.2000122070312,887.9000244140625,873.0,885.0,30306
2022-11-17,853.3474731445312,873.2000122070312,882.25,870.0,879.5999755859375,29215
2022-11-18,848.3633422851562,868.0999755859375,877.5999755859375,865.0,877.5999755859375,34632
2022-11-21,835.7566528320312,855.2000122070312,872.3499755859375,850.4000244140625,868.0999755859375,29701
2022-11-22,835.5612182617188,855.0,859.5,846.7000122070312,859.5,16914
2022-11-23,866.5404663085938,886.7000122070312,898.4500122070312,855.0999755859375,859.2000122070312,179606
2022-11-24,864.976806640625,885.0999755859375,898.0,883.0499877929688,890.5,67786
2022-11-25,868.6416625976562,888.8499755859375,895.25,875.0499877929688,878.0,43532
2022-11-28,874.2120361328125,894.5499877929688,900.4000244140625,881.0,881.0,48508
2022-11-29,862.2893676757812,882.3499755859375,898.6500244140625,880.0,894.5499877929688,24065
2022-11-30,864.146240234375,884.25,894.9000244140625,880.0,880.0,27243
2022-12-01,863.2177734375,883.2999877929688,895.0,882.0,895.0,19797
2022-12-02,859.0643920898438,879.0499877929688,886.0,875.0,881.2000122070312,21556
2022-12-05,854.9110717773438,874.7999877929688,885.4500122070312,873.0999755859375,879.0499877929688,26767
2022-12-06,863.9507446289062,884.0499877929688,888.0,874.7999877929688,879.0,56580
2022-12-07,850.3179321289062,870.0999755859375,889.9000244140625,860.25,888.5,29590
2022-12-08,837.9555053710938,857.4500122070312,880.0,851.0,880.0,32576
2022-12-09,834.4373168945312,853.8499755859375,865.0,851.0,862.0,30578
2022-12-12,820.5602416992188,839.6500244140625,858.0,835.0,858.0,38032
2022-12-13,809.8591918945312,828.7000122070312,844.0999755859375,824.2000122070312,843.8499755859375,60728
2022-12-14,831.4567260742188,850.7999877929688,878.4000244140625,830.0499877929688,832.8499755859375,61664
2022-12-15,826.0328369140625,845.25,863.4000244140625,840.0,855.0,28311
2022-12-16,824.029541015625,843.2000122070312,848.6500244140625,835.0,847.5999755859375,17346
2022-12-19,811.0806884765625,829.9500122070312,849.0,828.0,849.0,24287
2022-12-20,805.9012451171875,824.6500244140625,834.9000244140625,821.9000244140625,830.0,27281
2022-12-21,789.2877197265625,807.6500244140625,832.9500122070312,804.0,826.0,52174
2022-12-22,781.7139892578125,799.9000244140625,815.0,796.0,811.7000122070312,52786
2022-12-23,760.849365234375,778.5499877929688,799.9500122070312,774.0499877929688,799.0,54598
2022-12-26,749.5619506835938,767.0,799.0,754.5999755859375,772.0,79183
2022-12-27,798.7183227539062,817.2999877929688,854.7000122070312,779.0,779.0,1403616
2022-12-28,786.8934326171875,805.2000122070312,832.75,803.25,815.0,144943
2022-12-29,781.225341796875,799.4000244140625,813.1500244140625,796.9000244140625,805.2000122070312,44211
2022-12-30,783.8150634765625,802.0499877929688,808.0,792.0999755859375,803.5999755859375,28888
2023-01-02,780.5900268554688,798.75,806.25,791.9500122070312,801.0,317075
2023-01-03,783.912841796875,802.1500244140625,806.0,796.1500244140625,799.5,26064
2023-01-04,776.82763671875,794.9000244140625,806.4000244140625,792.3499755859375,806.4000244140625,21906
2023-01-05,774.531005859375,792.5499877929688,809.0,789.3499755859375,809.0,64463
2023-01-06,781.8604736328125,800.0499877929688,813.0,790.5499877929688,796.5,50232
2023-01-09,776.5833129882812,794.6500244140625,812.0,782.0,811.9000244140625,46131
2023-01-10,771.5015258789062,789.4500122070312,798.3499755859375,787.4000244140625,795.0999755859375,16836
2023-01-11,775.7037353515625,793.75,797.0999755859375,792.0,793.5999755859375,56943
2023-01-12,775.9969482421875,794.0499877929688,808.2000122070312,789.9000244140625,797.0,48829
2023-01-13,772.67431640625,790.6500244140625,798.7000122070312,788.0,795.0,28886
2023-01-16,770.4754028320312,788.4000244140625,801.0,784.9000244140625,800.0,36565
2023-01-17,769.8890380859375,787.7999877929688,795.0,785.4500122070312,795.0,297119
2023-01-18,765.3447875976562,783.1500244140625,797.0,781.0,788.0999755859375,36141
2023-01-19,758.845947265625,776.5,788.9500122070312,772.5499877929688,785.0,69411
