Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS
Date,,,,,,
2022-10-10,1052.8668212890625,1066.6500244140625,1076.6500244140625,1055.4000244140625,1066.4000244140625,1019624
2022-10-11,1041.564697265625,1055.199951171875,1070.3499755859375,1048.75,1070.0,928746
2022-10-12,1073.6448974609375,1087.699951171875,1093.199951171875,1047.199951171875,1050.4000244140625,1218634
2022-10-13,1063.6754150390625,1077.5999755859375,1096.3499755859375,1066.5999755859375,1087.699951171875,1370021
2022-10-14,1064.415771484375,1078.3499755859375,1106.9000244140625,1072.6500244140625,1091.0,1723553
2022-10-17,1061.1583251953125,1075.050048828125,1080.800048828125,1060.0,1071.0,966318
2022-10-18,1114.460693359375,1129.050048828125,1135.0,1089.800048828125,1092.0,3359533
2022-10-19,1156.3126220703125,1171.449951171875,1176.9000244140625,1131.8499755859375,1135.0,3440709
2022-10-20,1127.489990234375,1142.25,1165.050048828125,1132.800048828125,1156.25,1988428
2022-10-21,1127.0458984375,1141.800048828125,1156.3499755859375,1135.0,1148.0,965954
2022-10-24,1131.290283203125,1146.0999755859375,1154.9000244140625,1142.199951171875,1154.9000244140625,110280
2022-10-25,1142.0,1156.949951171875,1161.449951171875,1145.550048828125,1150.0999755859375,952625
2022-10-27,1110.0186767578125,1124.550048828125,1165.0,1119.0,1159.9000244140625,1269462
2022-10-28,1112.585205078125,1127.1500244140625,1135.550048828125,1114.25,1120.0,885662
2022-10-31,1131.2410888671875,1146.050048828125,1155.800048828125,1131.050048828125,1132.800048828125,1201542
2022-11-01,1123.294921875,1138.0,1156.0,1128.75,1150.0,1150562
2022-11-02,1100.592041015625,1115.0,1143.699951171875,1111.5999755859375,1140.449951171875,1142831
2022-11-03,1119.9881591796875,1134.6500244140625,1144.699951171875,1110.300048828125,1111.6500244140625,1493565
2022-11-04,1099.753173828125,1114.1500244140625,1141.550048828125,1112.0,1137.0,1182660
2022-11-07,1098.3712158203125,1112.75,1122.8499755859375,1081.0999755859375,1115.0,2256933
2022-11-09,1129.957763671875,1144.75,1166.0,1115.050048828125,1120.0999755859375,3041336
2022-11-10,1091.658935546875,1105.949951171875,1144.699951171875,1098.050048828125,1144.699951171875,2235744
2022-11-11,1093.1396484375,1107.449951171875,1142.550048828125,1100.0999755859375,1138.0,2217061
2022-11-14,1086.5262451171875,1100.75,1124.699951171875,1091.199951171875,1109.949951171875,1178046
2022-11-15,1088.944580078125,1103.199951171875,1129.949951171875,1096.75,1103.0,1691513
2022-11-16,1104.046875,1118.5,1136.0,1104.75,1105.699951171875,2034541
2022-11-17,1094.7684326171875,1109.0999755859375,1130.0,1100.25,1118.699951171875,1597488
2022-11-18,1067.8704833984375,1081.8499755859375,1121.1500244140625,1066.0,1113.0,2508863
2022-11-21,1034.902099609375,1048.449951171875,1079.9000244140625,1045.1500244140625,1070.0,2657824
2022-11-22,1029.818603515625,1043.300048828125,1056.800048828125,1037.550048828125,1048.0,1994682
2022-11-23,1038.40625,1052.0,1055.4000244140625,1045.6500244140625,1049.4000244140625,1095450
2022-11-24,1039.0478515625,1052.6500244140625,1058.699951171875,1043.300048828125,1057.300048828125,1035756
2022-11-25,1024.0440673828125,1037.449951171875,1055.6500244140625,1035.0,1053.550048828125,1461816
2022-11-28,1046.7962646484375,1060.5,1063.0,1029.0,1034.5999755859375,2723439
2022-11-29,1026.4132080078125,1039.8499755859375,1059.5999755859375,1037.550048828125,1053.25,1325447
2022-11-30,1034.6060791015625,1048.1500244140625,1066.25,1032.25,1045.050048828125,27363975
2022-12-01,1036.4320068359375,1050.0,1062.949951171875,1044.0,1058.8499755859375,1621405
2022-12-02,1034.852783203125,1048.4000244140625,1053.9000244140625,1031.0,1050.0,1040471
2022-12-05,1004.6481323242188,1017.7999877929688,1053.5,1010.4500122070312,1050.0,2896073
2022-12-06,1027.4989013671875,1040.949951171875,1046.4000244140625,1008.0999755859375,1017.0,1970222
2022-12-07,1012.0018310546875,1025.25,1047.1500244140625,1019.25,1041.0,1319008
2022-12-08,1012.6927490234375,1025.949951171875,1036.449951171875,1021.4000244140625,1030.4000244140625,988773
2022-12-09,1022.7610473632812,1036.1500244140625,1041.25,1023.0,1034.550048828125,1253296
2022-12-12,1024.3897705078125,1037.800048828125,1045.699951171875,1031.800048828125,1035.0,903199
2022-12-13,1023.4026489257812,1036.800048828125,1047.75,1032.0,1043.199951171875,1040540
2022-12-14,1015.4566650390625,1028.75,1048.75,1027.050048828125,1046.0,747736
2022-12-15,1025.62353515625,1039.050048828125,1052.4000244140625,1024.9000244140625,1028.0,1711006
2022-12-16,1026.4132080078125,1039.8499755859375,1051.5999755859375,1023.4500122070312,1032.0,1308612
2022-12-19,1042.453125,1056.0999755859375,1059.4000244140625,1033.9000244140625,1040.0,1806966
2022-12-20,1042.3544921875,1056.0,1071.8499755859375,1046.5,1054.300048828125,1747561
2022-12-21,1019.9970703125,1033.3499755859375,1063.4000244140625,1029.199951171875,1052.050048828125,1417265
2022-12-22,1025.6729736328125,1039.0999755859375,1046.4000244140625,1021.4000244140625,1033.300048828125,1373045
2022-12-23,997.4424438476562,1010.5,1033.5999755859375,1006.0,1027.0,931666
2022-12-26,1002.4271850585938,1015.5499877929688,1023.1500244140625,997.9000244140625,1005.5,1043410
