Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VMART.NS,VMART.NS,VMART.NS,VMART.NS,VMART.NS,VMART.NS
Date,,,,,,
2022-10-25,740.7750244140625,740.7750244140625,743.75,727.0875244140625,736.25,35500
2022-10-27,742.9749755859375,742.9749755859375,751.5,732.5,737.75,49848
2022-10-28,737.375,737.375,746.7000122070312,725.9874877929688,746.7000122070312,40836
2022-10-31,752.5499877929688,752.5499877929688,793.7249755859375,735.4749755859375,741.0625,428244
2022-11-01,762.0125122070312,762.0125122070312,769.5,740.0,752.5,97220
2022-11-02,756.7750244140625,756.7750244140625,769.7874755859375,750.3375244140625,761.75,63448
2022-11-03,745.9874877929688,745.9874877929688,760.9874877929688,737.75,737.75,51068
2022-11-04,738.9625244140625,738.9625244140625,749.7249755859375,737.4874877929688,749.7249755859375,24284
2022-11-07,734.6500244140625,734.6500244140625,749.4874877929688,725.2625122070312,738.9625244140625,28404
2022-11-09,719.3499755859375,719.3499755859375,734.25,706.5,734.25,140332
2022-11-10,707.4124755859375,707.4124755859375,716.8624877929688,703.7874755859375,706.5,23404
2022-11-11,708.2625122070312,708.2625122070312,720.8499755859375,706.25,710.9500122070312,58624
2022-11-14,704.9500122070312,704.9500122070312,712.2249755859375,693.75,693.75,203716
2022-11-15,705.6124877929688,705.6124877929688,710.2249755859375,701.2625122070312,705.5125122070312,407524
2022-11-16,698.9375,698.9375,711.0625,696.2374877929688,705.875,99260
2022-11-17,698.9000244140625,698.9000244140625,706.25,689.0125122070312,689.0125122070312,36848
2022-11-18,688.7625122070312,688.7625122070312,704.0,686.125,702.4000244140625,51100
2022-11-21,683.5250244140625,683.5250244140625,710.0250244140625,673.7625122070312,689.9874877929688,55904
2022-11-22,694.7625122070312,694.7625122070312,736.0,679.2625122070312,681.25,540280
2022-11-23,694.8499755859375,694.8499755859375,708.75,687.7374877929688,698.2374877929688,85948
2022-11-24,700.8875122070312,700.8875122070312,704.75,673.75,695.875,265548
