Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DHAMPURSUG.NS,DHAMPURSUG.NS,DHAMPURSUG.NS,DHAMPURSUG.NS,DHAMPURSUG.NS,DHAMPURSUG.NS
Date,,,,,,
2022-10-10,218.99058532714844,224.39999389648438,227.0,221.0,224.0,171544
2022-10-11,218.0146942138672,223.39999389648438,232.0,222.0,224.39999389648438,475226
2022-10-12,214.89183044433594,220.1999969482422,226.35000610351562,218.64999389648438,225.0,247707
2022-10-13,213.76956176757812,219.0500030517578,222.14999389648438,217.0,220.10000610351562,190039
2022-10-14,211.329833984375,216.5500030517578,223.10000610351562,212.35000610351562,222.35000610351562,201321
2022-10-17,210.45152282714844,215.64999389648438,218.0,212.0500030517578,216.0,195551
2022-10-18,211.13465881347656,216.35000610351562,218.0,214.5,217.5,144771
2022-10-19,209.32923889160156,214.5,217.89999389648438,214.0,217.0,140952
2022-10-20,207.5726318359375,212.6999969482422,214.9499969482422,211.3000030517578,214.9499969482422,174072
2022-10-21,200.7413787841797,205.6999969482422,211.39999389648438,203.60000610351562,208.85000610351562,424754
2022-10-24,202.20521545410156,207.1999969482422,210.0,205.60000610351562,210.0,72029
2022-10-25,198.98475646972656,203.89999389648438,209.0,203.25,207.9499969482422,196431
2022-10-27,196.2522735595703,201.10000610351562,205.85000610351562,200.0,205.85000610351562,350973
2022-10-28,193.0806121826172,197.85000610351562,202.5,197.10000610351562,202.0,315570
2022-10-31,193.5685577392578,198.35000610351562,201.6999969482422,196.0,197.8000030517578,458638
2022-11-01,200.25343322753906,205.1999969482422,207.39999389648438,198.3000030517578,200.35000610351562,635179
2022-11-02,201.2293243408203,206.1999969482422,208.3000030517578,204.6999969482422,206.85000610351562,287526
2022-11-03,201.2293243408203,206.1999969482422,208.4499969482422,204.0,205.9499969482422,223331
2022-11-04,198.5456085205078,203.4499969482422,208.35000610351562,202.5500030517578,206.9499969482422,213120
2022-11-07,204.15699768066406,209.1999969482422,211.8000030517578,204.60000610351562,205.0,407702
2022-11-09,201.57089233398438,206.5500030517578,211.0,205.0,209.25,182442
2022-11-10,202.400390625,207.39999389648438,211.89999389648438,205.39999389648438,205.5,222317
2022-11-11,202.44918823242188,207.4499969482422,210.0,206.10000610351562,208.5,121361
2022-11-14,204.64495849609375,209.6999969482422,213.0,208.39999389648438,213.0,157249
2022-11-15,209.2804412841797,214.4499969482422,216.9499969482422,210.0500030517578,211.10000610351562,421760
2022-11-16,215.62376403808594,220.9499969482422,231.5500030517578,215.1999969482422,215.1999969482422,1509121
2022-11-17,211.67138671875,216.89999389648438,226.64999389648438,215.5,221.5,478728
2022-11-18,208.7436981201172,213.89999389648438,219.5,212.0,217.5,265411
2022-11-21,215.7213592529297,221.0500030517578,221.89999389648438,212.0500030517578,214.0,334749
2022-11-22,214.159912109375,219.4499969482422,223.1999969482422,217.60000610351562,221.5500030517578,165566
2022-11-23,211.37863159179688,216.60000610351562,220.10000610351562,215.8000030517578,220.10000610351562,126937
2022-11-24,216.40447998046875,221.75,224.85000610351562,220.3000030517578,220.3000030517578,469942
2022-11-25,221.91827392578125,227.39999389648438,228.39999389648438,220.4499969482422,223.0,307889
2022-11-28,220.06407165527344,225.5,230.6999969482422,223.5,225.0,386888
2022-11-29,220.74720764160156,226.1999969482422,228.5,223.85000610351562,225.3000030517578,216489
2022-11-30,223.82127380371094,229.35000610351562,231.5,226.4499969482422,227.0,318096
2022-12-01,224.35800170898438,229.89999389648438,232.0,227.25,231.9499969482422,220848
2022-12-02,228.94471740722656,234.60000610351562,239.0,227.75,227.85000610351562,916166
2022-12-05,224.65077209472656,230.1999969482422,236.89999389648438,229.10000610351562,234.9499969482422,285492
2022-12-06,225.23631286621094,230.8000030517578,235.0,229.89999389648438,230.39999389648438,340259
2022-12-07,222.11346435546875,227.60000610351562,231.75,225.85000610351562,231.14999389648438,165952
2022-12-08,219.3321533203125,224.75,228.6999969482422,224.0,228.3000030517578,136934
2022-12-09,218.5026397705078,223.89999389648438,227.14999389648438,221.1999969482422,225.64999389648438,116436
2022-12-12,215.28219604492188,220.60000610351562,223.85000610351562,220.0,223.85000610351562,128179
2022-12-13,214.84303283691406,220.14999389648438,223.35000610351562,218.6999969482422,221.64999389648438,118692
2022-12-14,218.2586669921875,223.64999389648438,225.0,220.5500030517578,220.5500030517578,134507
2022-12-15,216.40447998046875,221.75,228.6999969482422,220.9499969482422,226.0,170708
2022-12-16,228.65194702148438,234.3000030517578,239.0,220.5,222.0,1991462
2022-12-19,254.8546905517578,261.1499938964844,275.0,238.0,238.1999969482422,6191704
2022-12-20,249.6336669921875,255.8000030517578,261.3999938964844,248.14999389648438,261.3999938964844,1698867
2022-12-21,237.77655029296875,243.64999389648438,272.1499938964844,239.0,262.0,2117822
2022-12-22,232.89707946777344,238.64999389648438,248.10000610351562,233.1999969482422,246.1999969482422,825700
2022-12-23,220.5032196044922,225.9499969482422,236.6999969482422,221.89999389648438,234.0,765247
2022-12-26,224.40679931640625,229.9499969482422,233.39999389648438,223.0,223.0,479436
2022-12-27,239.5819549560547,245.5,247.5,236.85000610351562,239.89999389648438,1295685
2022-12-28,233.8729705810547,239.64999389648438,245.5,238.0,244.85000610351562,535690
2022-12-29,241.87530517578125,247.85000610351562,251.8000030517578,235.0,235.5,1831438
2022-12-30,242.55844116210938,248.5500030517578,254.25,246.5,249.35000610351562,537599
2023-01-02,242.2656707763672,248.25,250.25,245.0500030517578,247.25,319385
2023-01-03,238.7036590576172,244.60000610351562,250.0,241.6999969482422,246.5,432196
2023-01-04,233.28744506835938,239.0500030517578,245.0,237.1999969482422,245.0,280783
2023-01-05,231.18927001953125,236.89999389648438,240.64999389648438,234.1999969482422,239.10000610351562,230296
2023-01-06,230.2621612548828,235.9499969482422,238.89999389648438,233.10000610351562,237.3000030517578,162408
2023-01-09,230.70130920410156,236.39999389648438,239.60000610351562,235.10000610351562,237.9499969482422,134029
2023-01-10,226.9441375732422,232.5500030517578,236.39999389648438,231.5,234.9499969482422,132010
2023-01-11,229.7254180908203,235.39999389648438,242.1999969482422,232.3000030517578,232.5500030517578,401125
2023-01-12,227.4320831298828,233.0500030517578,236.5,231.75,235.5,133712
2023-01-13,229.7254180908203,235.39999389648438,236.4499969482422,232.9499969482422,234.3000030517578,146928
2023-01-16,228.21279907226562,233.85000610351562,236.85000610351562,233.0500030517578,236.0,115731
2023-01-17,228.55435180664062,234.1999969482422,236.1999969482422,232.60000610351562,234.5500030517578,149852
2023-01-18,232.1651611328125,237.89999389648438,240.39999389648438,233.3000030517578,234.0,248896
2023-01-19,229.28627014160156,234.9499969482422,238.0500030517578,234.0500030517578,235.89999389648438,85675
2023-01-20,225.23631286621094,230.8000030517578,235.6999969482422,230.0,231.39999389648438,143438
2023-01-23,223.62608337402344,229.14999389648438,231.85000610351562,228.0,230.85000610351562,117488
2023-01-24,220.55201721191406,226.0,230.5500030517578,225.0500030517578,229.35000610351562,99267
2023-01-25,217.9171142578125,223.3000030517578,226.89999389648438,221.0,226.0,167298
2023-01-27,211.37863159179688,216.60000610351562,227.1999969482422,213.0,222.85000610351562,237465
2023-01-30,208.84129333496094,214.0,222.0,212.0,216.0500030517578,185292
2023-01-31,218.64903259277344,224.0500030517578,227.0,211.3000030517578,212.1999969482422,442982
2023-02-01,212.94004821777344,218.1999969482422,230.0,215.10000610351562,228.64999389648438,329342
2023-02-02,211.76898193359375,217.0,222.85000610351562,216.1999969482422,218.1999969482422,130758
2023-02-03,207.42625427246094,212.5500030517578,219.0,210.60000610351562,218.85000610351562,212861
2023-02-06,206.4015655517578,211.5,214.25,210.25,214.25,208660
2023-02-07,208.30455017089844,213.4499969482422,226.9499969482422,213.0500030517578,214.9499969482422,327730
2023-02-08,207.76780700683594,212.89999389648438,214.6999969482422,212.25,214.0,124255
2023-02-09,207.035888671875,212.14999389648438,213.6999969482422,211.4499969482422,212.89999389648438,73830
2023-02-10,210.59791564941406,215.8000030517578,217.10000610351562,211.0,212.75,210494
2023-02-13,207.13348388671875,212.25,217.3000030517578,211.35000610351562,217.3000030517578,167489
2023-02-14,207.13348388671875,212.25,219.0,211.89999389648438,212.75,141117
2023-02-15,211.329833984375,216.5500030517578,217.9499969482422,212.0,212.0,171217
2023-02-16,214.0623321533203,219.35000610351562,222.60000610351562,217.8000030517578,217.8000030517578,220693
2023-02-17,210.69549560546875,215.89999389648438,221.3000030517578,215.0,219.0,163616
2023-02-20,209.91477966308594,215.10000610351562,217.89999389648438,214.0500030517578,217.89999389648438,98454
2023-02-21,209.32923889160156,214.5,216.64999389648438,213.8000030517578,215.25,72857
2023-02-22,211.8665771484375,217.10000610351562,219.0,212.25,217.14999389648438,181736
2023-02-23,207.71902465820312,212.85000610351562,218.75,212.0,217.10000610351562,109365
2023-02-24,208.9388885498047,214.10000610351562,217.1999969482422,213.10000610351562,214.8000030517578,85855
2023-02-27,205.18170166015625,210.25,214.5500030517578,207.14999389648438,213.0,123195
2023-02-28,202.88833618164062,207.89999389648438,213.6999969482422,207.0500030517578,212.39999389648438,116970
2023-03-01,210.20755004882812,215.39999389648438,216.10000610351562,207.89999389648438,207.89999389648438,107421
2023-03-02,208.06057739257812,213.1999969482422,221.25,212.0,216.75,204038
2023-03-03,208.30455017089844,213.4499969482422,215.89999389648438,213.1999969482422,214.5,103733
2023-03-06,212.2081298828125,217.4499969482422,219.89999389648438,214.0,216.1999969482422,274005
2023-03-08,229.7254180908203,235.39999389648438,252.0,215.0500030517578,217.0,4726014
2023-03-09,220.06407165527344,225.5,238.9499969482422,222.14999389648438,238.0,1120791
2023-03-10,222.8453826904297,228.35000610351562,238.4499969482422,220.5,225.0,1618378
2023-03-13,217.47796630859375,222.85000610351562,232.10000610351562,219.35000610351562,229.35000610351562,454059
2023-03-14,214.50148010253906,219.8000030517578,226.5,217.0,223.0,275006
2023-03-15,211.6226043701172,216.85000610351562,223.89999389648438,216.10000610351562,221.10000610351562,236701
2023-03-16,208.109375,213.25,218.5500030517578,212.14999389648438,217.89999389648438,289168
2023-03-17,208.9388885498047,214.10000610351562,217.3000030517578,212.5,215.0,261267
2023-03-20,205.13290405273438,210.1999969482422,215.6999969482422,208.39999389648438,215.0500030517578,349163
2023-03-21,207.96299743652344,213.10000610351562,214.75,211.25,211.25,198903
2023-03-22,209.2804412841797,214.4499969482422,216.89999389648438,212.5500030517578,215.0,170269
2023-03-23,214.59906005859375,219.89999389648438,224.5500030517578,214.25,215.5500030517578,768652
2023-03-24,207.96299743652344,213.10000610351562,220.5500030517578,211.85000610351562,219.4499969482422,239643
2023-03-27,201.42449951171875,206.39999389648438,213.6999969482422,205.0,213.6999969482422,249307
2023-03-28,208.3533477783203,213.5,214.60000610351562,202.25,207.39999389648438,477926
2023-03-29,214.59906005859375,219.89999389648438,222.0,211.3000030517578,213.5,457150
2023-03-31,218.1610870361328,223.5500030517578,231.89999389648438,221.14999389648438,227.75,770579
2023-04-03,224.6019744873047,230.14999389648438,232.0,223.6999969482422,228.0,515455
2023-04-05,230.75010681152344,236.4499969482422,243.89999389648438,231.89999389648438,234.6999969482422,1463987
2023-04-06,229.4814453125,235.14999389648438,243.5,233.1999969482422,242.39999389648438,1125549
2023-04-10,233.67779541015625,239.4499969482422,242.0,235.5500030517578,242.0,406866
2023-04-11,235.14163208007812,240.9499969482422,243.25,237.6999969482422,241.39999389648438,469705
2023-04-12,237.6301727294922,243.5,249.89999389648438,242.0500030517578,243.1999969482422,959863
2023-04-13,234.5561065673828,240.35000610351562,243.1999969482422,239.8000030517578,243.1999969482422,329665
2023-04-17,242.89999389648438,248.89999389648438,250.4499969482422,237.3000030517578,239.35000610351562,914811
2023-04-18,241.0500030517578,241.0500030517578,245.8000030517578,240.5,244.0,428592
2023-04-19,246.14999389648438,246.14999389648438,249.0,237.5,242.0,820700
2023-04-20,244.60000610351562,244.60000610351562,250.0,242.35000610351562,248.3000030517578,585411
2023-04-21,244.14999389648438,244.14999389648438,249.0,242.0500030517578,249.0,372712
2023-04-24,242.0,242.0,247.3000030517578,240.8000030517578,244.14999389648438,357097
2023-04-25,243.10000610351562,243.10000610351562,248.9499969482422,242.25,245.0,556331
2023-04-26,244.0,244.0,246.9499969482422,243.0500030517578,246.9499969482422,285498
2023-04-27,245.6999969482422,245.6999969482422,249.85000610351562,241.4499969482422,244.0,467525
2023-04-28,244.1999969482422,244.1999969482422,247.85000610351562,243.0500030517578,247.4499969482422,310233
2023-05-02,243.1999969482422,243.1999969482422,246.0500030517578,242.10000610351562,244.39999389648438,254779
2023-05-03,252.75,252.75,256.04998779296875,241.8000030517578,243.1999969482422,1212968
2023-05-04,260.29998779296875,260.29998779296875,263.0,252.75,253.25,896225
2023-05-05,256.3999938964844,256.3999938964844,263.8999938964844,254.1999969482422,259.8999938964844,465397
2023-05-08,261.45001220703125,261.45001220703125,268.0,258.04998779296875,266.0,680805
2023-05-09,255.6999969482422,255.6999969482422,265.54998779296875,252.3000030517578,262.70001220703125,400411
2023-05-10,252.4499969482422,252.4499969482422,258.0,251.10000610351562,257.29998779296875,234619
2023-05-11,252.8000030517578,252.8000030517578,256.1499938964844,251.5500030517578,254.64999389648438,190173
2023-05-12,247.10000610351562,247.10000610351562,257.45001220703125,244.9499969482422,254.35000610351562,340015
2023-05-15,252.25,252.25,253.9499969482422,243.0,249.3000030517578,358668
2023-05-16,251.9499969482422,251.9499969482422,257.29998779296875,251.0,253.5,240097
2023-05-17,249.1999969482422,249.1999969482422,254.3000030517578,248.4499969482422,251.9499969482422,178791
2023-05-18,246.25,246.25,257.5,240.6999969482422,250.8000030517578,255432
2023-05-19,249.4499969482422,249.4499969482422,251.9499969482422,244.5,246.75,240269
2023-05-22,245.5,245.5,250.0,244.60000610351562,249.9499969482422,202750
2023-05-23,243.64999389648438,243.64999389648438,246.8000030517578,243.0,245.5,106309
2023-05-24,246.64999389648438,246.64999389648438,253.4499969482422,242.0,243.0,351904
2023-05-25,249.0,249.0,251.85000610351562,245.0,248.0,175006
2023-05-26,247.64999389648438,247.64999389648438,251.5,247.14999389648438,250.39999389648438,131553
2023-05-29,248.4499969482422,248.4499969482422,254.0,246.0,246.0,236180
2023-05-30,248.35000610351562,248.35000610351562,249.5,247.14999389648438,249.5,68579
2023-05-31,249.0,249.0,251.85000610351562,247.14999389648438,248.6999969482422,175206
2023-06-01,251.8000030517578,251.8000030517578,254.6999969482422,248.1999969482422,248.1999969482422,162590
2023-06-02,253.5,253.5,257.79998779296875,252.0,252.0,286558
2023-06-05,256.20001220703125,256.20001220703125,259.3999938964844,254.10000610351562,256.5,260308
2023-06-06,253.0,253.0,257.45001220703125,250.5500030517578,256.20001220703125,141619
2023-06-07,267.25,267.25,271.45001220703125,252.9499969482422,253.0,2119450
2023-06-08,268.25,268.25,276.0,266.0,270.6499938964844,979086
2023-06-09,278.0,278.0,281.8999938964844,272.6000061035156,273.0,1536212
2023-06-12,272.54998779296875,272.54998779296875,282.75,271.0,279.3999938964844,593755
2023-06-13,268.45001220703125,268.45001220703125,275.04998779296875,267.0,274.0,336684
2023-06-14,271.6499938964844,271.6499938964844,277.95001220703125,268.54998779296875,272.0,670510
2023-06-15,268.6499938964844,268.6499938964844,273.1000061035156,267.29998779296875,272.0,233913
2023-06-16,268.95001220703125,268.95001220703125,274.70001220703125,268.04998779296875,270.0,340149
2023-06-19,269.70001220703125,269.70001220703125,272.54998779296875,266.3500061035156,270.8999938964844,209682
2023-06-20,273.6499938964844,273.6499938964844,276.8999938964844,268.1499938964844,269.70001220703125,365889
2023-06-21,270.8500061035156,270.8500061035156,276.6000061035156,268.75,274.0,336068
2023-06-22,292.25,292.25,295.0,270.3999938964844,271.6000061035156,3686716
2023-06-23,290.20001220703125,290.20001220703125,294.3999938964844,284.45001220703125,292.0,1239235
2023-06-26,277.8500061035156,277.8500061035156,288.3500061035156,276.1499938964844,286.79998779296875,571074
2023-06-27,276.95001220703125,276.95001220703125,281.75,275.25,279.79998779296875,254544
2023-06-28,271.04998779296875,271.04998779296875,278.45001220703125,270.5,278.0,263724
2023-06-30,269.79998779296875,269.79998779296875,277.0,269.0,272.5,374356
2023-07-03,265.04998779296875,265.04998779296875,272.04998779296875,264.04998779296875,271.8999938964844,286369
2023-07-04,267.54998779296875,267.54998779296875,268.45001220703125,260.8999938964844,265.3999938964844,341174
2023-07-05,265.6000061035156,265.6000061035156,270.8999938964844,263.6000061035156,269.0,216377
2023-07-06,267.25,267.25,269.6000061035156,265.04998779296875,266.95001220703125,133176
2023-07-07,269.54998779296875,269.54998779296875,273.1499938964844,266.0,267.8999938964844,324471
2023-07-10,266.70001220703125,266.70001220703125,271.70001220703125,265.1000061035156,271.70001220703125,182268
2023-07-11,266.20001220703125,266.20001220703125,268.95001220703125,265.20001220703125,267.95001220703125,189402
2023-07-12,272.70001220703125,272.70001220703125,274.8500061035156,265.3500061035156,267.95001220703125,743421
2023-07-13,268.95001220703125,268.95001220703125,274.3999938964844,267.0,272.8999938964844,185026
2023-07-14,271.5,271.5,274.95001220703125,267.1000061035156,270.0,333671
2023-07-17,270.20001220703125,270.20001220703125,274.95001220703125,269.04998779296875,272.70001220703125,283083
2023-07-18,268.1000061035156,268.1000061035156,272.20001220703125,267.04998779296875,271.5,189677
2023-07-19,268.25,268.25,271.25,267.29998779296875,269.79998779296875,236080
2023-07-20,275.75,275.75,280.0,269.70001220703125,269.70001220703125,981620
2023-07-21,287.1000061035156,287.1000061035156,288.95001220703125,274.20001220703125,274.8500061035156,857254
2023-07-24,289.25,289.25,295.5,286.54998779296875,288.8500061035156,1277880
2023-07-25,283.04998779296875,283.04998779296875,291.29998779296875,279.8999938964844,290.3500061035156,332482
2023-07-26,281.25,281.25,288.95001220703125,280.3500061035156,284.75,329865
2023-07-27,277.70001220703125,277.70001220703125,284.75,274.8999938964844,282.3999938964844,262178
2023-07-28,273.54998779296875,273.54998779296875,279.20001220703125,272.8999938964844,279.0,202301
2023-07-31,276.0,276.0,286.25,273.0,273.95001220703125,555233
2023-08-01,273.8999938964844,273.8999938964844,282.1000061035156,272.1000061035156,278.0,269146
2023-08-02,273.95001220703125,273.95001220703125,277.79998779296875,266.5,274.0,349604
2023-08-03,279.1499938964844,279.1499938964844,282.5,270.6000061035156,270.6000061035156,384116
2023-08-04,279.70001220703125,279.70001220703125,284.1499938964844,278.8500061035156,281.29998779296875,268930
2023-08-07,282.45001220703125,282.45001220703125,289.1499938964844,281.8999938964844,286.0,380809
2023-08-08,279.79998779296875,279.79998779296875,284.3999938964844,278.1499938964844,284.3999938964844,200022
2023-08-09,275.5,275.5,285.8999938964844,273.75,284.95001220703125,619494
2023-08-10,270.8500061035156,270.8500061035156,278.29998779296875,269.54998779296875,276.54998779296875,277812
2023-08-11,266.1499938964844,266.1499938964844,271.5,265.20001220703125,271.5,268445
2023-08-14,260.3500061035156,260.3500061035156,266.54998779296875,258.3500061035156,266.45001220703125,265275
2023-08-16,259.45001220703125,259.45001220703125,263.0,257.1000061035156,257.1000061035156,181135
2023-08-17,260.3500061035156,260.3500061035156,265.0,258.04998779296875,260.8500061035156,232576
2023-08-18,254.8000030517578,254.8000030517578,261.5,252.5,260.3999938964844,216944
2023-08-21,256.95001220703125,256.95001220703125,258.6499938964844,252.5500030517578,256.1000061035156,151449
2023-08-22,256.25,256.25,258.6000061035156,255.35000610351562,256.95001220703125,191787
2023-08-23,255.8000030517578,255.8000030517578,258.6000061035156,255.14999389648438,256.25,149844
2023-08-24,262.0,262.0,266.0,255.5500030517578,256.0,609041
2023-08-25,255.75,255.75,262.79998779296875,255.3000030517578,261.0,263547
2023-08-28,254.3000030517578,254.3000030517578,261.95001220703125,252.5,256.8999938964844,256687
