Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GILLETTE.NS,GILLETTE.NS,GILLETTE.NS,GILLETTE.NS,GILLETTE.NS,GILLETTE.NS
Date,,,,,,
2022-10-25,4910.6923828125,5172.7998046875,5186.9501953125,5147.0,5157.5498046875,935
2022-10-27,4873.62060546875,5133.75,5190.0,5100.10009765625,5175.0,1794
2022-10-28,4869.68115234375,5129.60009765625,5199.9501953125,5101.0,5120.0498046875,1841
2022-10-31,4881.974609375,5142.5498046875,5217.0,5125.0,5154.0,6863
2022-11-01,4878.65234375,5139.0498046875,5171.4501953125,5115.2998046875,5155.0,2479
2022-11-02,4898.87255859375,5160.35009765625,5172.0,5113.0,5113.0,4072
2022-11-03,4928.2548828125,5191.2998046875,5260.39990234375,5121.0498046875,5170.35009765625,2796
2022-11-04,4874.8076171875,5135.0,5254.0,5114.0,5217.2998046875,13864
2022-11-07,4917.52734375,5180.0,5200.0,5140.0,5160.7001953125,2654
2022-11-09,4932.05224609375,5195.2998046875,5239.0,5180.0,5235.0,4601
2022-11-10,4977.220703125,5206.5498046875,5219.0,5150.0,5150.0,3475
2022-11-11,4948.39892578125,5176.39990234375,5239.0498046875,5162.10009765625,5185.14990234375,1947
2022-11-14,4944.95751953125,5172.7998046875,5193.89990234375,5141.0,5176.39990234375,2019
2022-11-15,4900.45751953125,5126.25,5178.0,5115.0,5172.89990234375,17337
2022-11-16,4874.21630859375,5098.7998046875,5151.89990234375,5080.0,5151.85009765625,2327
2022-11-17,4850.70068359375,5074.2001953125,5094.10009765625,5065.0,5087.64990234375,1245
2022-11-18,4853.04248046875,5076.64990234375,5093.14990234375,5058.0498046875,5083.9501953125,1088
2022-11-21,4871.587890625,5096.0498046875,5100.0,5050.39990234375,5076.64990234375,1900
2022-11-22,4851.32177734375,5074.85009765625,5119.0,5070.0498046875,5118.0,1005
2022-11-23,4851.75244140625,5075.2998046875,5100.0,5052.0,5088.0,2003
2022-11-24,4780.81982421875,5001.10009765625,5098.0,4980.0,5055.0,55889
2022-11-25,4832.63232421875,5055.2998046875,5094.0,5001.9501953125,5026.0,4674
2022-11-28,4838.32080078125,5061.25,5079.0,5040.39990234375,5069.89990234375,2157
2022-11-29,4875.17236328125,5099.7998046875,5100.0,5046.10009765625,5079.9501953125,9514
2022-11-30,4901.748046875,5127.60009765625,5193.4501953125,5065.10009765625,5099.7998046875,7127
2022-12-01,4943.18896484375,5170.9501953125,5200.0,5150.0,5200.0,3375
2022-12-02,4946.2001953125,5174.10009765625,5200.0,5148.0,5173.0,3625
