Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VADILALIND.NS,VADILALIND.NS,VADILALIND.NS,VADILALIND.NS,VADILALIND.NS,VADILALIND.NS
Date,,,,,,
2022-10-10,2519.7578125,2531.800048828125,2579.0,2508.14990234375,2555.0,17914
2022-10-11,2539.215087890625,2551.35009765625,2661.10009765625,2531.0,2531.89990234375,14675
2022-10-12,2504.331298828125,2516.300048828125,2599.0,2502.0,2582.39990234375,13019
2022-10-13,2487.163330078125,2499.050048828125,2597.0,2494.85009765625,2517.0,12024
2022-10-14,2494.37890625,2506.300048828125,2547.800048828125,2498.0,2502.75,8433
2022-10-17,2504.580322265625,2516.550048828125,2554.949951171875,2449.5,2535.0,7667
2022-10-18,2428.1953125,2439.800048828125,2561.85009765625,2416.5,2505.050048828125,14094
2022-10-19,2297.818359375,2308.800048828125,2504.949951171875,2302.199951171875,2439.800048828125,40806
2022-10-20,2242.681884765625,2253.39990234375,2305.10009765625,2170.300048828125,2291.0,31009
2022-10-21,2313.642822265625,2324.699951171875,2386.5,2200.0,2255.0,35021
2022-10-24,2350.5166015625,2361.75,2399.949951171875,2339.949951171875,2395.0,3363
2022-10-25,2328.27294921875,2339.39990234375,2398.949951171875,2301.0,2373.300048828125,8466
2022-10-27,2239.596435546875,2250.300048828125,2355.0,2250.0,2320.0,12177
2022-10-28,2221.43359375,2232.050048828125,2251.0,2180.0,2251.0,14546
2022-10-31,2216.855224609375,2227.449951171875,2272.449951171875,2171.449951171875,2205.199951171875,23282
2022-11-01,2187.64501953125,2198.10009765625,2292.10009765625,2180.050048828125,2253.0,20039
2022-11-02,2187.64501953125,2198.10009765625,2200.0,2150.5,2198.0,9900
2022-11-03,2159.92724609375,2170.25,2249.0,2140.0,2249.0,5526
2022-11-04,2121.9091796875,2132.050048828125,2195.550048828125,2130.0,2150.0,8727
2022-11-07,2127.333251953125,2137.5,2165.0,2127.39990234375,2136.25,8464
2022-11-09,2106.234130859375,2116.300048828125,2185.0,2110.0,2185.0,18844
2022-11-10,2055.775390625,2065.60009765625,2146.0,2052.050048828125,2109.75,10573
2022-11-11,2168.386962890625,2178.75,2220.0,2088.0,2099.0,17210
2022-11-14,2153.259033203125,2163.550048828125,2250.0,2145.35009765625,2200.25,25223
2022-11-15,2273.484619140625,2284.35009765625,2320.0,2161.300048828125,2209.949951171875,21466
2022-11-16,2207.5498046875,2218.10009765625,2315.0,2205.199951171875,2312.0,10995
2022-11-17,2267.114990234375,2277.949951171875,2300.0,2185.0,2185.0,28829
2022-11-18,2310.5078125,2321.550048828125,2350.0,2235.5,2277.949951171875,60209
2022-11-21,2417.9443359375,2429.5,2474.60009765625,2303.0,2340.0,21843
2022-11-22,2437.84912109375,2449.5,2540.0,2415.050048828125,2438.0,19313
2022-11-23,2399.183837890625,2410.64990234375,2456.699951171875,2401.0,2449.0,13218
2022-11-24,2460.888916015625,2472.64990234375,2505.0,2396.60009765625,2425.0,21624
2022-11-25,2451.2353515625,2462.949951171875,2496.25,2435.25,2475.0,6250
2022-11-28,2483.38134765625,2495.25,2517.5,2450.0,2450.0,17480
2022-11-29,2563.0009765625,2575.25,2589.0,2467.300048828125,2495.25,14606
2022-11-30,2423.6171875,2435.199951171875,2588.800048828125,2407.85009765625,2575.25,12934
2022-12-01,2481.14208984375,2493.0,2521.050048828125,2448.75,2459.75,10876
2022-12-02,2553.6953125,2565.89990234375,2599.949951171875,2460.0,2471.0,22809
2022-12-05,2500.549560546875,2512.5,2604.949951171875,2484.64990234375,2604.949951171875,13786
2022-12-06,2413.31640625,2424.85009765625,2522.449951171875,2400.0,2502.550048828125,11248
2022-12-07,2390.226806640625,2401.64990234375,2475.0,2344.050048828125,2470.0,18874
2022-12-08,2471.986083984375,2483.800048828125,2504.300048828125,2321.10009765625,2400.0,75002
2022-12-09,2567.678466796875,2579.949951171875,2739.800048828125,2471.25,2525.0,68993
2022-12-12,2633.46435546875,2646.050048828125,2650.0,2579.949951171875,2600.0,26526
2022-12-13,2678.00146484375,2690.800048828125,2750.0,2665.5,2685.10009765625,48040
2022-12-14,2661.97802734375,2674.699951171875,2699.949951171875,2635.050048828125,2695.0,12778
2022-12-15,2646.5517578125,2659.199951171875,2699.0,2655.0,2699.0,9398
2022-12-16,2648.6416015625,2661.300048828125,2744.75,2635.050048828125,2687.0,27502
2022-12-19,2753.341552734375,2766.5,2790.0,2680.0,2680.0,26629
