Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MANGALAM.NS,MANGALAM.NS,MANGALAM.NS,MANGALAM.NS,MANGALAM.NS,MANGALAM.NS
Date,,,,,,
2022-10-10,149.89999389648438,149.89999389648438,150.8000030517578,142.25,142.25,46449
2022-10-11,153.35000610351562,153.35000610351562,158.5,150.9499969482422,151.0,74664
2022-10-12,149.1999969482422,149.1999969482422,155.64999389648438,148.10000610351562,155.64999389648438,27865
2022-10-13,148.4499969482422,148.4499969482422,152.39999389648438,146.0500030517578,148.75,32822
2022-10-14,148.5500030517578,148.5500030517578,152.14999389648438,147.0,152.14999389648438,10676
2022-10-17,143.35000610351562,143.35000610351562,148.9499969482422,142.89999389648438,148.5500030517578,28641
2022-10-18,144.25,144.25,146.5,141.3000030517578,145.39999389648438,20678
2022-10-19,143.3000030517578,143.3000030517578,146.35000610351562,142.39999389648438,144.1999969482422,15481
2022-10-20,140.85000610351562,140.85000610351562,145.85000610351562,140.10000610351562,143.0500030517578,30827
2022-10-21,140.5500030517578,140.5500030517578,143.4499969482422,140.3000030517578,141.25,20952
2022-10-24,141.64999389648438,141.64999389648438,144.89999389648438,140.60000610351562,144.89999389648438,8375
2022-10-25,137.64999389648438,137.64999389648438,141.39999389648438,136.64999389648438,141.0,30045
2022-10-27,140.64999389648438,140.64999389648438,141.25,137.6999969482422,137.6999969482422,19054
2022-10-28,139.5500030517578,139.5500030517578,142.10000610351562,139.10000610351562,141.3000030517578,13314
2022-10-31,140.3000030517578,140.3000030517578,141.89999389648438,139.35000610351562,141.89999389648438,14724
2022-11-01,140.75,140.75,141.89999389648438,139.0500030517578,140.3000030517578,10603
2022-11-02,135.4499969482422,135.4499969482422,140.14999389648438,133.10000610351562,140.10000610351562,46310
2022-11-03,136.3000030517578,136.3000030517578,138.0,135.10000610351562,135.10000610351562,12684
2022-11-04,138.8000030517578,138.8000030517578,139.60000610351562,136.10000610351562,136.10000610351562,17814
2022-11-07,138.1999969482422,138.1999969482422,139.5,136.6999969482422,138.9499969482422,14089
2022-11-09,140.1999969482422,140.1999969482422,146.6999969482422,138.1999969482422,138.25,73062
2022-11-10,137.0,137.0,142.1999969482422,136.14999389648438,140.5,21651
2022-11-11,143.3000030517578,143.3000030517578,150.60000610351562,137.3000030517578,137.3000030517578,75671
2022-11-14,139.0500030517578,139.0500030517578,141.6999969482422,136.5500030517578,140.0,28852
2022-11-15,137.5,137.5,140.9499969482422,137.0500030517578,139.4499969482422,21594
2022-11-16,137.5,137.5,139.5500030517578,136.5,137.5,15642
2022-11-17,137.3000030517578,137.3000030517578,138.6999969482422,137.0500030517578,137.1999969482422,7584
2022-11-18,135.4499969482422,135.4499969482422,142.0500030517578,135.14999389648438,137.3000030517578,24760
2022-11-21,135.35000610351562,135.35000610351562,136.89999389648438,133.3000030517578,135.5500030517578,9877
2022-11-22,133.0,133.0,136.10000610351562,132.10000610351562,134.14999389648438,21095
2022-11-23,133.5500030517578,133.5500030517578,137.89999389648438,132.1999969482422,137.89999389648438,20945
2022-11-24,135.14999389648438,135.14999389648438,136.0,134.1999969482422,134.1999969482422,11913
2022-11-25,132.75,132.75,135.14999389648438,131.5500030517578,135.14999389648438,22447
2022-11-28,133.35000610351562,133.35000610351562,135.0,132.60000610351562,132.60000610351562,14503
2022-11-29,140.14999389648438,140.14999389648438,141.89999389648438,134.35000610351562,136.6999969482422,58479
2022-11-30,141.6999969482422,141.6999969482422,143.0,140.0500030517578,140.14999389648438,31863
2022-12-01,144.1999969482422,144.1999969482422,145.5,141.6999969482422,141.6999969482422,42161
2022-12-02,143.14999389648438,143.14999389648438,144.85000610351562,142.0,142.0,25476
2022-12-05,138.85000610351562,138.85000610351562,142.4499969482422,137.9499969482422,142.0500030517578,15722
2022-12-06,137.89999389648438,137.89999389648438,142.89999389648438,135.35000610351562,139.25,32412
2022-12-07,138.4499969482422,138.4499969482422,140.89999389648438,137.0,139.9499969482422,15976
2022-12-08,137.85000610351562,137.85000610351562,141.0,136.5,138.4499969482422,17111
2022-12-09,136.75,136.75,139.1999969482422,134.3000030517578,139.1999969482422,24823
2022-12-12,142.10000610351562,142.10000610351562,145.39999389648438,133.0,136.0,81991
2022-12-13,138.8000030517578,138.8000030517578,145.4499969482422,137.60000610351562,142.85000610351562,43500
2022-12-14,137.9499969482422,137.9499969482422,142.0,137.10000610351562,139.3000030517578,16970
2022-12-15,137.25,137.25,139.6999969482422,137.0,137.85000610351562,14924
