Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NURECA.NS,NURECA.NS,NURECA.NS,NURECA.NS,NURECA.NS,NURECA.NS
Date,,,,,,
2022-10-25,804.1500244140625,804.1500244140625,817.7999877929688,735.6500244140625,744.5,238266
2022-10-27,784.6500244140625,784.6500244140625,835.8499755859375,780.0,804.0,145365
2022-10-28,779.7999877929688,779.7999877929688,800.9500122070312,773.0,784.0,60255
2022-10-31,774.9000244140625,774.9000244140625,790.9500122070312,771.0,785.0,25751
2022-11-01,774.2000122070312,774.2000122070312,789.2000122070312,770.4000244140625,775.0,39446
2022-11-02,782.6500244140625,782.6500244140625,789.0,771.2999877929688,771.2999877929688,35204
2022-11-03,776.5499877929688,776.5499877929688,786.5999755859375,775.0,780.0,17736
2022-11-04,775.75,775.75,791.4000244140625,770.4000244140625,776.0,25348
2022-11-07,773.7999877929688,773.7999877929688,785.0,770.7999877929688,775.75,20152
2022-11-09,753.6500244140625,753.6500244140625,784.0999755859375,746.0,775.0,42507
2022-11-10,753.9000244140625,753.9000244140625,770.0,748.7000122070312,753.0,21030
2022-11-11,756.1500244140625,756.1500244140625,769.9500122070312,748.0,769.9500122070312,22967
2022-11-14,730.5,730.5,749.0499877929688,726.0,749.0499877929688,64784
2022-11-15,726.5,726.5,738.7000122070312,723.0,735.0,35201
2022-11-16,703.9500122070312,703.9500122070312,731.5,701.0,725.0499877929688,60586
2022-11-17,673.5,673.5,709.5,670.0499877929688,709.5,97544
2022-11-18,634.7000122070312,634.7000122070312,678.5,629.0499877929688,673.5,130530
2022-11-21,642.2999877929688,642.2999877929688,717.2000122070312,625.0,640.9500122070312,231611
2022-11-22,620.75,620.75,652.5,616.5499877929688,647.25,92057
2022-11-23,596.5,596.5,628.9000244140625,590.0,620.75,176498
2022-11-24,582.4000244140625,582.4000244140625,616.0,580.0,596.9500122070312,161281
2022-11-25,563.7999877929688,563.7999877929688,602.7999877929688,560.8499755859375,602.7999877929688,242268
2022-11-28,538.4000244140625,538.4000244140625,573.9000244140625,533.0,568.9000244140625,283873
2022-11-29,530.0499877929688,530.0499877929688,563.0499877929688,525.0,538.0,544077
2022-11-30,505.8500061035156,505.8500061035156,539.0,503.54998779296875,531.0,427232
2022-12-01,496.45001220703125,496.45001220703125,507.95001220703125,484.0,505.0,639621
2022-12-02,519.7999877929688,519.7999877929688,533.0,493.0,499.95001220703125,770394
2022-12-05,514.5999755859375,514.5999755859375,529.5,510.0,524.1500244140625,274057
2022-12-06,503.6000061035156,503.6000061035156,516.7000122070312,483.70001220703125,516.7000122070312,188843
2022-12-07,500.1000061035156,500.1000061035156,508.79998779296875,497.45001220703125,503.0,111681
2022-12-08,508.75,508.75,515.0,500.1499938964844,500.1499938964844,96421
2022-12-09,498.20001220703125,498.20001220703125,514.7000122070312,496.20001220703125,513.7999877929688,86263
2022-12-12,494.04998779296875,494.04998779296875,499.25,490.20001220703125,490.20001220703125,69905
2022-12-13,500.0,500.0,507.5,493.0,493.0,107674
2022-12-14,497.95001220703125,497.95001220703125,503.95001220703125,495.0,503.95001220703125,50858
2022-12-15,493.95001220703125,493.95001220703125,503.8500061035156,492.5,498.0,51861
2022-12-16,492.79998779296875,492.79998779296875,496.45001220703125,486.1499938964844,493.79998779296875,67775
2022-12-19,489.20001220703125,489.20001220703125,496.0,487.0,496.0,42905
2022-12-20,485.5,485.5,494.0,484.0,494.0,54023
2022-12-21,496.3999938964844,496.3999938964844,508.3999938964844,488.0,488.0,260932
