Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SANOFICONR.NS,SANOFICONR.NS,SANOFICONR.NS,SANOFICONR.NS,SANOFICONR.NS,SANOFICONR.NS
Date,,,,,,
2024-09-13,4849.40771484375,4903.5,4903.5,4600.0,4670.0,36959
2024-09-16,5091.853515625,5148.64990234375,5148.64990234375,5148.64990234375,5148.64990234375,41796
2024-09-17,5086.26611328125,5143.0,5199.0,4901.0,5199.0,190092
2024-09-18,5085.96923828125,5142.7001953125,5194.0,4916.75,5100.0,106558
2024-09-19,5290.93310546875,5349.9501953125,5363.35009765625,5001.0,5142.7001953125,74963
2024-09-20,5056.1025390625,5112.5,5375.0,5090.0,5374.9501953125,67766
2024-09-23,5033.603515625,5089.75,5200.0,4875.0,4933.0,36868
2024-09-24,5220.123046875,5278.35009765625,5295.0,4951.2001953125,5090.0,14412
2024-09-25,5163.158203125,5220.75,5300.10009765625,5125.0,5279.0,92131
2024-09-26,5046.11376953125,5102.39990234375,5215.0,5050.0,5215.0,36179
2024-09-27,5047.15234375,5103.4501953125,5244.0,4990.0,5198.0,47327
2024-09-30,4989.84130859375,5045.5,5105.0,4950.0,5103.4501953125,21390
2024-10-01,5017.38427734375,5073.35009765625,5137.39990234375,4980.0,5003.35009765625,10149
2024-10-03,4965.265625,5020.64990234375,5063.9501953125,4901.0,4901.0,56171
2024-10-04,4932.77783203125,4987.7998046875,5080.0,4900.0,5080.0,20161
2024-10-07,4829.0849609375,4882.9501953125,4987.7998046875,4700.0,4931.0,44780
2024-10-08,5048.388671875,5104.7001953125,5120.0,4211.5498046875,4880.0,13422
2024-10-09,4906.0263671875,4960.75,5180.0,4930.0,5104.14990234375,8882
2024-10-10,4928.72314453125,4983.7001953125,5178.2998046875,4950.2001953125,5105.0,65223
2024-10-11,4847.9736328125,4902.0498046875,5003.2001953125,4864.0,5000.0,15939
2024-10-14,4819.04638671875,4872.7998046875,5040.0,4800.0,4903.0,9066
2024-10-15,4778.69677734375,4832.0,4852.0,4765.0498046875,4852.0,12652
2024-10-16,4781.81201171875,4835.14990234375,4882.35009765625,4615.0,4800.0,17308
2024-10-17,4766.58154296875,4819.75,4849.89990234375,4672.89990234375,4786.7998046875,13125
2024-10-18,4770.5869140625,4823.7998046875,4900.0,4696.35009765625,4747.4501953125,8876
2024-10-21,4799.81103515625,4853.35009765625,4915.0,4734.0498046875,4872.0498046875,12241
2024-10-22,4659.37744140625,4711.35009765625,4920.9501953125,4659.0498046875,4920.9501953125,20703
2024-10-23,4754.6650390625,4807.7001953125,4850.0,4602.60009765625,4707.7001953125,12018
2024-10-24,4702.00244140625,4754.4501953125,4870.0,4722.0,4820.0,14880
2024-10-25,4698.19482421875,4750.60009765625,4788.0,4613.0,4742.64990234375,12574
2024-10-28,4664.52001953125,4716.5498046875,4800.0,4684.0,4774.9501953125,3849
2024-10-29,4667.9814453125,4720.0498046875,4800.0,4700.10009765625,4708.60009765625,9589
2024-10-31,4870.32470703125,4924.64990234375,4962.39990234375,4863.10009765625,4900.0,7771
2024-11-01,4879.0771484375,4933.5,4949.89990234375,4860.0,4924.60009765625,445
2024-11-04,4819.689453125,4873.4501953125,4953.5,4836.9501953125,4950.0,5978
2024-11-06,4820.43115234375,4874.2001953125,4926.85009765625,4801.0,4918.7001953125,31838
2024-11-07,4863.302734375,4917.5498046875,4926.25,4872.14990234375,4872.14990234375,4396
2024-11-08,4852.6220703125,4906.75,4940.0,4860.0498046875,4930.0,46382
2024-11-11,4861.9677734375,4916.2001953125,4929.5498046875,4851.0,4868.7001953125,16684
2024-11-12,4832.94140625,4886.85009765625,4940.0,4851.0,4940.0,2869
2024-11-13,4778.94384765625,4832.25,4869.89990234375,4797.5498046875,4830.0,34027
2024-11-14,4765.09814453125,4818.25,4920.0,4790.0498046875,4830.0,19780
2024-11-18,4784.1357421875,4837.5,4899.0,4790.0498046875,4899.0,10605
2024-11-19,4772.16943359375,4825.39990234375,4868.0498046875,4801.0,4801.0,34009
2024-11-21,4745.6650390625,4798.60009765625,4841.9501953125,4702.64990234375,4801.0,30551
2024-11-22,4736.91259765625,4789.75,4836.60009765625,4725.14990234375,4798.60009765625,29385
2024-11-25,4736.46728515625,4789.2998046875,4836.9501953125,4760.2001953125,4800.0,118304
2024-11-26,4741.11572265625,4794.0,4814.14990234375,4755.0498046875,4788.35009765625,20933
2024-11-27,4729.19873046875,4781.9501953125,4824.0,4776.0,4794.0,2602
2024-11-28,4753.4287109375,4806.4501953125,4839.0,4747.2998046875,4765.0,22346
2024-11-29,4772.16943359375,4825.39990234375,4854.7998046875,4761.0,4830.0,23530
2024-12-02,4746.40673828125,4799.35009765625,4840.0,4776.0,4815.0,12092
