Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ACLGATI.NS,ACLGATI.NS,ACLGATI.NS,ACLGATI.NS,ACLGATI.NS,ACLGATI.NS
Date,,,,,,
2022-10-10,179.8000030517578,179.8000030517578,183.4499969482422,175.85000610351562,177.0500030517578,687665
2022-10-11,176.0,176.0,186.89999389648438,172.39999389648438,180.5,832310
2022-10-12,176.8000030517578,176.8000030517578,178.9499969482422,175.10000610351562,176.39999389648438,330217
2022-10-13,176.9499969482422,176.9499969482422,179.25,173.85000610351562,176.5,202539
2022-10-14,174.89999389648438,174.89999389648438,179.8000030517578,173.1999969482422,178.5,238266
2022-10-17,176.89999389648438,176.89999389648438,179.5,172.25,173.60000610351562,309103
2022-10-18,175.9499969482422,175.9499969482422,178.8000030517578,173.60000610351562,178.14999389648438,295648
2022-10-19,173.9499969482422,173.9499969482422,177.5,173.3000030517578,176.89999389648438,198818
2022-10-20,170.25,170.25,175.60000610351562,169.10000610351562,173.5,288733
2022-10-21,165.64999389648438,165.64999389648438,172.14999389648438,164.5500030517578,171.0,351329
2022-10-24,171.5,171.5,172.89999389648438,166.4499969482422,166.5,208115
2022-10-25,176.25,176.25,179.0,169.1999969482422,173.0,575907
2022-10-27,180.75,180.75,184.5,174.6999969482422,177.89999389648438,754162
2022-10-28,178.9499969482422,178.9499969482422,183.1999969482422,177.25,178.9499969482422,312757
2022-10-31,175.5,175.5,180.9499969482422,174.85000610351562,179.89999389648438,214251
2022-11-01,175.8000030517578,175.8000030517578,176.64999389648438,174.14999389648438,176.0,180666
2022-11-02,176.4499969482422,176.4499969482422,178.39999389648438,175.0,177.89999389648438,233338
2022-11-03,172.6999969482422,172.6999969482422,182.25,171.1999969482422,177.6999969482422,849120
2022-11-04,175.4499969482422,175.4499969482422,177.35000610351562,173.10000610351562,174.5,350836
2022-11-07,170.3000030517578,170.3000030517578,176.8000030517578,169.39999389648438,176.8000030517578,330098
2022-11-09,169.8000030517578,169.8000030517578,172.0,168.6999969482422,170.9499969482422,230262
2022-11-10,165.64999389648438,165.64999389648438,170.0,164.3000030517578,169.0,236178
2022-11-11,163.35000610351562,163.35000610351562,169.6999969482422,162.35000610351562,169.0,401801
2022-11-14,165.6999969482422,165.6999969482422,168.8000030517578,162.3000030517578,163.35000610351562,353086
2022-11-15,167.25,167.25,168.60000610351562,164.3000030517578,166.39999389648438,191249
2022-11-16,165.6999969482422,165.6999969482422,171.0,164.4499969482422,167.5,383931
2022-11-17,164.10000610351562,164.10000610351562,166.4499969482422,163.10000610351562,166.4499969482422,128579
2022-11-18,163.3000030517578,163.3000030517578,165.4499969482422,161.0,165.4499969482422,162773
2022-11-21,163.5,163.5,164.60000610351562,161.4499969482422,164.60000610351562,135938
2022-11-22,162.85000610351562,162.85000610351562,165.60000610351562,162.0,164.89999389648438,140113
2022-11-23,163.5,163.5,166.89999389648438,162.10000610351562,163.8000030517578,167553
2022-11-24,162.6999969482422,162.6999969482422,164.60000610351562,162.3000030517578,164.39999389648438,133796
2022-11-25,166.5,166.5,168.75,161.14999389648438,163.64999389648438,351945
2022-11-28,165.1999969482422,165.1999969482422,167.14999389648438,164.8000030517578,166.5,176368
2022-11-29,166.5,166.5,170.60000610351562,164.14999389648438,165.89999389648438,366567
2022-11-30,163.6999969482422,163.6999969482422,167.4499969482422,163.0,166.5,376479
2022-12-01,163.64999389648438,163.64999389648438,165.4499969482422,163.0500030517578,165.0,147319
2022-12-02,161.9499969482422,161.9499969482422,164.0,161.5,162.10000610351562,219134
2022-12-05,162.0,162.0,163.60000610351562,161.0500030517578,163.4499969482422,242486
2022-12-06,161.10000610351562,161.10000610351562,163.60000610351562,160.5,161.10000610351562,218642
2022-12-07,160.64999389648438,160.64999389648438,163.10000610351562,159.0500030517578,162.4499969482422,289485
2022-12-08,160.39999389648438,160.39999389648438,162.5,159.8000030517578,161.60000610351562,190846
2022-12-09,157.0500030517578,157.0500030517578,161.5500030517578,154.0500030517578,161.0,217625
2022-12-12,155.1999969482422,155.1999969482422,158.1999969482422,154.8000030517578,157.0,162296
2022-12-13,160.14999389648438,160.14999389648438,162.0,155.0,155.10000610351562,509724
2022-12-14,157.89999389648438,157.89999389648438,162.6999969482422,157.35000610351562,161.14999389648438,377591
2022-12-15,157.14999389648438,157.14999389648438,160.0,156.10000610351562,159.9499969482422,130103
2022-12-16,155.0,155.0,159.5,154.14999389648438,157.14999389648438,237320
2022-12-19,155.0500030517578,155.0500030517578,158.3000030517578,154.0,156.0,196844
2022-12-20,149.6999969482422,149.6999969482422,155.9499969482422,147.1999969482422,154.25,504812
2022-12-21,145.10000610351562,145.10000610351562,152.0,144.9499969482422,150.89999389648438,468421
2022-12-22,138.8000030517578,138.8000030517578,146.75,137.60000610351562,146.75,394255
2022-12-23,135.89999389648438,135.89999389648438,140.25,134.10000610351562,138.0,261189
2022-12-26,134.89999389648438,134.89999389648438,140.39999389648438,134.5,136.5500030517578,379454
2022-12-27,135.6999969482422,135.6999969482422,142.85000610351562,134.5,136.9499969482422,1018238
2022-12-28,145.1999969482422,145.1999969482422,147.25,134.8000030517578,135.0,2736445
2022-12-29,147.6999969482422,147.6999969482422,149.35000610351562,144.0,144.0,945912
2022-12-30,144.25,144.25,148.9499969482422,143.5,148.85000610351562,437954
2023-01-02,143.6999969482422,143.6999969482422,146.60000610351562,143.10000610351562,144.25,253266
2023-01-03,143.10000610351562,143.10000610351562,145.39999389648438,141.89999389648438,144.64999389648438,246691
2023-01-04,139.39999389648438,139.39999389648438,144.0,138.8000030517578,144.0,364875
2023-01-05,139.64999389648438,139.64999389648438,142.6999969482422,137.60000610351562,140.0,461410
2023-01-06,159.1999969482422,159.1999969482422,161.10000610351562,139.6999969482422,140.60000610351562,6143058
2023-01-09,151.14999389648438,151.14999389648438,157.4499969482422,150.0,157.0,1624206
2023-01-10,152.25,152.25,156.89999389648438,149.60000610351562,151.8000030517578,1474261
2023-01-11,150.8000030517578,150.8000030517578,152.64999389648438,149.35000610351562,151.4499969482422,478711
2023-01-12,151.0500030517578,151.0500030517578,153.0500030517578,149.60000610351562,151.39999389648438,394618
2023-01-13,153.25,153.25,157.64999389648438,150.89999389648438,151.64999389648438,885399
2023-01-16,152.0,152.0,154.10000610351562,151.10000610351562,154.0,224568
2023-01-17,152.1999969482422,152.1999969482422,156.0,150.35000610351562,152.0,533316
2023-01-18,145.1999969482422,145.1999969482422,152.5,144.0,152.5,819332
2023-01-19,148.35000610351562,148.35000610351562,150.6999969482422,144.3000030517578,145.0500030517578,541550
2023-01-20,148.4499969482422,148.4499969482422,151.5,147.35000610351562,148.14999389648438,262374
2023-01-23,148.75,148.75,149.75,146.14999389648438,148.0,412051
2023-01-24,149.89999389648438,149.89999389648438,153.75,148.75,148.75,865082
2023-01-25,145.85000610351562,145.85000610351562,150.6999969482422,145.10000610351562,150.0,280133
2023-01-27,140.35000610351562,140.35000610351562,146.0500030517578,136.0,145.89999389648438,684724
2023-01-30,137.8000030517578,137.8000030517578,142.5,137.3000030517578,139.9499969482422,374320
2023-01-31,143.25,143.25,144.4499969482422,137.5500030517578,139.0,400138
2023-02-01,141.5,141.5,145.8000030517578,138.0,144.60000610351562,298038
2023-02-02,140.5,140.5,143.8000030517578,139.0,142.89999389648438,385726
2023-02-03,141.5500030517578,141.5500030517578,142.10000610351562,138.0,142.0,288565
