Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BALUFORGE.NS,BALUFORGE.NS,BALUFORGE.NS,BALUFORGE.NS,BALUFORGE.NS,BALUFORGE.NS
Date,,,,,,
2024-04-29,275.38238525390625,275.5,308.8999938964844,270.20001220703125,306.0,987313
2024-04-30,276.4819030761719,276.6000061035156,284.0,275.0,275.8999938964844,342614
2024-05-02,282.7792053222656,282.8999938964844,291.79998779296875,277.54998779296875,279.0,467039
2024-05-03,282.4793701171875,282.6000061035156,292.0,271.3999938964844,285.6000061035156,487989
2024-05-06,285.7779235839844,285.8999938964844,292.70001220703125,276.0,290.0,837178
2024-05-07,276.8817443847656,277.0,288.20001220703125,275.04998779296875,285.95001220703125,380017
2024-05-08,284.8283386230469,284.95001220703125,286.8999938964844,274.54998779296875,277.45001220703125,470751
2024-05-09,271.53399658203125,271.6499938964844,286.8999938964844,268.0,283.75,288623
2024-05-10,297.82281494140625,297.95001220703125,306.0,272.0,273.95001220703125,855616
2024-05-13,302.2708740234375,302.3999938964844,308.29998779296875,286.70001220703125,300.0,1395870
2024-05-14,303.6702575683594,303.79998779296875,308.5,295.04998779296875,304.0,583120
2024-05-15,307.71856689453125,307.8500061035156,317.70001220703125,292.1499938964844,310.0,1306329
2024-05-16,310.1175231933594,310.25,316.5,305.70001220703125,310.8500061035156,630278
2024-05-17,312.7164306640625,312.8500061035156,315.5,309.0,309.8500061035156,461987
2024-05-21,308.818115234375,308.95001220703125,324.3999938964844,305.0,313.5,1081298
2024-05-22,303.62030029296875,303.75,313.5,301.29998779296875,312.5,461380
2024-05-23,296.4233703613281,296.54998779296875,306.79998779296875,295.95001220703125,306.79998779296875,342475
2024-05-24,295.6736755371094,295.79998779296875,301.3500061035156,294.25,298.8999938964844,195206
2024-05-27,286.4276123046875,286.54998779296875,299.3500061035156,283.79998779296875,297.95001220703125,370972
2024-05-28,277.9812927246094,278.1000061035156,289.6499938964844,275.0,284.70001220703125,314608
2024-05-29,285.6779479980469,285.79998779296875,287.20001220703125,276.1499938964844,278.1000061035156,251185
2024-05-30,285.5780334472656,285.70001220703125,290.20001220703125,282.20001220703125,285.79998779296875,179957
2024-05-31,284.5784606933594,284.70001220703125,287.70001220703125,278.0,287.0,210519
2024-06-03,278.4310607910156,278.54998779296875,300.0,277.0,300.0,414943
2024-06-04,260.8385925292969,260.95001220703125,277.95001220703125,222.85000610351562,277.95001220703125,1199638
2024-06-05,263.88726806640625,264.0,269.1499938964844,246.89999389648438,265.0,342381
2024-06-06,279.8804626464844,280.0,282.95001220703125,266.8999938964844,269.0,344796
2024-06-07,286.377685546875,286.5,288.0,280.45001220703125,281.0,171008
2024-06-10,293.72454833984375,293.8500061035156,296.0,287.25,288.0,367581
2024-06-11,299.1222229003906,299.25,303.3999938964844,293.1499938964844,295.8500061035156,387591
2024-06-12,303.2204895019531,303.3500061035156,306.5,298.79998779296875,300.6499938964844,353411
2024-06-13,301.72113037109375,301.8500061035156,308.25,300.0,305.0,229448
2024-06-14,301.5711975097656,301.70001220703125,305.8999938964844,300.8999938964844,303.3500061035156,380023
2024-06-18,309.46783447265625,309.6000061035156,315.0,303.1499938964844,304.0,585856
2024-06-19,316.7646789550781,316.8999938964844,328.20001220703125,311.29998779296875,312.70001220703125,1925302
2024-06-20,341.4041748046875,341.54998779296875,343.6000061035156,319.0,320.0,1953689
2024-06-21,333.5075378417969,333.6499938964844,351.79998779296875,328.29998779296875,346.45001220703125,963011
2024-06-24,335.40673828125,335.54998779296875,342.0,333.45001220703125,336.8500061035156,460925
2024-06-25,330.8586730957031,331.0,338.6499938964844,330.0,337.79998779296875,318784
2024-06-26,335.2568054199219,335.3999938964844,338.45001220703125,324.8500061035156,332.95001220703125,361422
2024-06-27,318.9637756347656,319.1000061035156,341.0,313.54998779296875,338.8500061035156,672395
