Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GVPIL.NS,GVPIL.NS,GVPIL.NS,GVPIL.NS,GVPIL.NS,GVPIL.NS
Date,,,,,,
2025-08-19,388.79998779296875,388.79998779296875,394.0,348.04998779296875,349.95001220703125,5423663
2025-08-20,372.75,372.75,387.79998779296875,371.3500061035156,385.3999938964844,588431
2025-08-21,366.1499938964844,366.1499938964844,377.8999938964844,364.0,375.6499938964844,355747
2025-08-22,374.6000061035156,374.6000061035156,393.75,366.3999938964844,366.3999938964844,1155143
2025-08-25,372.5,372.5,380.54998779296875,367.6499938964844,378.3999938964844,360584
2025-08-26,359.45001220703125,359.45001220703125,379.6499938964844,356.25,371.95001220703125,536230
2025-08-28,348.29998779296875,348.29998779296875,363.8999938964844,346.1000061035156,363.8999938964844,250954
2025-08-29,338.6499938964844,338.6499938964844,355.6000061035156,336.20001220703125,349.8999938964844,238576
2025-09-01,333.5,333.5,347.8999938964844,330.75,340.8999938964844,277764
2025-09-02,351.75,351.75,355.0,335.1000061035156,335.1000061035156,425977
2025-09-03,367.25,367.25,371.0,350.1000061035156,352.0,333777
2025-09-04,361.3999938964844,361.3999938964844,372.5,351.29998779296875,369.6000061035156,282167
2025-09-05,367.29998779296875,367.29998779296875,369.8999938964844,356.29998779296875,361.0,171605
2025-09-08,361.79998779296875,361.79998779296875,380.8500061035156,360.20001220703125,372.0,351294
2025-09-09,356.70001220703125,356.70001220703125,366.25,353.8999938964844,364.79998779296875,144399
2025-09-10,352.3500061035156,352.3500061035156,369.0,350.0,357.6000061035156,242720
2025-09-11,355.70001220703125,355.70001220703125,363.6000061035156,354.20001220703125,354.79998779296875,171878
2025-09-12,366.04998779296875,366.04998779296875,378.0,360.3999938964844,360.95001220703125,743825
2025-09-15,375.25,375.25,379.79998779296875,363.79998779296875,369.0,525822
2025-09-16,373.6499938964844,373.6499938964844,390.0,370.04998779296875,379.0,645485
2025-09-17,367.20001220703125,367.20001220703125,376.75,364.5,376.75,250388
2025-09-18,367.20001220703125,367.20001220703125,375.29998779296875,365.1000061035156,367.5,155521
2025-09-19,354.04998779296875,354.04998779296875,369.1499938964844,353.0,368.0,352308
2025-09-22,347.20001220703125,347.20001220703125,357.20001220703125,345.8500061035156,355.45001220703125,172682
2025-09-23,344.95001220703125,344.95001220703125,351.8999938964844,341.29998779296875,349.8999938964844,141237
2025-09-24,337.45001220703125,337.45001220703125,347.6499938964844,334.3500061035156,345.0,109347
2025-09-25,336.04998779296875,336.04998779296875,345.79998779296875,333.45001220703125,339.45001220703125,123307
2025-09-26,327.20001220703125,327.20001220703125,337.95001220703125,325.25,337.95001220703125,158592
2025-09-29,322.5,322.5,330.20001220703125,321.0,328.8999938964844,109303
2025-09-30,320.70001220703125,320.70001220703125,327.1499938964844,317.0,321.6000061035156,98991
2025-10-01,334.0,334.0,335.70001220703125,321.6499938964844,323.0,178881
2025-10-03,332.95001220703125,332.95001220703125,338.5,331.25,336.6000061035156,123164
2025-10-06,332.0,332.0,337.95001220703125,328.8999938964844,333.5,82884
2025-10-07,326.04998779296875,326.04998779296875,334.95001220703125,325.1499938964844,334.95001220703125,75879
2025-10-08,324.75,324.75,331.1499938964844,323.04998779296875,326.04998779296875,69363
2025-10-09,319.79998779296875,319.79998779296875,328.1499938964844,316.1499938964844,324.95001220703125,146826
2025-10-10,332.5,332.5,337.8999938964844,319.79998779296875,319.79998779296875,261210
2025-10-13,320.45001220703125,320.45001220703125,332.20001220703125,318.04998779296875,332.20001220703125,160130
2025-10-14,312.54998779296875,312.54998779296875,324.8999938964844,310.1499938964844,323.0,131289
2025-10-15,316.25,316.25,319.8999938964844,313.25,314.79998779296875,105585
2025-10-16,316.8999938964844,316.8999938964844,320.8500061035156,315.1000061035156,317.79998779296875,66904
2025-10-17,313.20001220703125,313.20001220703125,318.79998779296875,311.3999938964844,318.79998779296875,92492
2025-10-20,314.95001220703125,314.95001220703125,317.0,308.45001220703125,313.6000061035156,75567
2025-10-21,314.1000061035156,314.1000061035156,318.1499938964844,312.04998779296875,316.8999938964844,28863
2025-10-23,312.6499938964844,312.6499938964844,318.8500061035156,311.1000061035156,315.8999938964844,73756
