Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KAUSHALYA.NS,KAUSHALYA.NS,KAUSHALYA.NS,KAUSHALYA.NS,KAUSHALYA.NS,KAUSHALYA.NS
Date,,,,,,
2022-10-10,495.0,495.0,500.0,420.0,470.0,816
2022-10-11,490.0,490.0,530.0,485.0,530.0,587
2022-10-12,480.0,480.0,510.0,465.0,465.0,585
2022-10-13,480.0,480.0,490.0,465.0,490.0,232
2022-10-14,465.0,465.0,495.0,455.0,480.0,348
2022-10-17,460.0,460.0,485.0,435.0,475.0,319
2022-10-18,465.0,465.0,480.0,440.0,465.0,535
2022-10-19,460.0,460.0,470.0,455.0,465.0,228
2022-10-20,470.0,470.0,480.0,450.0,480.0,376
2022-10-21,455.0,455.0,475.0,450.0,450.0,448
2022-10-24,460.0,460.0,485.0,445.0,445.0,125
2022-10-25,460.0,460.0,480.0,445.0,480.0,220
2022-10-27,450.0,450.0,465.0,445.0,445.0,200
2022-10-28,450.0,450.0,470.0,430.0,460.0,315
2022-10-31,445.0,445.0,465.0,415.0,415.0,479
2022-11-01,465.0,465.0,470.0,425.0,425.0,516
2022-11-02,460.0,460.0,475.0,455.0,475.0,458
2022-11-03,465.0,465.0,470.0,450.0,465.0,200
2022-11-04,455.0,455.0,470.0,450.0,470.0,104
2022-11-07,470.0,470.0,475.0,455.0,455.0,397
2022-11-09,460.0,460.0,480.0,440.0,440.0,317
2022-11-10,460.0,460.0,465.0,450.0,465.0,181
2022-11-11,450.0,450.0,465.0,450.0,450.0,114
2022-11-14,460.0,460.0,465.0,430.0,465.0,280
2022-11-15,450.0,450.0,465.0,445.0,465.0,392
2022-11-16,450.0,450.0,470.0,440.0,470.0,201
2022-11-17,455.0,455.0,460.0,400.0,460.0,535
2022-11-18,460.0,460.0,465.0,435.0,465.0,550
2022-11-21,435.0,435.0,485.0,415.0,485.0,263
2022-11-22,450.0,450.0,485.0,440.0,485.0,410
2022-11-23,435.0,435.0,445.0,435.0,445.0,166
2022-11-24,465.0,465.0,475.0,430.0,430.0,440
2022-11-25,460.0,460.0,470.0,445.0,470.0,214
2022-11-28,445.0,445.0,470.0,440.0,460.0,385
2022-11-29,460.0,460.0,470.0,445.0,460.0,418
2022-11-30,450.0,450.0,465.0,450.0,465.0,165
2022-12-01,460.0,460.0,470.0,455.0,460.0,137
2022-12-02,470.0,470.0,475.0,465.0,475.0,784
2022-12-05,560.0,560.0,560.0,470.0,480.0,3142
2022-12-06,670.0,670.0,670.0,620.0,625.0,23717
2022-12-07,605.0,605.0,695.0,605.0,675.0,4101
2022-12-08,555.0,555.0,600.0,545.0,550.0,4103
2022-12-09,555.0,555.0,580.0,515.0,580.0,2632
2022-12-12,540.0,540.0,570.0,530.0,555.0,909
2022-12-13,535.0,535.0,565.0,520.0,565.0,1125
2022-12-14,560.0,560.0,560.0,535.0,545.0,1583
2022-12-15,545.0,545.0,575.0,540.0,575.0,1163
2022-12-16,560.0,560.0,570.0,540.0,540.0,958
2022-12-19,550.0,550.0,580.0,550.0,580.0,310
2022-12-20,535.0,535.0,565.0,530.0,565.0,1132
2022-12-21,515.0,515.0,550.0,510.0,550.0,656
2022-12-22,490.0,490.0,515.0,490.0,500.0,414
2022-12-23,470.0,470.0,485.0,470.0,470.0,202
2022-12-26,480.0,480.0,485.0,450.0,450.0,894
2022-12-27,490.0,490.0,500.0,470.0,495.0,726
2022-12-28,490.0,490.0,505.0,485.0,485.0,294
2022-12-29,500.0,500.0,505.0,485.0,500.0,408
2022-12-30,505.0,505.0,525.0,495.0,525.0,505
2023-01-02,500.0,500.0,525.0,495.0,525.0,347
2023-01-03,500.0,500.0,515.0,495.0,500.0,269
2023-01-04,500.0,500.0,510.0,495.0,510.0,280
2023-01-05,495.0,495.0,500.0,490.0,495.0,350
2023-01-06,485.0,485.0,515.0,475.0,505.0,530
2023-01-09,485.0,485.0,500.0,475.0,485.0,133
2023-01-10,485.0,485.0,495.0,460.0,480.0,505
2023-01-11,475.0,475.0,490.0,470.0,490.0,717
2023-01-12,475.0,475.0,490.0,470.0,475.0,284
2023-01-13,475.0,475.0,485.0,470.0,475.0,184
2023-01-16,470.0,470.0,495.0,465.0,495.0,637
2023-01-17,490.0,490.0,490.0,460.0,470.0,718
2023-01-18,490.0,490.0,510.0,485.0,510.0,511
2023-01-19,490.0,490.0,505.0,485.0,505.0,100
2023-01-20,475.0,475.0,495.0,475.0,485.0,315
2023-01-23,475.0,475.0,490.0,475.0,490.0,187
2023-01-24,475.0,475.0,490.0,465.0,475.0,159
2023-01-25,465.0,465.0,485.0,465.0,485.0,132
2023-01-27,450.0,450.0,480.0,445.0,480.0,374
2023-01-30,430.0,430.0,460.0,430.0,435.0,805
2023-01-31,445.0,445.0,450.0,430.0,430.0,416
2023-02-01,450.0,450.0,465.0,440.0,445.0,505
2023-02-02,460.0,460.0,465.0,445.0,450.0,283
2023-02-03,475.0,475.0,480.0,445.0,460.0,305
2023-02-06,455.0,455.0,495.0,455.0,495.0,420
2023-02-07,445.0,445.0,465.0,445.0,465.0,312
2023-02-08,450.0,450.0,480.0,405.0,480.0,458
2023-02-09,445.0,445.0,465.0,420.0,465.0,704
2023-02-10,440.0,440.0,470.0,430.0,470.0,219
