Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MACPOWER.NS,MACPOWER.NS,MACPOWER.NS,MACPOWER.NS,MACPOWER.NS,MACPOWER.NS
Date,,,,,,
2022-10-10,366.2196044921875,369.1000061035156,373.29998779296875,356.75,365.8999938964844,33132
2022-10-11,362.10198974609375,364.95001220703125,375.0,361.1499938964844,369.95001220703125,19446
2022-10-12,357.8851623535156,360.70001220703125,368.0,358.0,358.1000061035156,17663
2022-10-13,377.0841064453125,380.04998779296875,408.0,364.04998779296875,369.79998779296875,217103
2022-10-14,374.9508972167969,377.8999938964844,393.45001220703125,367.6000061035156,385.54998779296875,54058
2022-10-17,383.6822204589844,386.70001220703125,392.0,380.0,392.0,35255
2022-10-18,377.97711181640625,380.95001220703125,398.45001220703125,376.0,390.0,100228
2022-10-19,379.6142272949219,382.6000061035156,390.0,376.04998779296875,390.0,27405
2022-10-20,374.7524719238281,377.70001220703125,386.8500061035156,376.0,380.0,63257
2022-10-21,369.8907165527344,372.79998779296875,389.5,370.1499938964844,377.0,78396
2022-10-24,389.0896911621094,392.1499938964844,405.75,374.95001220703125,382.0,43271
2022-10-25,379.6638488769531,382.6499938964844,397.0,380.8500061035156,395.8500061035156,73035
2022-10-27,381.8466796875,384.8500061035156,394.0,382.1000061035156,382.1000061035156,50929
2022-10-28,374.7524719238281,377.70001220703125,392.5,376.3999938964844,388.0,43715
2022-10-31,403.3773193359375,406.54998779296875,418.75,381.3999938964844,381.8999938964844,162864
2022-11-01,394.2491149902344,397.3500061035156,414.0,390.0,414.0,71254
2022-11-02,399.0613098144531,402.20001220703125,408.20001220703125,392.8500061035156,398.95001220703125,54106
2022-11-03,396.2335205078125,399.3500061035156,405.3999938964844,396.0,405.3999938964844,20561
2022-11-04,399.4085388183594,402.54998779296875,404.0,395.1499938964844,395.1499938964844,23320
2022-11-07,405.3121032714844,408.5,419.3999938964844,403.6000061035156,412.0,79105
2022-11-09,371.8254699707031,374.75,414.3999938964844,372.04998779296875,414.3999938964844,70597
2022-11-10,334.5685729980469,337.20001220703125,379.29998779296875,330.1499938964844,374.5,131340
2022-11-11,340.5216979980469,343.20001220703125,354.8500061035156,337.54998779296875,354.8500061035156,56367
2022-11-14,344.7385559082031,347.45001220703125,350.0,335.0,343.0,30609
2022-11-15,354.01556396484375,356.79998779296875,359.95001220703125,351.70001220703125,358.3999938964844,24010
2022-11-16,355.10699462890625,357.8999938964844,369.0,355.1000061035156,368.0,26032
2022-11-17,354.6108703613281,357.3999938964844,372.0,353.54998779296875,360.0,38714
2022-11-18,346.3260498046875,349.04998779296875,360.3999938964844,343.1499938964844,360.3999938964844,15902
2022-11-21,334.5189208984375,337.1499938964844,349.0,330.20001220703125,349.0,21748
2022-11-22,350.0467834472656,352.79998779296875,356.0,338.20001220703125,341.25,34484
2022-11-23,350.7413330078125,353.5,368.0,350.0,368.0,25710
2022-11-24,343.7463684082031,346.45001220703125,357.8999938964844,344.8500061035156,356.0,22433
2022-11-25,346.9213562011719,349.6499938964844,355.54998779296875,346.6499938964844,350.0,17387
2022-11-28,343.15106201171875,345.8500061035156,352.45001220703125,344.0,349.95001220703125,16741
2022-11-29,342.1588439941406,344.8500061035156,349.3500061035156,342.95001220703125,349.3500061035156,12152
2022-11-30,343.5975341796875,346.29998779296875,352.0,344.29998779296875,349.5,13252
2022-12-01,343.44866943359375,346.1499938964844,350.95001220703125,343.1000061035156,346.20001220703125,10021
2022-12-02,346.8221435546875,349.54998779296875,356.1499938964844,345.04998779296875,346.20001220703125,10915
2022-12-05,346.0780029296875,348.79998779296875,357.45001220703125,348.0,349.54998779296875,13880
2022-12-06,346.1772155761719,348.8999938964844,353.3999938964844,345.1000061035156,347.54998779296875,11931
2022-12-07,345.8299255371094,348.54998779296875,350.8999938964844,347.20001220703125,349.95001220703125,8221
2022-12-08,345.53228759765625,348.25,355.0,346.0,355.0,10405
2022-12-09,341.81158447265625,344.5,354.95001220703125,342.1499938964844,349.0,16486
2022-12-12,322.5629577636719,325.1000061035156,344.95001220703125,321.3500061035156,344.95001220703125,44225
2022-12-13,322.31494140625,324.8500061035156,335.0,323.70001220703125,331.75,24586
2022-12-14,320.9258728027344,323.45001220703125,330.0,322.6000061035156,327.75,12511
2022-12-15,323.30712890625,325.8500061035156,328.45001220703125,323.0,328.45001220703125,11618
2022-12-16,319.2886962890625,321.79998779296875,327.0,320.0,325.8500061035156,12534
2022-12-19,336.9994201660156,339.6499938964844,353.95001220703125,331.5,334.0,42224
2022-12-20,349.5506591796875,352.29998779296875,354.29998779296875,340.04998779296875,343.95001220703125,16862
2022-12-21,331.49273681640625,334.1000061035156,359.0,328.1000061035156,356.79998779296875,28011
2022-12-22,325.53955078125,328.1000061035156,338.45001220703125,316.04998779296875,331.0,34590
2022-12-23,298.55181884765625,300.8999938964844,326.6499938964844,295.54998779296875,321.1499938964844,53599
2022-12-26,327.07745361328125,329.6499938964844,361.04998779296875,300.04998779296875,307.75,109867
2022-12-27,332.4353332519531,335.04998779296875,341.0,325.0,334.29998779296875,23553
2022-12-28,334.71734619140625,337.3500061035156,345.0,333.79998779296875,339.95001220703125,17017
2022-12-29,330.79815673828125,333.3999938964844,343.3999938964844,331.1000061035156,338.0,14284
2022-12-30,334.4693298339844,337.1000061035156,341.70001220703125,333.5,334.95001220703125,7954
2023-01-02,333.5763244628906,336.20001220703125,342.25,328.0,342.1499938964844,19534
2023-01-03,327.3751525878906,329.95001220703125,341.25,329.0,341.25,14706
2023-01-04,323.1086730957031,325.6499938964844,331.79998779296875,323.54998779296875,331.0,11320
2023-01-05,324.3489074707031,326.8999938964844,329.79998779296875,320.1499938964844,327.5,27624
2023-01-06,321.17388916015625,323.70001220703125,326.75,319.04998779296875,321.0,11699
2023-01-09,321.372314453125,323.8999938964844,327.3999938964844,320.0,324.29998779296875,8552
2023-01-10,318.0980529785156,320.6000061035156,325.0,315.0,324.8500061035156,17754
2023-01-11,320.2808837890625,322.79998779296875,331.25,320.20001220703125,320.20001220703125,7935
2023-01-12,319.9832458496094,322.5,329.45001220703125,321.54998779296875,323.3999938964844,12365
2023-01-13,327.6231689453125,330.20001220703125,331.79998779296875,323.8999938964844,323.8999938964844,7686
2023-01-16,325.9860534667969,328.54998779296875,338.8500061035156,327.1499938964844,338.8500061035156,4756
2023-01-17,315.96484375,318.45001220703125,330.0,316.29998779296875,322.1499938964844,10419
2023-01-18,321.372314453125,323.8999938964844,326.8999938964844,319.0,319.0,3820
2023-01-19,318.14764404296875,320.6499938964844,326.75,318.29998779296875,324.0,4471
2023-01-20,322.8606262207031,325.3999938964844,329.95001220703125,321.1000061035156,329.95001220703125,6571
2023-01-23,312.4921569824219,314.95001220703125,332.0,311.8500061035156,332.0,18642
2023-01-24,306.4893798828125,308.8999938964844,319.70001220703125,305.0,319.70001220703125,9472
2023-01-25,301.87567138671875,304.25,310.3999938964844,300.20001220703125,310.0,8401
2023-01-27,311.6983947753906,314.1499938964844,319.79998779296875,304.0,307.1000061035156,17873
