Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SADBHIN.NS,SADBHIN.NS,SADBHIN.NS,SADBHIN.NS,SADBHIN.NS,SADBHIN.NS
Date,,,,,,
2022-10-25,6.449999809265137,6.449999809265137,6.550000190734863,6.25,6.550000190734863,243157
2022-10-27,6.349999904632568,6.349999904632568,6.550000190734863,6.300000190734863,6.550000190734863,131595
2022-10-28,6.449999809265137,6.449999809265137,6.5,6.349999904632568,6.449999809265137,123092
2022-10-31,6.349999904632568,6.349999904632568,6.550000190734863,6.150000095367432,6.5,203419
2022-11-01,6.349999904632568,6.349999904632568,6.449999809265137,6.300000190734863,6.400000095367432,164718
2022-11-02,6.349999904632568,6.349999904632568,6.449999809265137,6.25,6.300000190734863,190520
2022-11-03,6.349999904632568,6.349999904632568,6.400000095367432,6.25,6.349999904632568,97184
2022-11-04,6.300000190734863,6.300000190734863,6.400000095367432,6.099999904632568,6.349999904632568,187224
2022-11-07,6.25,6.25,6.349999904632568,6.199999809265137,6.349999904632568,170683
2022-11-09,6.099999904632568,6.099999904632568,6.400000095367432,5.849999904632568,6.400000095367432,624468
2022-11-10,6.050000190734863,6.050000190734863,6.199999809265137,5.949999809265137,6.099999904632568,359226
2022-11-11,6.050000190734863,6.050000190734863,6.150000095367432,5.949999809265137,6.150000095367432,198382
2022-11-14,6.050000190734863,6.050000190734863,6.150000095367432,5.949999809265137,6.150000095367432,279763
2022-11-15,6.050000190734863,6.050000190734863,6.150000095367432,6.0,6.050000190734863,191961
2022-11-16,5.449999809265137,5.449999809265137,6.099999904632568,5.449999809265137,6.099999904632568,2727049
2022-11-17,5.449999809265137,5.449999809265137,5.599999904632568,5.349999904632568,5.5,384406
2022-11-18,5.449999809265137,5.449999809265137,5.599999904632568,5.400000095367432,5.5,265889
2022-11-21,5.400000095367432,5.400000095367432,5.849999904632568,5.25,5.400000095367432,463295
2022-11-22,5.599999904632568,5.599999904632568,5.800000190734863,5.400000095367432,5.449999809265137,1245459
2022-11-23,6.150000095367432,6.150000095367432,6.150000095367432,5.599999904632568,5.699999809265137,2574632
2022-11-24,5.849999904632568,5.849999904632568,6.150000095367432,5.800000190734863,6.150000095367432,853515
2022-11-25,5.650000095367432,5.650000095367432,6.0,5.599999904632568,5.900000095367432,488291
2022-11-28,5.650000095367432,5.650000095367432,5.849999904632568,5.599999904632568,5.650000095367432,345293
2022-11-29,5.5,5.5,5.849999904632568,5.400000095367432,5.75,1542000
2022-11-30,5.349999904632568,5.349999904632568,5.650000095367432,5.300000190734863,5.650000095367432,767471
2022-12-01,5.650000095367432,5.650000095367432,5.849999904632568,5.400000095367432,5.400000095367432,1434514
2022-12-02,5.800000190734863,5.800000190734863,5.949999809265137,5.650000095367432,5.800000190734863,1460533
2022-12-05,6.349999904632568,6.349999904632568,6.349999904632568,5.849999904632568,5.949999809265137,1838915
2022-12-06,6.949999809265137,6.949999809265137,6.949999809265137,6.550000190734863,6.599999904632568,2775008
2022-12-07,6.699999809265137,6.699999809265137,7.25,6.650000095367432,7.099999904632568,2413537
2022-12-08,6.800000190734863,6.800000190734863,6.900000095367432,6.550000190734863,6.699999809265137,739253
2022-12-09,6.599999904632568,6.599999904632568,6.949999809265137,6.550000190734863,6.900000095367432,571690
2022-12-12,6.400000095367432,6.400000095367432,6.699999809265137,6.400000095367432,6.699999809265137,478104
2022-12-13,6.400000095367432,6.400000095367432,6.650000095367432,6.349999904632568,6.400000095367432,864021
2022-12-14,6.449999809265137,6.449999809265137,6.5,6.199999809265137,6.349999904632568,757780
2022-12-15,6.349999904632568,6.349999904632568,6.650000095367432,6.25,6.599999904632568,366083
2022-12-16,6.25,6.25,6.449999809265137,6.199999809265137,6.300000190734863,247980
2022-12-19,6.25,6.25,6.449999809265137,6.050000190734863,6.349999904632568,446131
2022-12-20,6.150000095367432,6.150000095367432,6.400000095367432,6.0,6.150000095367432,217382
2022-12-21,6.0,6.0,6.25,5.949999809265137,6.150000095367432,217411
2022-12-22,5.699999809265137,5.699999809265137,6.099999904632568,5.699999809265137,6.099999904632568,531498
2022-12-23,5.449999809265137,5.449999809265137,5.699999809265137,5.449999809265137,5.5,141310
2022-12-26,5.599999904632568,5.599999904632568,5.699999809265137,5.199999809265137,5.449999809265137,551148
2022-12-27,5.849999904632568,5.849999904632568,5.849999904632568,5.75,5.800000190734863,166444
2022-12-28,6.099999904632568,6.099999904632568,6.099999904632568,5.949999809265137,6.0,246303
2022-12-29,5.900000095367432,5.900000095367432,6.199999809265137,5.849999904632568,6.199999809265137,209611
2022-12-30,6.050000190734863,6.050000190734863,6.150000095367432,5.900000095367432,6.050000190734863,195027
2023-01-02,6.0,6.0,6.199999809265137,5.800000190734863,6.199999809265137,130016
2023-01-03,6.050000190734863,6.050000190734863,6.150000095367432,6.0,6.150000095367432,174491
2023-01-04,5.949999809265137,5.949999809265137,6.099999904632568,5.900000095367432,6.099999904632568,131659
2023-01-05,5.900000095367432,5.900000095367432,6.099999904632568,5.849999904632568,6.099999904632568,119019
2023-01-06,5.75,5.75,6.0,5.699999809265137,5.949999809265137,249876
2023-01-09,5.849999904632568,5.849999904632568,5.900000095367432,5.75,5.900000095367432,119665
2023-01-10,5.800000190734863,5.800000190734863,5.949999809265137,5.75,5.849999904632568,80628
2023-01-11,5.699999809265137,5.699999809265137,5.900000095367432,5.650000095367432,5.900000095367432,210051
2023-01-12,5.699999809265137,5.699999809265137,5.800000190734863,5.550000190734863,5.599999904632568,122758
2023-01-13,5.650000095367432,5.650000095367432,5.849999904632568,5.599999904632568,5.849999904632568,106290
2023-01-16,5.699999809265137,5.699999809265137,5.800000190734863,5.599999904632568,5.800000190734863,80480
2023-01-17,5.699999809265137,5.699999809265137,5.849999904632568,5.599999904632568,5.849999904632568,104017
2023-01-18,5.650000095367432,5.650000095367432,5.849999904632568,5.599999904632568,5.849999904632568,213696
2023-01-19,5.650000095367432,5.650000095367432,5.699999809265137,5.550000190734863,5.599999904632568,80324
2023-01-20,5.599999904632568,5.599999904632568,5.800000190734863,5.550000190734863,5.599999904632568,108254
2023-01-23,5.599999904632568,5.599999904632568,5.75,5.5,5.599999904632568,105771
2023-01-24,5.599999904632568,5.599999904632568,5.699999809265137,5.550000190734863,5.650000095367432,78256
2023-01-25,5.5,5.5,5.699999809265137,5.349999904632568,5.699999809265137,163531
2023-01-27,5.349999904632568,5.349999904632568,5.5,5.25,5.449999809265137,245037
2023-01-30,5.349999904632568,5.349999904632568,5.550000190734863,5.199999809265137,5.5,176123
2023-01-31,5.400000095367432,5.400000095367432,5.550000190734863,5.199999809265137,5.550000190734863,150659
2023-02-01,5.550000190734863,5.550000190734863,5.650000095367432,5.400000095367432,5.400000095367432,350097
2023-02-02,5.449999809265137,5.449999809265137,5.599999904632568,5.349999904632568,5.599999904632568,298959
2023-02-03,5.25,5.25,5.449999809265137,5.199999809265137,5.449999809265137,307453
2023-02-06,5.199999809265137,5.199999809265137,5.300000190734863,5.150000095367432,5.300000190734863,180297
2023-02-07,5.0,5.0,5.300000190734863,4.949999809265137,5.300000190734863,328790
2023-02-08,4.699999809265137,4.699999809265137,5.0,4.599999904632568,5.0,436353
2023-02-09,4.949999809265137,4.949999809265137,5.099999904632568,4.699999809265137,4.949999809265137,208063
2023-02-10,4.900000095367432,4.900000095367432,5.050000190734863,4.75,5.050000190734863,122224
2023-02-13,4.699999809265137,4.699999809265137,5.0,4.650000095367432,5.0,186472
2023-02-14,4.449999809265137,4.449999809265137,4.849999904632568,4.400000095367432,4.849999904632568,369306
2023-02-15,4.550000190734863,4.550000190734863,4.599999904632568,4.349999904632568,4.550000190734863,96797
2023-02-16,4.349999904632568,4.349999904632568,4.650000095367432,4.25,4.550000190734863,208869
2023-02-17,4.449999809265137,4.449999809265137,4.5,4.199999809265137,4.449999809265137,180899
2023-02-20,4.349999904632568,4.349999904632568,4.599999904632568,4.0,4.599999904632568,370856
2023-02-21,4.400000095367432,4.400000095367432,4.550000190734863,4.150000095367432,4.400000095367432,248826
2023-02-22,4.400000095367432,4.400000095367432,4.5,4.25,4.5,95443
2023-02-23,4.099999904632568,4.099999904632568,4.400000095367432,4.050000190734863,4.400000095367432,129013
2023-02-24,3.950000047683716,3.950000047683716,4.199999809265137,3.950000047683716,4.099999904632568,175687
2023-02-27,3.549999952316284,3.549999952316284,4.099999904632568,3.549999952316284,4.099999904632568,863022
2023-02-28,3.700000047683716,3.700000047683716,3.700000047683716,3.549999952316284,3.549999952316284,222373
2023-03-01,3.799999952316284,3.799999952316284,3.8499999046325684,3.5999999046325684,3.8499999046325684,222759
2023-03-02,3.8499999046325684,3.8499999046325684,3.950000047683716,3.6500000953674316,3.8499999046325684,182765
2023-03-03,4.0,4.0,4.0,3.9000000953674316,3.950000047683716,128532
2023-03-06,3.9000000953674316,3.9000000953674316,4.150000095367432,3.8499999046325684,4.150000095367432,266561
2023-03-08,3.75,3.75,3.950000047683716,3.700000047683716,3.9000000953674316,258603
2023-03-09,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.700000047683716,3.75,1993449
2023-03-10,4.0,4.0,4.050000190734863,3.9000000953674316,3.950000047683716,301644
2023-03-13,3.799999952316284,3.799999952316284,4.199999809265137,3.799999952316284,4.099999904632568,973879
2023-03-14,3.6500000953674316,3.6500000953674316,3.9000000953674316,3.6500000953674316,3.9000000953674316,252821
2023-03-15,3.75,3.75,3.799999952316284,3.700000047683716,3.75,75105
2023-03-16,3.700000047683716,3.700000047683716,3.9000000953674316,3.5999999046325684,3.75,274683
2023-03-17,3.6500000953674316,3.6500000953674316,3.8499999046325684,3.5999999046325684,3.75,262577
2023-03-20,3.5,3.5,3.700000047683716,3.5,3.6500000953674316,429932
2023-03-21,3.5,3.5,3.5999999046325684,3.450000047683716,3.450000047683716,276131
2023-03-22,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.549999952316284,3.5999999046325684,156500
2023-03-23,3.5,3.5,3.700000047683716,3.5,3.6500000953674316,255814
2023-03-24,3.3499999046325684,3.3499999046325684,3.549999952316284,3.3499999046325684,3.549999952316284,299083
2023-03-27,3.200000047683716,3.200000047683716,3.450000047683716,3.200000047683716,3.450000047683716,391679
2023-03-28,3.049999952316284,3.049999952316284,3.1500000953674316,3.049999952316284,3.1500000953674316,283810
2023-03-29,2.950000047683716,2.950000047683716,3.049999952316284,2.9000000953674316,2.950000047683716,383679
2023-03-31,3.0,3.0,3.049999952316284,2.8499999046325684,2.950000047683716,290306
2023-04-03,3.1500000953674316,3.1500000953674316,3.1500000953674316,3.0,3.1500000953674316,112972
2023-04-05,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,19379
2023-04-06,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,13707
2023-04-10,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,48026
2023-04-11,3.75,3.75,3.75,3.700000047683716,3.75,114332
2023-04-12,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.75,3.9000000953674316,486469
2023-04-13,3.799999952316284,3.799999952316284,3.9000000953674316,3.75,3.9000000953674316,322036
2023-04-17,3.75,3.75,3.799999952316284,3.6500000953674316,3.799999952316284,94148
2023-04-18,3.700000047683716,3.700000047683716,3.75,3.5999999046325684,3.75,158859
2023-04-19,3.75,3.75,3.799999952316284,3.6500000953674316,3.700000047683716,124151
2023-04-20,3.6500000953674316,3.6500000953674316,3.75,3.6500000953674316,3.700000047683716,58044
2023-04-21,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.6500000953674316,50725
2023-04-24,3.700000047683716,3.700000047683716,3.799999952316284,3.6500000953674316,3.799999952316284,22831
2023-04-25,3.75,3.75,3.799999952316284,3.6500000953674316,3.700000047683716,84262
2023-04-26,3.75,3.75,3.8499999046325684,3.700000047683716,3.75,164941
2023-04-27,3.75,3.75,3.799999952316284,3.700000047683716,3.75,62385
2023-04-28,3.700000047683716,3.700000047683716,3.799999952316284,3.5999999046325684,3.75,166695
2023-05-02,3.700000047683716,3.700000047683716,3.799999952316284,3.6500000953674316,3.75,78791
2023-05-03,3.700000047683716,3.700000047683716,3.75,3.700000047683716,3.75,33239
2023-05-04,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.700000047683716,3.75,247754
2023-05-05,3.950000047683716,3.950000047683716,4.0,3.9000000953674316,4.0,201885
2023-05-08,3.799999952316284,3.799999952316284,4.0,3.75,4.0,177831
2023-05-09,3.799999952316284,3.799999952316284,3.8499999046325684,3.75,3.75,77257
2023-05-10,3.700000047683716,3.700000047683716,3.799999952316284,3.6500000953674316,3.799999952316284,99163
2023-05-11,3.75,3.75,3.8499999046325684,3.700000047683716,3.75,80890
2023-05-12,3.75,3.75,3.799999952316284,3.700000047683716,3.75,55909
2023-05-15,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.75,152002
2023-05-16,3.75,3.75,3.799999952316284,3.700000047683716,3.75,67660
2023-05-17,3.700000047683716,3.700000047683716,3.799999952316284,3.6500000953674316,3.799999952316284,141567
2023-05-18,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.75,51750
2023-05-19,3.6500000953674316,3.6500000953674316,3.75,3.6500000953674316,3.700000047683716,73315
2023-05-22,3.6500000953674316,3.6500000953674316,3.700000047683716,3.549999952316284,3.6500000953674316,76352
2023-05-23,3.5999999046325684,3.5999999046325684,3.6500000953674316,3.549999952316284,3.6500000953674316,88780
2023-05-24,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.549999952316284,3.6500000953674316,55206
2023-05-25,3.6500000953674316,3.6500000953674316,3.700000047683716,3.5999999046325684,3.6500000953674316,64220
2023-05-26,3.6500000953674316,3.6500000953674316,3.700000047683716,3.5999999046325684,3.700000047683716,110927
2023-05-29,3.5999999046325684,3.5999999046325684,3.700000047683716,3.549999952316284,3.6500000953674316,245578
2023-05-30,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.75,173105
2023-05-31,3.6500000953674316,3.6500000953674316,3.700000047683716,3.6500000953674316,3.700000047683716,75917
2023-06-01,3.6500000953674316,3.6500000953674316,3.700000047683716,3.5,3.700000047683716,143231
2023-06-02,3.75,3.75,3.799999952316284,3.5999999046325684,3.6500000953674316,204979
2023-06-05,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.75,3.799999952316284,445920
2023-06-06,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,52835
2023-06-07,4.25,4.25,4.25,4.099999904632568,4.25,81777
2023-06-08,4.449999809265137,4.449999809265137,4.449999809265137,4.449999809265137,4.449999809265137,82759
2023-06-09,4.449999809265137,4.449999809265137,4.650000095367432,4.25,4.650000095367432,241147
2023-06-12,4.300000190734863,4.300000190734863,4.5,4.25,4.300000190734863,126899
2023-06-13,4.349999904632568,4.349999904632568,4.449999809265137,4.099999904632568,4.099999904632568,114594
2023-06-14,4.349999904632568,4.349999904632568,4.449999809265137,4.25,4.449999809265137,72533
2023-06-15,4.199999809265137,4.199999809265137,4.300000190734863,4.150000095367432,4.300000190734863,178484
2023-06-16,4.349999904632568,4.349999904632568,4.349999904632568,4.150000095367432,4.300000190734863,116544
2023-06-19,4.349999904632568,4.349999904632568,4.449999809265137,4.199999809265137,4.349999904632568,50328
2023-06-20,4.150000095367432,4.150000095367432,4.349999904632568,4.150000095367432,4.349999904632568,122292
2023-06-21,4.150000095367432,4.150000095367432,4.300000190734863,4.150000095367432,4.25,37263
2023-06-22,4.050000190734863,4.050000190734863,4.199999809265137,3.950000047683716,4.150000095367432,141959
2023-06-23,4.0,4.0,4.150000095367432,3.950000047683716,4.150000095367432,38506
2023-06-26,4.050000190734863,4.050000190734863,4.099999904632568,4.0,4.0,69334
2023-06-27,4.050000190734863,4.050000190734863,4.150000095367432,3.950000047683716,4.150000095367432,54850
2023-06-28,3.9000000953674316,3.9000000953674316,4.099999904632568,3.8499999046325684,4.099999904632568,149411
2023-06-30,3.8499999046325684,3.8499999046325684,3.950000047683716,3.799999952316284,3.9000000953674316,161740
2023-07-03,3.700000047683716,3.700000047683716,3.9000000953674316,3.700000047683716,3.8499999046325684,144823
2023-07-04,3.75,3.75,3.8499999046325684,3.700000047683716,3.700000047683716,252094
2023-07-05,3.700000047683716,3.700000047683716,3.799999952316284,3.6500000953674316,3.75,369862
2023-07-06,3.6500000953674316,3.6500000953674316,3.75,3.5999999046325684,3.75,253734
2023-07-07,3.75,3.75,3.75,3.6500000953674316,3.6500000953674316,114479
2023-07-10,3.700000047683716,3.700000047683716,3.799999952316284,3.700000047683716,3.799999952316284,74551
2023-07-11,3.700000047683716,3.700000047683716,3.75,3.700000047683716,3.75,198734
2023-07-12,3.700000047683716,3.700000047683716,3.75,3.5999999046325684,3.700000047683716,140185
2023-07-13,3.700000047683716,3.700000047683716,3.75,3.5999999046325684,3.700000047683716,63321
2023-07-14,3.75,3.75,3.75,3.5999999046325684,3.75,102847
2023-07-17,3.700000047683716,3.700000047683716,3.799999952316284,3.6500000953674316,3.75,106324
2023-07-18,3.6500000953674316,3.6500000953674316,3.75,3.6500000953674316,3.75,62065
2023-07-19,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.700000047683716,228471
2023-07-20,3.75,3.75,3.799999952316284,3.6500000953674316,3.75,55884
2023-07-21,3.75,3.75,3.799999952316284,3.5999999046325684,3.799999952316284,212658
2023-07-24,3.6500000953674316,3.6500000953674316,3.75,3.6500000953674316,3.75,62429
2023-07-25,3.6500000953674316,3.6500000953674316,3.75,3.6500000953674316,3.700000047683716,93245
2023-07-26,3.75,3.75,3.75,3.6500000953674316,3.75,62166
2023-07-27,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.75,63719
2023-07-28,3.75,3.75,3.75,3.5999999046325684,3.6500000953674316,189865
2023-07-31,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.75,115287
2023-08-01,3.75,3.75,3.75,3.6500000953674316,3.6500000953674316,69771
2023-08-02,3.75,3.75,3.75,3.6500000953674316,3.75,160549
2023-08-03,3.75,3.75,3.75,3.700000047683716,3.75,166980
2023-08-04,3.700000047683716,3.700000047683716,3.75,3.6500000953674316,3.75,92507
2023-08-07,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.5999999046325684,3.700000047683716,287795
2023-08-08,3.8499999046325684,3.8499999046325684,3.950000047683716,3.700000047683716,3.950000047683716,221264
2023-08-09,3.8499999046325684,3.8499999046325684,3.9000000953674316,3.75,3.8499999046325684,97917
2023-08-10,3.9000000953674316,3.9000000953674316,3.950000047683716,3.6500000953674316,3.799999952316284,131944
2023-08-11,4.050000190734863,4.050000190734863,4.050000190734863,3.799999952316284,3.799999952316284,276209
2023-08-14,4.25,4.25,4.25,3.9000000953674316,4.150000095367432,394465
2023-08-16,4.449999809265137,4.449999809265137,4.449999809265137,4.050000190734863,4.199999809265137,453551
2023-08-17,4.650000095367432,4.650000095367432,4.650000095367432,4.449999809265137,4.599999904632568,296290
2023-08-18,4.550000190734863,4.550000190734863,4.650000095367432,4.550000190734863,4.550000190734863,88547
2023-08-21,4.449999809265137,4.449999809265137,4.449999809265137,4.449999809265137,4.449999809265137,29636
2023-08-22,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,30522
2023-08-23,4.349999904632568,4.349999904632568,4.349999904632568,4.349999904632568,4.349999904632568,67394
2023-08-24,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,24491
2023-08-25,4.25,4.25,4.25,4.25,4.25,30629
2023-08-28,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,6547
2023-08-29,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,20015
2023-08-30,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,51033
2023-08-31,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,9149
2023-09-01,4.0,4.0,4.0,4.0,4.0,28489
2023-09-04,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,42575
2023-09-05,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,42510
2023-09-06,3.8499999046325684,3.8499999046325684,3.9000000953674316,3.8499999046325684,3.8499999046325684,67320
2023-09-07,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.799999952316284,3.8499999046325684,62674
2023-09-08,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.8499999046325684,3.9000000953674316,81825
2023-09-11,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,23974
2023-09-12,3.9000000953674316,3.9000000953674316,3.950000047683716,3.9000000953674316,3.9000000953674316,67486
