Price,Adj Close,Close,High,Low,Open,Volume
Ticker,THEJO.NS,THEJO.NS,THEJO.NS,THEJO.NS,THEJO.NS,THEJO.NS
Date,,,,,,
2022-10-25,1058.812255859375,1064.0,1069.0,1040.0,1040.0,1350
2022-10-27,1052.841552734375,1058.0,1075.0,1052.25,1074.949951171875,1650
2022-10-28,1042.8902587890625,1048.0,1059.0,1045.0,1059.0,1500
2022-10-31,1024.8785400390625,1029.9000244140625,1035.0,935.25,1010.0,6150
2022-11-01,1012.2404174804688,1017.2000122070312,1058.75,1002.8499755859375,1002.8499755859375,4500
2022-11-02,1077.0230712890625,1082.300048828125,1099.0,1039.5,1039.5,1800
2022-11-03,1154.6427001953125,1160.300048828125,1167.800048828125,1031.5,1031.5,10200
2022-11-04,1153.896484375,1159.550048828125,1195.0,1159.050048828125,1165.0,4950
2022-11-07,1156.5831298828125,1162.25,1180.0,1162.25,1169.0,1350
2022-11-09,1231.9140625,1237.949951171875,1248.0,1187.9000244140625,1187.9000244140625,10950
2022-11-10,1218.0321044921875,1224.0,1233.8499755859375,1201.1500244140625,1233.8499755859375,750
2022-11-11,1212.95703125,1218.9000244140625,1230.0,1181.0999755859375,1207.25,3900
2022-11-14,1199.2242431640625,1205.0999755859375,1235.0,1200.0999755859375,1229.0,4650
2022-11-15,1161.31005859375,1167.0,1200.0999755859375,1151.9000244140625,1200.0999755859375,2400
2022-11-16,1109.8123779296875,1115.25,1152.0,1105.550048828125,1152.0,1650
2022-11-17,1149.716796875,1155.3499755859375,1160.0,1081.1500244140625,1107.3499755859375,2100
2022-11-18,1169.27099609375,1175.0,1200.0,1147.0,1150.0,4350
2022-11-21,1174.24658203125,1180.0,1180.0,1165.0,1165.0,750
2022-11-22,1144.3929443359375,1150.0,1175.0,1149.0,1151.0999755859375,5100
2022-11-23,1134.441650390625,1140.0,1152.050048828125,1140.0,1152.050048828125,1200
2022-11-24,1165.539306640625,1171.25,1200.0,1160.0,1160.0,3750
2022-11-25,1199.124755859375,1205.0,1205.0,1171.0999755859375,1189.5,2700
2022-11-28,1160.2650146484375,1165.949951171875,1168.550048828125,1165.25,1165.25,1350
2022-11-29,1144.442626953125,1150.050048828125,1184.949951171875,1150.050048828125,1184.949951171875,900
2022-11-30,1174.24658203125,1180.0,1220.0,1180.0,1189.9000244140625,2100
2022-12-01,1170.26611328125,1176.0,1217.5,1170.0,1180.0,2100
2022-12-02,1141.7060546875,1147.300048828125,1175.0,1140.0999755859375,1175.0,1650
2022-12-05,1176.6348876953125,1182.4000244140625,1200.0,1166.0,1184.5,3150
2022-12-06,1164.29541015625,1170.0,1190.0,1170.0,1170.050048828125,1200
