Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,,
2022-10-25,146.23944091796875,147.94000244140625,151.19000244140625,147.3000030517578,148.30499267578125,37800
2022-10-27,145.63150024414062,147.3249969482422,149.4199981689453,142.88999938964844,149.4199981689453,94720
2022-10-28,145.46841430664062,147.16000366210938,148.8000030517578,145.5,148.8000030517578,29380
2022-10-31,148.37954711914062,150.10499572753906,153.0,145.7050018310547,145.7050018310547,92910
2022-11-01,146.4025421142578,148.10499572753906,150.8000030517578,145.23500061035156,148.39999389648438,42910
2022-11-02,146.14552307128906,147.84500122070312,148.9600067138672,145.6750030517578,148.10499572753906,30400
2022-11-03,148.00392150878906,149.72500610351562,151.39999389648438,145.22500610351562,148.89999389648438,38340
2022-11-04,152.29403686523438,154.06500244140625,157.5,148.5050048828125,149.6999969482422,924570
2022-11-07,154.78012084960938,156.5800018310547,160.0,154.0,155.59500122070312,173510
2022-11-09,154.8295440673828,156.6300048828125,158.5,154.5500030517578,157.5,43050
2022-11-10,154.04368591308594,155.8350067138672,158.52999877929688,152.5,155.06500244140625,99750
2022-11-11,153.65817260742188,155.44500732421875,161.7899932861328,154.83999633789062,157.8350067138672,60170
2022-11-14,150.2774658203125,152.02499389648438,157.77499389648438,148.14999389648438,157.77499389648438,136110
2022-11-15,168.20401000976562,170.16000366210938,172.88999938964844,163.0050048828125,165.1999969482422,2010780
2022-11-16,166.36044311523438,168.2949981689453,172.5,167.0,171.77499389648438,432050
2022-11-17,164.28953552246094,166.1999969482422,173.83999633789062,165.3249969482422,168.1999969482422,332310
2022-11-18,163.00941467285156,164.90499877929688,169.52000427246094,164.1199951171875,167.1649932861328,132510
2022-11-21,162.98963928222656,164.88499450683594,169.88499450683594,164.4949951171875,165.0,345230
2022-11-22,164.33895874023438,166.25,171.89999389648438,164.60499572753906,166.0,314440
2022-11-23,162.91055297851562,164.80499267578125,169.7449951171875,164.3000030517578,164.64999389648438,185940
2022-11-24,168.9898681640625,170.9550018310547,174.6999969482422,166.0,166.0,327530
2022-11-25,171.6934356689453,173.69000244140625,177.89999389648438,172.5,176.10000610351562,487670
2022-11-28,169.88446044921875,171.86000061035156,175.60000610351562,171.10000610351562,174.89999389648438,294200
2022-11-29,168.55494689941406,170.51499938964844,173.10000610351562,170.0,173.10000610351562,70570
2022-11-30,171.9751739501953,173.97500610351562,175.89999389648438,170.55499267578125,171.10000610351562,162570
