Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WELENT.NS,WELENT.NS,WELENT.NS,WELENT.NS,WELENT.NS,WELENT.NS
Date,,,,,,
2022-10-10,121.73287200927734,129.8000030517578,130.8000030517578,125.55000305175781,126.1500015258789,201556
2022-10-11,119.81027221679688,127.75,131.75,126.4000015258789,130.0,253833
2022-10-12,118.30972290039062,126.1500015258789,129.8000030517578,124.8499984741211,128.4499969482422,149213
2022-10-13,116.85604858398438,124.5999984741211,128.0,124.19999694824219,127.1500015258789,99171
2022-10-14,115.68373107910156,123.3499984741211,127.75,123.19999694824219,127.44999694824219,83485
2022-10-17,114.88656616210938,122.5,124.55000305175781,119.75,123.05000305175781,280242
2022-10-18,116.99673461914062,124.75,125.5,122.44999694824219,123.3499984741211,158281
2022-10-19,114.69900512695312,122.30000305175781,126.30000305175781,121.6500015258789,124.9000015258789,130163
2022-10-20,116.9498291015625,124.69999694824219,124.9000015258789,121.0,122.0,149123
2022-10-21,120.04473876953125,128.0,129.0,124.75,125.8499984741211,212454
2022-10-24,119.81027221679688,127.75,129.89999389648438,126.6500015258789,129.89999389648438,48983
2022-10-25,120.65433502197266,128.64999389648438,131.39999389648438,126.8499984741211,128.85000610351562,173540
2022-10-27,121.02947998046875,129.0500030517578,129.5500030517578,127.80000305175781,128.64999389648438,86763
2022-10-28,119.24756622314453,127.1500015258789,130.25,127.0,130.1999969482422,168286
2022-10-31,120.04473876953125,128.0,129.39999389648438,128.0,129.39999389648438,95824
2022-11-01,122.38937377929688,130.5,133.75,128.14999389648438,128.9499969482422,259962
2022-11-02,122.15489959716797,130.25,132.0500030517578,130.0,130.89999389648438,82097
2022-11-03,122.81138610839844,130.9499969482422,131.8000030517578,129.10000610351562,130.10000610351562,124002
2022-11-04,123.93680572509766,132.14999389648438,134.3000030517578,131.10000610351562,132.1999969482422,241402
2022-11-07,122.76449584960938,130.89999389648438,134.3000030517578,130.0,132.14999389648438,210070
2022-11-09,127.64131927490234,136.10000610351562,136.60000610351562,132.0,132.0,511028
2022-11-10,126.65657806396484,135.0500030517578,136.89999389648438,135.0,135.39999389648438,246362
2022-11-11,128.48538208007812,137.0,137.8000030517578,136.0,137.5,202442
2022-11-14,128.29782104492188,136.8000030517578,140.0,136.0,140.0,397768
2022-11-15,126.75035858154297,135.14999389648438,140.5,134.10000610351562,138.0,303656
2022-11-16,125.4373779296875,133.75,139.0,133.0,139.0,186556
2022-11-17,125.85940551757812,134.1999969482422,136.9499969482422,133.0,133.5500030517578,210379
2022-11-18,127.59442901611328,136.0500030517578,138.0,134.0500030517578,134.5500030517578,232470
2022-11-21,128.20401000976562,136.6999969482422,137.89999389648438,134.3000030517578,134.3000030517578,92275
2022-11-22,126.60968017578125,135.0,138.0,135.0,136.9499969482422,191179
2022-11-23,133.12771606445312,141.9499969482422,143.0,135.0500030517578,135.25,613650
2022-11-24,138.98928833007812,148.1999969482422,149.89999389648438,140.25,143.0,1523060
2022-11-25,137.4418487548828,146.5500030517578,150.0,144.60000610351562,149.6999969482422,552731
2022-11-28,146.5389862060547,156.25,157.75,146.4499969482422,146.5,1277506
2022-11-29,144.75709533691406,154.35000610351562,159.3000030517578,152.14999389648438,157.3000030517578,708836
2022-11-30,141.6152801513672,151.0,158.64999389648438,150.35000610351562,155.75,469486
2022-12-01,146.49209594726562,156.1999969482422,162.0,152.1999969482422,152.1999969482422,806177
2022-12-02,152.3067626953125,162.39999389648438,164.4499969482422,157.0,157.0,849340
2022-12-05,155.30787658691406,165.60000610351562,167.5,158.0,163.1999969482422,682605
2022-12-06,154.83897399902344,165.10000610351562,167.5,165.0,165.10000610351562,320180
2022-12-07,158.2152099609375,168.6999969482422,170.5,165.0,165.8000030517578,681628
2022-12-08,158.54345703125,169.0500030517578,172.1999969482422,169.0,170.0,450356
2022-12-09,151.60337829589844,161.64999389648438,168.9499969482422,159.0500030517578,168.9499969482422,575952
2022-12-12,154.51071166992188,164.75,165.5,159.8000030517578,162.4499969482422,305812
2022-12-13,151.41580200195312,161.4499969482422,165.89999389648438,160.0,165.60000610351562,210940
2022-12-14,150.19659423828125,160.14999389648438,162.8000030517578,160.0,160.5,180862
2022-12-15,150.19659423828125,160.14999389648438,162.0,160.0,160.4499969482422,147049
2022-12-16,143.06893920898438,152.5500030517578,164.14999389648438,150.35000610351562,160.3000030517578,678889
2022-12-19,145.1322021484375,154.75,157.39999389648438,150.1999969482422,152.9499969482422,218990
2022-12-20,146.35142517089844,156.0500030517578,157.25,153.5500030517578,154.0,217813
2022-12-21,153.24461364746094,163.39999389648438,165.89999389648438,155.0,155.14999389648438,1059413
2022-12-22,149.4932098388672,159.39999389648438,166.0,153.60000610351562,164.14999389648438,602142
2022-12-23,137.4418487548828,146.5500030517578,159.3000030517578,145.0,159.3000030517578,551513
2022-12-26,144.52259826660156,154.10000610351562,156.75,143.6999969482422,144.1999969482422,338392
2022-12-27,151.0875701904297,161.10000610351562,166.89999389648438,155.85000610351562,156.0,1074206
2022-12-28,154.08868408203125,164.3000030517578,168.85000610351562,163.39999389648438,168.10000610351562,1428007
2022-12-29,155.8236846923828,166.14999389648438,167.5,162.0500030517578,165.89999389648438,680526
2022-12-30,155.96437072753906,166.3000030517578,171.0,163.5,166.85000610351562,3095587
2023-01-02,159.15304565429688,169.6999969482422,171.5,168.10000610351562,169.0,1152641
2023-01-03,158.87168884277344,169.39999389648438,174.8000030517578,168.5500030517578,170.0,1268948
2023-01-04,157.46493530273438,167.89999389648438,170.0,167.0,170.0,541562
2023-01-05,158.73104858398438,169.25,169.6999969482422,168.0,169.35000610351562,266899
2023-01-06,154.7451629638672,165.0,170.5,164.64999389648438,170.0,878169
2023-01-09,150.57174682617188,160.5500030517578,167.9499969482422,159.6999969482422,167.4499969482422,1345885
2023-01-10,152.49432373046875,162.60000610351562,164.6999969482422,159.0,161.10000610351562,1127137
2023-01-11,151.51113891601562,154.10000610351562,157.10000610351562,153.14999389648438,157.0,463252
2023-01-12,144.1371307373047,146.60000610351562,154.5,146.0,154.10000610351562,836450
2023-01-13,146.84092712402344,149.35000610351562,149.89999389648438,145.3000030517578,147.0,483438
2023-01-16,144.77621459960938,147.25,151.39999389648438,146.8000030517578,150.1999969482422,199523
2023-01-17,143.79299926757812,146.25,147.3000030517578,145.0500030517578,147.0500030517578,228147
2023-01-18,145.3661346435547,147.85000610351562,148.5,146.0500030517578,146.0500030517578,167465
2023-01-19,145.56275939941406,148.0500030517578,149.0,146.89999389648438,147.0,151039
2023-01-20,144.4812469482422,146.9499969482422,148.8000030517578,146.0500030517578,148.0,142870
2023-01-23,147.18504333496094,149.6999969482422,152.1999969482422,145.6999969482422,147.9499969482422,226549
2023-01-24,148.11907958984375,150.64999389648438,152.8000030517578,149.89999389648438,152.25,298689
2023-01-25,142.90814208984375,145.35000610351562,151.60000610351562,143.85000610351562,150.64999389648438,499895
2023-01-27,138.0904541015625,140.4499969482422,146.9499969482422,136.0,145.64999389648438,601763
2023-01-30,139.17196655273438,141.5500030517578,144.60000610351562,139.64999389648438,142.9499969482422,261382
2023-01-31,142.61317443847656,145.0500030517578,146.5500030517578,140.4499969482422,141.9499969482422,194648
2023-02-01,139.9585418701172,142.35000610351562,152.6999969482422,140.5500030517578,151.5500030517578,1037671
2023-02-02,141.82659912109375,144.25,145.3000030517578,140.39999389648438,142.3000030517578,371871
2023-02-03,141.8757781982422,144.3000030517578,146.0,141.0,141.3000030517578,357037
2023-02-06,142.5148468017578,144.9499969482422,147.75,144.0500030517578,145.0,382865
2023-02-07,143.74386596679688,146.1999969482422,146.9499969482422,144.1999969482422,145.0,188000
2023-02-08,144.4812469482422,146.9499969482422,148.6999969482422,144.9499969482422,146.25,608743
2023-02-09,146.44764709472656,148.9499969482422,149.1999969482422,146.1999969482422,146.6999969482422,487086
2023-02-10,148.90565490722656,151.4499969482422,152.0,149.0500030517578,149.1999969482422,804153
2023-02-13,133.42025756835938,135.6999969482422,139.89999389648438,135.10000610351562,138.8000030517578,901979
2023-02-14,131.35552978515625,133.60000610351562,136.8000030517578,133.10000610351562,135.10000610351562,203911
2023-02-15,135.2391815185547,137.5500030517578,139.3000030517578,132.14999389648438,134.0,280023
2023-02-16,136.86143493652344,139.1999969482422,139.9499969482422,136.5500030517578,137.10000610351562,126561
2023-02-17,134.74757385253906,137.0500030517578,139.0,136.10000610351562,139.0,97299
2023-02-20,133.61688232421875,135.89999389648438,137.9499969482422,135.14999389648438,137.0500030517578,76487
2023-02-21,134.69842529296875,137.0,138.5,135.6999969482422,136.0500030517578,90801
2023-02-22,132.87948608398438,135.14999389648438,136.85000610351562,134.10000610351562,136.85000610351562,76803
2023-02-23,130.02821350097656,132.25,136.39999389648438,131.1999969482422,135.10000610351562,149986
