Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WEWORK.NS,WEWORK.NS,WEWORK.NS,WEWORK.NS,WEWORK.NS,WEWORK.NS
Date,,,,,,
2025-10-10,628.6500244140625,628.6500244140625,650.1500244140625,614.25,650.0,7071726
2025-10-13,613.25,613.25,625.5499877929688,601.5499877929688,620.5,2756582
2025-10-14,610.4000244140625,610.4000244140625,619.0,601.0999755859375,608.5,1260716
2025-10-15,622.1500244140625,622.1500244140625,625.0,601.25,602.0,370084
2025-10-16,644.8499755859375,644.8499755859375,655.0,607.0,620.2999877929688,1225991
2025-10-17,646.2000122070312,646.2000122070312,652.5,631.0,649.0,470567
2025-10-20,638.7000122070312,638.7000122070312,652.0,625.7999877929688,644.9000244140625,357824
2025-10-21,646.5999755859375,646.5999755859375,655.0,631.0,645.0,143947
2025-10-23,642.2999877929688,642.2999877929688,647.0,637.0499877929688,642.0,190940
