Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CURAA.NS,CURAA.NS,CURAA.NS,CURAA.NS,CURAA.NS,CURAA.NS
Date,,,,,,
2022-10-10,32.0,32.0,32.0,32.0,32.0,0
2022-10-11,32.0,32.0,32.0,32.0,32.0,0
2022-10-12,32.0,32.0,32.0,32.0,32.0,0
2022-10-13,32.0,32.0,32.0,32.0,32.0,0
2022-10-14,32.0,32.0,32.0,32.0,32.0,0
2022-10-17,32.0,32.0,32.0,32.0,32.0,0
2022-10-18,32.0,32.0,32.0,32.0,32.0,0
2022-10-19,32.0,32.0,32.0,32.0,32.0,0
2022-10-20,32.0,32.0,32.0,32.0,32.0,0
2022-10-21,32.0,32.0,32.0,32.0,32.0,0
2022-10-24,32.0,32.0,32.0,32.0,32.0,0
2022-10-25,32.0,32.0,32.0,32.0,32.0,0
2022-10-27,32.0,32.0,32.0,32.0,32.0,0
2022-10-28,32.0,32.0,32.0,32.0,32.0,0
2022-10-31,32.0,32.0,32.0,32.0,32.0,0
2022-11-01,32.0,32.0,32.0,32.0,32.0,0
2022-11-02,32.0,32.0,32.0,32.0,32.0,0
2022-11-03,32.0,32.0,32.0,32.0,32.0,0
2022-11-04,32.0,32.0,32.0,32.0,32.0,0
2022-11-07,32.0,32.0,32.0,32.0,32.0,0
2022-11-09,32.0,32.0,32.0,32.0,32.0,0
2022-11-10,32.0,32.0,32.0,32.0,32.0,0
2022-11-11,32.0,32.0,32.0,32.0,32.0,0
2022-11-14,32.0,32.0,32.0,32.0,32.0,0
2022-11-15,32.0,32.0,32.0,32.0,32.0,0
2022-11-16,32.0,32.0,32.0,32.0,32.0,0
2022-11-17,32.0,32.0,32.0,32.0,32.0,0
2022-11-18,32.0,32.0,32.0,32.0,32.0,0
2022-11-21,32.0,32.0,32.0,32.0,32.0,0
2022-11-22,32.0,32.0,32.0,32.0,32.0,0
2022-11-23,32.0,32.0,32.0,32.0,32.0,0
2022-11-24,32.0,32.0,32.0,32.0,32.0,0
2022-11-25,32.0,32.0,32.0,32.0,32.0,0
2022-11-28,32.0,32.0,32.0,32.0,32.0,0
2022-11-29,32.0,32.0,32.0,32.0,32.0,0
2022-11-30,32.0,32.0,32.0,32.0,32.0,0
2022-12-01,32.0,32.0,32.0,32.0,32.0,0
2022-12-02,32.0,32.0,32.0,32.0,32.0,0
2022-12-05,32.0,32.0,32.0,32.0,32.0,0
2022-12-06,32.0,32.0,32.0,32.0,32.0,0
2022-12-07,32.0,32.0,32.0,32.0,32.0,0
2022-12-08,32.0,32.0,32.0,32.0,32.0,0
2022-12-09,32.0,32.0,32.0,32.0,32.0,0
2022-12-12,32.0,32.0,32.0,32.0,32.0,0
2022-12-13,32.0,32.0,32.0,32.0,32.0,0
2022-12-14,32.0,32.0,32.0,32.0,32.0,0
2022-12-15,32.0,32.0,32.0,32.0,32.0,0
2022-12-16,32.0,32.0,32.0,32.0,32.0,0
2022-12-19,32.0,32.0,32.0,32.0,32.0,0
2022-12-20,32.0,32.0,32.0,32.0,32.0,0
2022-12-21,32.0,32.0,32.0,32.0,32.0,0
2022-12-22,32.0,32.0,32.0,32.0,32.0,0
2022-12-23,32.0,32.0,32.0,32.0,32.0,0
2022-12-26,32.0,32.0,32.0,32.0,32.0,0
2022-12-27,32.0,32.0,32.0,32.0,32.0,0
2022-12-28,32.0,32.0,32.0,32.0,32.0,0
2022-12-29,32.0,32.0,32.0,32.0,32.0,0
2022-12-30,32.0,32.0,32.0,32.0,32.0,0
2023-01-02,32.0,32.0,32.0,32.0,32.0,0
2023-01-03,32.0,32.0,32.0,32.0,32.0,0
2023-01-04,32.0,32.0,32.0,32.0,32.0,0
2023-01-05,32.0,32.0,32.0,32.0,32.0,0
2023-01-06,32.0,32.0,32.0,32.0,32.0,0
2023-01-09,32.0,32.0,32.0,32.0,32.0,0
2023-01-10,32.0,32.0,32.0,32.0,32.0,0
2023-01-11,32.0,32.0,32.0,32.0,32.0,0
2023-01-12,32.0,32.0,32.0,32.0,32.0,0
2023-01-13,32.0,32.0,32.0,32.0,32.0,0
2023-01-16,32.0,32.0,32.0,32.0,32.0,0
2023-01-17,32.0,32.0,32.0,32.0,32.0,0
2023-01-18,32.0,32.0,32.0,32.0,32.0,0
2023-01-19,32.0,32.0,32.0,32.0,32.0,0
2023-01-20,32.0,32.0,32.0,32.0,32.0,0
2023-01-23,32.0,32.0,32.0,32.0,32.0,0
2023-01-24,32.0,32.0,32.0,32.0,32.0,0
2023-01-25,32.0,32.0,32.0,32.0,32.0,0
2023-01-27,32.0,32.0,32.0,32.0,32.0,0
2023-01-30,32.0,32.0,32.0,32.0,32.0,0
