Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DATAMATICS.NS,DATAMATICS.NS,DATAMATICS.NS,DATAMATICS.NS,DATAMATICS.NS,DATAMATICS.NS
Date,,,,,,
2022-10-10,315.9002685546875,322.95001220703125,326.75,320.6499938964844,325.1000061035156,82525
2022-10-11,305.7272644042969,312.54998779296875,327.95001220703125,308.6000061035156,325.3500061035156,110168
2022-10-12,299.1735534667969,305.8500061035156,314.6000061035156,300.5,312.54998779296875,117864
2022-10-13,300.8853454589844,307.6000061035156,311.04998779296875,305.3999938964844,307.45001220703125,54368
2022-10-14,296.19012451171875,302.79998779296875,315.6499938964844,301.25,313.75,77916
2022-10-17,303.62420654296875,310.3999938964844,318.8999938964844,301.6000061035156,301.6000061035156,144056
2022-10-18,300.4451599121094,307.1499938964844,314.70001220703125,305.0,311.25,52550
2022-10-19,301.5211486816406,308.25,313.3999938964844,306.04998779296875,309.3500061035156,42776
2022-10-20,297.7551574707031,304.3999938964844,308.95001220703125,303.0,305.1499938964844,50551
2022-10-21,297.706298828125,304.3500061035156,308.95001220703125,300.04998779296875,307.45001220703125,49786
2022-10-24,300.5918884277344,307.29998779296875,309.8999938964844,305.0,307.1000061035156,12566
2022-10-25,299.8582458496094,306.54998779296875,309.04998779296875,304.70001220703125,307.95001220703125,28288
2022-10-27,299.7115173339844,306.3999938964844,309.8999938964844,304.1499938964844,309.8999938964844,30232
2022-10-28,300.0049743652344,306.70001220703125,314.70001220703125,305.29998779296875,309.5,81882
2022-10-31,296.19012451171875,302.79998779296875,307.95001220703125,300.0,301.79998779296875,69381
2022-11-01,304.21112060546875,311.0,312.75,302.04998779296875,305.04998779296875,84911
2022-11-02,305.0425720214844,311.8500061035156,319.5,310.0,313.0,138058
2022-11-03,312.0364685058594,319.0,329.95001220703125,308.79998779296875,311.3500061035156,225363
2022-11-04,311.6452331542969,318.6000061035156,324.3999938964844,314.04998779296875,321.20001220703125,73485
2022-11-07,306.8032531738281,313.6499938964844,322.95001220703125,310.04998779296875,319.25,70080
2022-11-09,306.2652893066406,313.1000061035156,324.5,308.0,314.0,121582
2022-11-10,300.54296875,307.25,314.3500061035156,306.1499938964844,313.5,56093
2022-11-11,308.7107238769531,315.6000061035156,322.0,312.29998779296875,315.8999938964844,127126
