Price,Adj Close,Close,High,Low,Open,Volume
Ticker,E2E.NS,E2E.NS,E2E.NS,E2E.NS,E2E.NS,E2E.NS
Date,,,,,,
2022-10-10,183.0500030517578,183.0500030517578,188.89999389648438,175.14999389648438,181.0500030517578,3110
2022-10-11,178.3000030517578,178.3000030517578,184.0,175.6999969482422,184.0,3370
2022-10-12,181.35000610351562,181.35000610351562,183.4499969482422,169.4499969482422,176.0,6326
2022-10-13,176.9499969482422,176.9499969482422,180.4499969482422,173.60000610351562,180.4499969482422,990
2022-10-14,173.5,173.5,178.85000610351562,170.75,170.75,2482
2022-10-17,166.5500030517578,166.5500030517578,175.0,164.85000610351562,166.0500030517578,5655
2022-10-18,165.0,165.0,169.35000610351562,160.5,160.5,3816
2022-10-19,173.25,173.25,173.25,162.0,162.0,3967
2022-10-20,178.0,178.0,181.89999389648438,168.39999389648438,179.0,1922
2022-10-21,185.0,185.0,186.0500030517578,179.5,186.0500030517578,725
2022-10-24,186.5,186.5,194.25,177.5,194.25,1722
2022-10-25,183.8000030517578,183.8000030517578,194.89999389648438,178.39999389648438,178.39999389648438,1013
2022-10-27,183.60000610351562,183.60000610351562,189.14999389648438,175.0500030517578,184.0,2042
2022-10-28,178.0,178.0,184.39999389648438,175.64999389648438,184.39999389648438,6930
2022-10-31,181.64999389648438,181.64999389648438,184.8000030517578,170.0,170.1999969482422,4416
2022-11-01,176.14999389648438,176.14999389648438,183.89999389648438,173.35000610351562,183.89999389648438,2899
2022-11-02,176.5,176.5,179.0,171.0,178.89999389648438,1711
2022-11-03,185.3000030517578,185.3000030517578,185.3000030517578,180.0500030517578,185.3000030517578,12871
2022-11-04,194.5500030517578,194.5500030517578,194.5500030517578,185.10000610351562,194.0,14017
2022-11-07,204.25,204.25,204.25,204.25,204.25,3560
2022-11-09,211.3000030517578,211.3000030517578,214.4499969482422,194.0500030517578,214.4499969482422,31421
2022-11-10,213.0,213.0,216.25,201.0,207.10000610351562,8187
2022-11-11,208.1999969482422,208.1999969482422,223.64999389648438,203.5,223.64999389648438,6848
2022-11-14,197.8000030517578,197.8000030517578,213.5,197.8000030517578,210.0,8453
2022-11-15,188.10000610351562,188.10000610351562,197.0,187.9499969482422,197.0,9930
2022-11-16,178.6999969482422,178.6999969482422,187.9499969482422,178.6999969482422,187.9499969482422,13713
2022-11-17,182.14999389648438,182.14999389648438,186.60000610351562,170.1999969482422,170.1999969482422,7638
2022-11-18,187.60000610351562,187.60000610351562,189.60000610351562,177.0,182.14999389648438,3090
2022-11-21,186.5,186.5,192.89999389648438,180.39999389648438,186.9499969482422,2429
2022-11-22,184.5500030517578,184.5500030517578,192.5,177.1999969482422,189.4499969482422,2079
2022-11-23,177.85000610351562,177.85000610351562,184.3000030517578,176.5,179.0,6144
2022-11-24,177.5,177.5,181.0,169.10000610351562,177.85000610351562,13158
2022-11-25,175.60000610351562,175.60000610351562,177.4499969482422,174.0,177.4499969482422,2625
2022-11-28,170.8000030517578,170.8000030517578,179.9499969482422,167.0,170.0500030517578,7343
2022-11-29,172.9499969482422,172.9499969482422,173.0500030517578,171.0,171.0,3200
2022-11-30,181.5,181.5,181.5500030517578,173.5500030517578,177.89999389648438,2194
2022-12-01,181.6999969482422,181.6999969482422,187.0,181.5,186.9499969482422,1733
2022-12-02,190.75,190.75,190.75,175.0,175.0,7881
2022-12-05,191.9499969482422,191.9499969482422,200.1999969482422,181.25,199.5,5337
2022-12-06,183.85000610351562,183.85000610351562,193.89999389648438,182.39999389648438,188.14999389648438,3394
2022-12-07,179.3000030517578,179.3000030517578,184.0,176.3000030517578,178.60000610351562,6321
2022-12-08,188.25,188.25,188.25,180.10000610351562,182.89999389648438,4099
2022-12-09,197.64999389648438,197.64999389648438,197.64999389648438,189.0500030517578,196.0,8619
2022-12-12,207.5,207.5,207.5,201.0,205.5,11333
2022-12-13,217.85000610351562,217.85000610351562,217.85000610351562,217.85000610351562,217.85000610351562,8626
2022-12-14,207.10000610351562,207.10000610351562,228.6999969482422,207.0,225.6999969482422,20804
2022-12-15,199.60000610351562,199.60000610351562,208.0500030517578,196.75,208.0500030517578,5819
2022-12-16,193.39999389648438,193.39999389648438,206.85000610351562,189.64999389648438,199.60000610351562,14069
2022-12-19,201.25,201.25,202.89999389648438,188.60000610351562,190.25,3194
2022-12-20,195.8000030517578,195.8000030517578,209.8000030517578,193.60000610351562,209.8000030517578,3966
2022-12-21,186.0500030517578,186.0500030517578,196.0,186.0500030517578,196.0,9548
2022-12-22,193.39999389648438,193.39999389648438,195.35000610351562,176.75,182.0500030517578,12345
2022-12-23,185.3000030517578,185.3000030517578,203.0,183.75,196.14999389648438,15129
2022-12-26,190.0500030517578,190.0500030517578,190.3000030517578,178.8000030517578,178.8000030517578,4275
2022-12-27,192.75,192.75,198.89999389648438,190.25,198.89999389648438,5698
2022-12-28,184.5,184.5,194.89999389648438,184.10000610351562,194.89999389648438,4197
2022-12-29,188.25,188.25,191.25,186.5,187.9499969482422,1840
2022-12-30,191.10000610351562,191.10000610351562,197.64999389648438,188.0500030517578,193.5,3898
2023-01-02,186.5,186.5,200.0,185.1999969482422,200.0,7200
2023-01-03,179.6999969482422,179.6999969482422,192.75,177.1999969482422,183.0,27480
2023-01-04,184.5,184.5,188.0,180.0,184.60000610351562,4714
2023-01-05,178.9499969482422,178.9499969482422,190.5,178.35000610351562,189.9499969482422,4638
2023-01-06,184.3000030517578,184.3000030517578,186.89999389648438,178.3000030517578,183.9499969482422,3252
2023-01-09,180.6999969482422,180.6999969482422,189.9499969482422,176.0,189.9499969482422,11902
2023-01-10,179.10000610351562,179.10000610351562,185.60000610351562,177.5,185.60000610351562,8393
2023-01-11,178.4499969482422,178.4499969482422,184.5,173.35000610351562,178.0,4566
2023-01-12,176.6999969482422,176.6999969482422,183.25,171.35000610351562,183.25,3351
2023-01-13,174.85000610351562,174.85000610351562,181.60000610351562,171.0,181.60000610351562,2869
2023-01-16,171.64999389648438,171.64999389648438,179.89999389648438,168.64999389648438,176.0,4192
2023-01-17,177.8000030517578,177.8000030517578,179.8000030517578,174.85000610351562,176.0,3306
2023-01-18,175.35000610351562,175.35000610351562,185.89999389648438,171.75,185.89999389648438,6830
2023-01-19,172.25,172.25,181.0,171.10000610351562,176.0,5578
2023-01-20,179.5,179.5,180.4499969482422,168.1999969482422,168.1999969482422,3885
2023-01-23,172.5500030517578,172.5500030517578,182.35000610351562,171.64999389648438,180.9499969482422,7784
2023-01-24,177.25,177.25,179.8000030517578,170.10000610351562,170.10000610351562,2753
2023-01-25,178.8000030517578,178.8000030517578,181.0,176.5,181.0,1881
2023-01-27,175.60000610351562,175.60000610351562,181.0,172.25,179.0500030517578,2557
2023-01-30,172.89999389648438,172.89999389648438,180.0,170.0,171.5,2613
2023-01-31,173.60000610351562,173.60000610351562,179.0,171.75,179.0,915
2023-02-01,171.0,171.0,178.0500030517578,168.0500030517578,168.35000610351562,5809
2023-02-02,174.1999969482422,174.1999969482422,179.5500030517578,170.0,171.0,7926
2023-02-03,169.75,169.75,179.0,166.60000610351562,170.3000030517578,5909
2023-02-06,173.0500030517578,173.0500030517578,177.8000030517578,168.0500030517578,177.8000030517578,6417
2023-02-07,178.9499969482422,178.9499969482422,180.9499969482422,172.0,176.0,3518
2023-02-08,168.75,168.75,179.0,165.0,179.0,7494
2023-02-09,170.8000030517578,170.8000030517578,173.0500030517578,163.85000610351562,168.0,6510
2023-02-10,166.85000610351562,166.85000610351562,175.0500030517578,163.10000610351562,174.0,3993
2023-02-13,163.0,163.0,173.0500030517578,160.0,166.0,4433
2023-02-14,159.10000610351562,159.10000610351562,168.9499969482422,158.0,160.0500030517578,7093
2023-02-15,167.25,167.25,170.0,158.10000610351562,160.0500030517578,2597
2023-02-16,162.75,162.75,167.3000030517578,162.10000610351562,167.3000030517578,2038
2023-02-17,163.0,163.0,163.4499969482422,151.0,151.0,2564
2023-02-20,157.35000610351562,157.35000610351562,166.35000610351562,155.3000030517578,166.35000610351562,4252
2023-02-21,156.39999389648438,156.39999389648438,160.0,153.5,160.0,1254
2023-02-22,152.10000610351562,152.10000610351562,161.0500030517578,150.10000610351562,161.0,4054
2023-02-23,138.60000610351562,138.60000610351562,164.0,136.89999389648438,157.89999389648438,13879
2023-02-24,141.0,141.0,151.9499969482422,137.6999969482422,147.9499969482422,11628
2023-02-27,139.35000610351562,139.35000610351562,143.0500030517578,137.89999389648438,142.9499969482422,1227
2023-02-28,139.5,139.5,144.0,135.9499969482422,144.0,1317
2023-03-01,147.5,147.5,152.1999969482422,139.0500030517578,144.0500030517578,6939
2023-03-02,159.85000610351562,159.85000610351562,162.25,142.0,151.8000030517578,15167
2023-03-03,163.60000610351562,163.60000610351562,168.0,159.0,159.60000610351562,8588
2023-03-06,156.9499969482422,156.9499969482422,171.0500030517578,152.64999389648438,171.0,18904
2023-03-08,158.8000030517578,158.8000030517578,161.0,149.0,149.0,2392
2023-03-09,157.10000610351562,157.10000610351562,164.0500030517578,150.5500030517578,164.0500030517578,9105
2023-03-10,152.0500030517578,152.0500030517578,157.4499969482422,149.0,149.0,7043
2023-03-13,148.1999969482422,148.1999969482422,165.0,147.0,157.0,9267
2023-03-14,148.1999969482422,148.1999969482422,157.0,145.5,157.0,10266
2023-03-15,163.0,163.0,163.0,149.85000610351562,155.0,18856
2023-03-16,169.5500030517578,169.5500030517578,179.3000030517578,166.5500030517578,172.0,34552
2023-03-17,170.75,170.75,172.39999389648438,163.0,170.89999389648438,6732
2023-03-20,171.14999389648438,171.14999389648438,176.8000030517578,161.14999389648438,176.8000030517578,12933
2023-03-21,167.89999389648438,167.89999389648438,172.9499969482422,165.0500030517578,165.0500030517578,2779
2023-03-22,165.39999389648438,165.39999389648438,171.64999389648438,160.0,168.10000610351562,3663
2023-03-23,165.4499969482422,165.4499969482422,169.5,158.0500030517578,162.10000610351562,3139
2023-03-24,168.10000610351562,168.10000610351562,170.0,159.25,170.0,4168
2023-03-27,165.0,165.0,170.0,161.0500030517578,170.0,2139
2023-03-28,170.10000610351562,170.10000610351562,173.0,165.10000610351562,168.0,11719
2023-03-29,165.89999389648438,165.89999389648438,171.0,163.0,171.0,2977
2023-03-31,176.75,176.75,182.4499969482422,161.10000610351562,161.10000610351562,15158
2023-04-03,179.10000610351562,179.10000610351562,193.9499969482422,176.75,193.9499969482422,11833
2023-04-05,173.9499969482422,173.9499969482422,178.75,166.0,166.0,8197
2023-04-06,185.64999389648438,185.64999389648438,189.89999389648438,175.14999389648438,179.0,10743
2023-04-10,183.9499969482422,183.9499969482422,199.0,182.0,189.8000030517578,30756
2023-04-11,180.35000610351562,180.35000610351562,187.0,176.5500030517578,185.0500030517578,7731
2023-04-12,185.14999389648438,185.14999389648438,193.8000030517578,179.9499969482422,180.35000610351562,5329
2023-04-13,184.14999389648438,184.14999389648438,192.39999389648438,179.9499969482422,185.10000610351562,4289
2023-04-17,180.39999389648438,180.39999389648438,196.0,174.0500030517578,196.0,5556
2023-04-18,174.6999969482422,174.6999969482422,190.0,173.0,188.0,7046
2023-04-19,178.8000030517578,178.8000030517578,181.75,176.10000610351562,179.89999389648438,2092
2023-04-20,174.4499969482422,174.4499969482422,185.0,170.0,182.4499969482422,9981
2023-04-21,174.4499969482422,174.4499969482422,178.0,171.10000610351562,178.0,2876
2023-04-24,170.39999389648438,170.39999389648438,178.5,167.9499969482422,178.5,2964
2023-04-25,176.0,176.0,177.0,169.0,174.6999969482422,2297
2023-04-26,171.0,171.0,180.0500030517578,169.10000610351562,179.0,6809
2023-04-27,178.9499969482422,178.9499969482422,184.0,171.10000610351562,174.39999389648438,4813
2023-04-28,171.39999389648438,171.39999389648438,181.9499969482422,170.0,176.0,9632
2023-05-02,171.64999389648438,171.64999389648438,178.9499969482422,169.0,175.0,7237
2023-05-03,168.64999389648438,168.64999389648438,180.0,167.39999389648438,172.0,13406
2023-05-04,170.60000610351562,170.60000610351562,174.0,168.4499969482422,168.8000030517578,8517
2023-05-05,170.89999389648438,170.89999389648438,174.4499969482422,169.0500030517578,171.85000610351562,11699
2023-05-08,170.14999389648438,170.14999389648438,174.0,167.10000610351562,171.5,14871
2023-05-09,169.9499969482422,169.9499969482422,172.75,169.1999969482422,171.0,19464
2023-05-10,169.89999389648438,169.89999389648438,170.85000610351562,167.10000610351562,169.85000610351562,2385
2023-05-11,170.60000610351562,170.60000610351562,172.0,168.0,168.0,2670
2023-05-12,177.5500030517578,177.5500030517578,179.8000030517578,168.0500030517578,172.10000610351562,10209
2023-05-15,178.64999389648438,178.64999389648438,188.4499969482422,177.0,180.0,10470
2023-05-16,176.5,176.5,182.4499969482422,175.0,178.0,9199
2023-05-17,174.25,174.25,178.4499969482422,172.60000610351562,178.0,10514
2023-05-18,170.85000610351562,170.85000610351562,177.25,170.0,176.9499969482422,4566
2023-05-19,167.3000030517578,167.3000030517578,175.10000610351562,167.0,174.0,13475
2023-05-22,173.4499969482422,173.4499969482422,174.89999389648438,166.8000030517578,167.3000030517578,4357
2023-05-23,176.25,176.25,181.4499969482422,172.5,176.9499969482422,8282
2023-05-24,172.0500030517578,172.0500030517578,181.4499969482422,170.14999389648438,176.25,20808
2023-05-25,169.8000030517578,169.8000030517578,175.0,169.0,175.0,13759
2023-05-26,175.6999969482422,175.6999969482422,202.0,170.0500030517578,173.8000030517578,41179
2023-05-29,168.64999389648438,168.64999389648438,184.0,166.75,184.0,30139
2023-05-30,163.35000610351562,163.35000610351562,174.5,160.60000610351562,174.5,21966
2023-05-31,168.39999389648438,168.39999389648438,176.0,164.5,166.6999969482422,30521
2023-06-01,166.10000610351562,166.10000610351562,172.64999389648438,161.0500030517578,172.64999389648438,9177
2023-06-02,166.0,166.0,167.5500030517578,164.3000030517578,166.4499969482422,7474
2023-06-05,166.4499969482422,166.4499969482422,173.9499969482422,162.89999389648438,169.35000610351562,22001
2023-06-06,167.4499969482422,167.4499969482422,170.39999389648438,165.6999969482422,169.8000030517578,19759
2023-06-07,170.0500030517578,170.0500030517578,174.89999389648438,167.5,171.89999389648438,50361
2023-06-08,167.9499969482422,167.9499969482422,181.0,167.5,175.0,108847
2023-06-09,168.25,168.25,171.9499969482422,162.0500030517578,171.5,56222
2023-06-12,164.14999389648438,164.14999389648438,174.0,163.14999389648438,174.0,34362
2023-06-13,167.0,167.0,168.9499969482422,164.3000030517578,167.3000030517578,64935
2023-06-14,167.39999389648438,167.39999389648438,177.10000610351562,166.25,171.4499969482422,64317
2023-06-15,167.0500030517578,167.0500030517578,170.5,165.6999969482422,169.0,41412
2023-06-16,167.8000030517578,167.8000030517578,170.0,166.0,168.0,27835
2023-06-19,171.39999389648438,171.39999389648438,173.5,167.0,169.89999389648438,12174
2023-06-20,168.0500030517578,168.0500030517578,177.5,167.10000610351562,177.5,22647
2023-06-21,164.14999389648438,164.14999389648438,170.0,162.0,170.0,20675
2023-06-22,164.0500030517578,164.0500030517578,169.0,162.5,168.0,13794
2023-06-23,167.9499969482422,167.9499969482422,170.0,162.89999389648438,170.0,16527
2023-06-26,165.39999389648438,165.39999389648438,170.0,164.25,170.0,13008
2023-06-27,167.75,167.75,169.35000610351562,165.64999389648438,169.35000610351562,10485
2023-06-28,166.25,166.25,169.9499969482422,165.0,169.9499969482422,21220
2023-06-30,167.0500030517578,167.0500030517578,169.75,166.25,169.75,19650
