Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NELCO.NS,NELCO.NS,NELCO.NS,NELCO.NS,NELCO.NS,NELCO.NS
Date,,,,,,
2022-10-25,876.6932373046875,883.0999755859375,903.7999877929688,880.0,899.0,49866
2022-10-27,864.5321044921875,870.8499755859375,898.0,869.0499877929688,898.0,37842
2022-10-28,843.3369750976562,849.5,874.2999877929688,846.0,870.8499755859375,66947
2022-10-31,819.9083251953125,825.9000244140625,854.9500122070312,820.5,851.0,109376
2022-11-01,810.576416015625,816.5,831.25,806.2000122070312,831.25,74572
2022-11-02,816.7810668945312,822.75,854.9500122070312,812.9500122070312,813.0,128075
2022-11-03,810.7750244140625,816.7000122070312,838.4500122070312,810.0,830.0,55184
2022-11-04,809.7326049804688,815.6500244140625,830.0,807.0,826.75,42509
2022-11-07,807.3995971679688,813.2999877929688,825.0,809.6500244140625,817.0,37002
2022-11-09,797.77001953125,803.5999755859375,822.25,800.1500244140625,819.9500122070312,39354
2022-11-10,781.5386352539062,787.25,810.0999755859375,778.0,806.0,49017
2022-11-11,781.5386352539062,787.25,810.0,784.9500122070312,799.0499877929688,63998
2022-11-14,774.5894775390625,780.25,797.9500122070312,776.5,785.0,47985
2022-11-15,769.3775634765625,775.0,785.5,770.0,781.0,63001
2022-11-16,757.4149780273438,762.9500122070312,796.0,752.0,776.0,110504
2022-11-17,748.7780151367188,754.25,768.2999877929688,747.0999755859375,768.2999877929688,52829
2022-11-18,745.7501831054688,751.2000122070312,761.7999877929688,742.4000244140625,761.4000244140625,49473
2022-11-21,764.562744140625,770.1500244140625,826.2999877929688,744.0,747.7000122070312,412495
2022-11-22,747.3881225585938,752.8499755859375,776.9000244140625,750.0,765.0,154611
2022-11-23,755.9754638671875,761.5,771.5499877929688,748.0,759.0,63425
2022-11-24,747.537109375,753.0,768.25,750.5999755859375,761.0,40457
2022-11-25,744.1618041992188,749.5999755859375,762.0,729.0499877929688,756.6500244140625,53558
2022-11-28,756.1740112304688,761.7000122070312,767.4000244140625,742.0,742.0,57170
2022-11-29,744.0625610351562,749.5,768.0,746.0499877929688,762.0499877929688,54188
2022-11-30,747.884521484375,753.3499755859375,762.0,742.5499877929688,757.0,63506
2022-12-01,788.885009765625,794.6500244140625,820.0,766.25,774.0,406186
2022-12-02,810.7750244140625,816.7000122070312,826.4000244140625,797.0,807.0,194595
2022-12-05,781.935791015625,787.6500244140625,822.8499755859375,783.3499755859375,822.4000244140625,129168
2022-12-06,768.7322387695312,774.3499755859375,788.9500122070312,770.0,787.6500244140625,86694
2022-12-07,785.31103515625,791.0499877929688,825.0,765.0,779.7999877929688,311373
2022-12-08,777.2698364257812,782.9500122070312,799.9500122070312,779.5999755859375,791.0,86530
2022-12-09,769.6753540039062,775.2999877929688,791.0499877929688,767.4500122070312,789.75,55513
2022-12-12,767.2927856445312,772.9000244140625,787.1500244140625,769.8499755859375,778.9000244140625,52181
2022-12-13,776.9719848632812,782.6500244140625,797.7000122070312,774.4500122070312,778.9000244140625,74689
2022-12-14,762.080810546875,767.6500244140625,787.9000244140625,763.0499877929688,787.9000244140625,74934
2022-12-15,752.6497802734375,758.1500244140625,775.9500122070312,754.0,773.7999877929688,45829
2022-12-16,740.8360595703125,746.25,757.7000122070312,743.5,757.7000122070312,62040
2022-12-19,742.5734252929688,748.0,760.0,745.0,760.0,29877
2022-12-20,732.0503540039062,737.4000244140625,757.0,735.5499877929688,756.0,47258
2022-12-21,691.5462646484375,696.5999755859375,746.5999755859375,677.4000244140625,746.3499755859375,102541
2022-12-22,664.940673828125,669.7999877929688,704.1500244140625,663.75,696.9000244140625,95506
2022-12-23,621.4088745117188,625.9500122070312,674.4500122070312,622.0,665.5999755859375,135044
2022-12-26,671.3935546875,676.2999877929688,694.0999755859375,625.9500122070312,629.9500122070312,143596
2022-12-27,684.0510864257812,689.0499877929688,700.4000244140625,683.0,690.0,51359
2022-12-28,691.9929809570312,697.0499877929688,707.8499755859375,682.9500122070312,695.9500122070312,57059
2022-12-29,697.2049560546875,702.2999877929688,706.0,687.1500244140625,690.0,44057
2022-12-30,706.7353515625,711.9000244140625,724.7999877929688,706.8499755859375,706.9000244140625,69402
2023-01-02,692.6383056640625,697.7000122070312,720.0,692.25,719.9000244140625,44849
2023-01-03,693.4821166992188,698.5499877929688,708.4500122070312,695.0999755859375,700.7000122070312,40211
2023-01-04,683.0087280273438,688.0,705.0,681.0,697.9000244140625,53275
2023-01-05,679.0377197265625,684.0,694.0,677.5999755859375,693.9500122070312,37116
2023-01-06,671.3439331054688,676.25,690.8499755859375,672.0,690.8499755859375,47678
2023-01-09,669.3087768554688,674.2000122070312,688.5,669.0499877929688,686.0,37837
2023-01-10,666.1320190429688,671.0,694.0,666.2000122070312,674.0,31145
