Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIABLE.NS,RELIABLE.NS,RELIABLE.NS,RELIABLE.NS,RELIABLE.NS,RELIABLE.NS
Date,,,,,,
2022-10-25,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-10-27,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-10-28,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-10-31,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-01,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-02,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-03,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-04,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-07,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-09,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-10,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-11,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-14,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-15,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-16,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-17,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-18,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-21,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-22,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-23,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-24,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-25,44.205116271972656,44.25,44.25,44.25,44.25,0
2022-11-28,46.402889251708984,46.45000076293945,46.45000076293945,46.45000076293945,46.45000076293945,2400
2022-11-29,46.45283126831055,46.5,46.5,46.5,46.5,2400
2022-11-30,46.45283126831055,46.5,46.5,46.5,46.5,0
2022-12-01,46.45283126831055,46.5,46.5,46.5,46.5,0
2022-12-02,48.650604248046875,48.70000076293945,48.70000076293945,48.70000076293945,48.70000076293945,2400
2022-12-05,51.04816436767578,51.099998474121094,51.099998474121094,51.0,51.0,4800
2022-12-06,51.04816436767578,51.099998474121094,51.099998474121094,51.099998474121094,51.099998474121094,0
2022-12-07,52.94623947143555,53.0,53.0,53.0,53.0,2400
2022-12-08,52.94623947143555,53.0,53.0,53.0,53.0,0
2022-12-09,52.94623947143555,53.0,53.0,53.0,53.0,0
2022-12-12,52.94623947143555,53.0,53.0,53.0,53.0,0
2022-12-13,52.94623947143555,53.0,53.0,53.0,53.0,0
2022-12-14,52.94623947143555,53.0,53.0,53.0,53.0,0
2022-12-15,52.94623947143555,53.0,53.0,53.0,53.0,0
